# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L31722	［トレイシー］：明後日？
>>	［트레이시］：모레요?
L31726	［コウジ］：お前の乳をしぼる日だ。
>>	［코우지］：네 젖을 짜는 날이다.
L31730	［トレイシー］：あぁぁぁ、そうです、そうですぅ！　コウジ様ぁぁ‥‥。
>>	［트레이시］：아아아아, 맞아요, 맞아요오!　코우지 니임‥‥.
L31734	［トレイシー］：（覚えていて下さったんだわ、コウジ様‥‥。）
>>	［트레이시］：（기억해 주고 계셨어, 코우지 님‥‥.）
L31737	［トレイシー］：（トレイシー、感激よ‥‥ランファなんて、フンだわ！）
>>	［트레이시］：（트레이시, 감격이야‥‥란파 따위, 흥!）
L31740	［トレイシー］：（あぁぁ、早く‥‥早く明後日になって‥‥お願いっ！）
>>	［트레이시］：（아아아, 어서‥‥어서 모레가 돼‥‥부탁이야!）
L31744	［トレイシー］：あぁぁっ！　コウジ様、もっともっと、私のイヤらしいオッパイをしごいて下さいっ！
>>	［트레이시］：아아앗!　코우지 님, 더더더, 제 야한 가슴을 주물러 주세요엇!
L31748	［コウジ］：これをか！？
>>	［코우지］：이걸!?
L31751	むぎゅぅぅぅっっ！
>>	꽈아아악!
L31754	［トレイシー］：んくぅぅぅっ、それですぅぅっ！！
>>	［트레이시］：응크우우웃, 그거예요오오옷!!
L31757	［トレイシー］：私の‥‥私のイヤらしくて大きな乳首も、一緒にしごいて下さい！
>>	［트레이시］：제‥‥제 야하고 큰 젖꼭지도, 같이 주물러 주세요!
L31761	［コウジ］：これかっ！？
>>	［코우지］：이거라고!?
L31764	ぐりぐりぐりぃぃっ！！
>>	구릭구릭구리잇!!
L31767	［トレイシー］：あぁぁぁっ！　そ、そんなにしたら、と、取れちゃうぅぅっ！！
>>	［트레이시］：아아아앗!　그, 그렇게 하면, 짜, 짜여 버려요오옷!!
L31771	［コウジ］：今日は、しぼり取る日だからな、存分に出せ！
>>	［코우지］：오늘은, 짜내는 날이니까, 실컷 내놔!
L31774	［トレイシー］：はい、存分に出させて戴きますぅぅっ！
>>	［트레이시］：네, 실컷 나오게 해 주세요오옷!
L31777	［トレイシー］：（ランファとセックスしているときでも、イきそうだぞトレイシーって、私を呼んで下さるわ。）
>>	［트레이시］：（란파와 섹스하실 때라도, 쌀 것 같다 트레이시, 하고 나를 불러 주시지.）
L31780	［トレイシー］：（そしてお出しになるときは、決まって私の口内よっ！）
>>	［트레이시］：（그리고 싸실 때는, 꼭 내 입안이야!）
L31783	［トレイシー］：（ランファのお尻に入っていたのでも、ちっとも構わない。私は喉の奥まで頬張って、口内に出して戴くの‥‥。）
>>	［트레이시］：（란파 엉덩이에 들어가 있던 거라도, 전혀 상관없어. 난 목구멍 깊숙이까지 가득 물고, 입안에 싸 주시는 거야‥‥.）
L31786	［トレイシー］：（ドクドクって、お口の中にたっぷり射精してくださるのよ‥‥。）
>>	［트레이시］：（울컥울컥 하고, 입안에 듬뿍 사정해 주시는 거야‥‥.）
L31790	［トレイシー］：（コウジ様の精液を飲めるのは、私だけなの‥‥私だけなんだからっ。）
>>	［트레이시］：（코우지 님의 정액을 마실 수 있는 건, 나뿐이야‥‥나뿐이니까앗.）
L31793	［トレイシー］：（それに、オシッコだって飲ませてくれるときもあるのよ‥‥。）
>>	［트레이시］：（게다가, 오줌도 마시게 해 주실 때가 있어‥‥.）
L31796	［トレイシー］：（他の女性には、ランファなんかには絶対飲ませないわ。）
>>	［트레이시］：（다른 여자한테는, 란파 따위한테는 절대 안 마시게 하시지.）
