# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L21066	［ファル］：私は出てってと言ったのよ。
>>	［파르］：나는 나가라고 했어.
L21070	［宏治］：いちおう、バスルームからは出たけど‥‥覗くつもりはなかったんだ。ゴメン‥‥。
>>	［코지］：일단 욕실에서는 나왔는데‥‥엿볼 생각은 없었어. 미안‥‥.
L21073	［ファル］：フンっ、人の事を監禁しておいて、よく言うわ。
>>	［파르］：흥, 남을 감금해 놓고서 잘도 말하네.
L21076	［ファル］：人のことを誘拐しておいて、いけしゃあしゃあと言うことじゃないってことよ。
>>	［파르］：남을 유괴해 놓고서 뻔뻔하게 할 소리는 아니란 거야.
L21079	［宏治］：だからそれは‥‥<$0C>へっ、誘拐？
>>	［코지］：그러니까 그건‥‥<$0C>엥, 유괴?
L21082	［ファル］：なによそれ。また、しらばくれる気？
>>	［파르］：뭐야 그건. 또 시치미 뗄 생각이야?
L21086	［宏治］：いやその‥‥少し、混乱していて。
>>	［코지］：아니 그‥‥좀, 혼란스러워서.
L21089	［ファル］：エンコーダも奪っておきながら‥‥これから私を、どうするつもり？
>>	［파르］：인코더까지 빼앗아 놓고‥‥이제 나를 어쩔 셈이야?
L21093	［宏治］：‥‥話がよく見えないんだけど、誘拐ってのが本当なら、すぐに元の場所へ帰してあげるよ。
>>	［코지］：‥‥무슨 얘긴지 잘 모르겠는데, 유괴가 사실이라면 바로 원래 있던 곳으로 돌려보내 줄게.
L21097	［宏治］：どうもオレは、ここではリーダーらしいし、決定権はオレにあるみたいだからね。
>>	［코지］：아무래도 난 여기선 리더인 모양이고, 결정권도 나한테 있는 것 같으니까.
L21100	［ファル］：ほ、本当？
>>	［파르］：저, 정말?
L21104	［宏治］：監禁はやめる。このシップ‥‥の中では、行動の自由も保証する。こんな感じでいいかな？
>>	［코지］：감금은 그만둘게. 이 함선‥‥ 안에서는 행동의 자유도 보장할게. 이런 정도면 될까?
L21107	［ファル］：‥‥表情が澄んだグリーンだわ。嘘は吐いてないようね。
>>	［파르］：‥‥표정이 맑은 그린이야. 거짓말은 안 하는 모양이네.
L21111	［宏治］：何だよグリーンって。ま、嘘を吐くつもりはないよ。
>>	［코지］：그린이 뭐야. 뭐, 거짓말할 생각은 없어.
L21114	［ファル］：‥‥じゃあ、どういうつもり？
>>	［파르］：‥‥그럼, 무슨 속셈이야?
L21118	［宏治］：どういうつもりって‥‥道義に反しない措置をとったつもりだけど‥‥。
>>	［코지］：속셈이라니‥‥도의에 어긋나지 않는 조치를 취했을 뿐인데‥‥.
L21121	［ファル］：逆よ。何故あなたが道義に沿った行為をするわけ？
>>	［파르］：반대야. 어째서 네가 도의에 맞는 행동을 하는 건데?
L21125	［宏治］：失礼だな、オレだって熱い血の通った人間だぜ。
>>	［코지］：무례하네, 나도 뜨거운 피가 흐르는 인간이라고.
L21128	［ファル］：それ、何かの冗談？
>>	［파르］：그거, 무슨 농담이야?
L21132	［宏治］：それこそ冗談だろ？　オレはいつだってマジだ。
>>	［코지］：그거야말로 농담이겠지?　난 언제나 진심이야.
L21136	［宏治］：な、なんだよ。
>>	［코지］：뭐, 뭐야.
L21139	［ファル］：何故かわからないけど、あなた、雰囲気が違うわ。
>>	［파르］：왜인지는 모르겠지만, 너, 분위기가 달라.
L21142	［ファル］：噂ほど、恐そうな感じじゃないわね。むしろ、暖かい色が出てる。
>>	［파르］：소문만큼 무서운 느낌은 아니네. 오히려 따뜻한 색이 나와.
L21146	［宏治］：何だよ、その色ってのは。
>>	［코지］：뭐야, 그 색이라는 건.
L21150	［ファル］：宇宙海賊のコウジといったら、冷徹で残虐非道の代名詞みたいになっていたから‥‥。
>>	［파르］：우주 해적 코우지라면, 냉혹하고 잔학무도한 자의 대명사나 마찬가지였으니까‥‥.
L21154	［宏治］：本当の事を言うとね、君が思った通り、実は違うんだよ。
>>	［코지］：사실대로 말하면, 네가 생각한 대로 실은 좀 달라.
L21158	［ファル］：違うって、あなたコウジでしょう？
>>	［파르］：다르다니, 너 코우지잖아?
L21162	［宏治］：ああ、オレは宏治だ。
>>	［코지］：그래, 난 코지야.
L21165	［ファル］：あの残虐非道の宇宙海賊で‥‥。
>>	［파르］：그 잔학무도한 우주 해적이고‥‥.
L21169	［宏治］：そこからが違う。
>>	［코지］：거기서부터가 달라.
L21172	［ファル］：‥‥どういうことよ？
>>	［파르］：‥‥무슨 소리야?
L21176	［宏治］：俺は宏治であって、コウジではないんだ。
>>	［코지］：난 코지이지, 코우지가 아니야.
L21179	［ファル］：なによそれ、どっかの宗教じゃないんだから。
>>	［파르］：뭐야 그게, 무슨 종교도 아니고.
L21183	［宏治］：説明は難しいから端折るけど、とにかく君に対して悪いようにはしないつもりだ。
>>	［코지］：설명하긴 어려우니 생략하겠지만, 아무튼 너한테 나쁘게 할 생각은 없어.
L21186	［ファル］：‥‥あ、ありがとう。
>>	［파르］：‥‥고, 고마워.
L21189	［宏治］：フフン、まあいいモノも見させてもらったしね‥‥<$0C>あっ。
>>	［코지］：후훗, 뭐 좋은 것도 봤으니까‥‥<$0C>앗.
L21193	［宏治］：痛っ‥‥ってーなぁ、頬を叩くことないだろう？
>>	［코지］：아야‥‥아프잖아, 뺨을 때릴 것까진 없잖아?
L21196	［ファル］：少しでも見直した私が馬鹿だったわ。
>>	［파르］：조금이라도 다시 본 내가 바보였어.
L21200	［宏治］：んな、誰だって綺麗なものに目はいくぜ。
>>	［코지］：에이, 누구든 예쁜 건 눈이 가는 법이야.
L21203	［ファル］：な、なにが綺麗なのよ‥‥。
>>	［파르］：뭐, 뭐가 예쁘다는 거야‥‥.
L21207	［宏治］：その、ファルの身体が‥‥。
>>	［코지］：그, 파르의 몸이‥‥.
L21211	［宏治］：あっ、もしかして紅くなって‥‥ちょっ、その振り上げたコブシは勘弁してよ。
>>	［코지］：앗, 혹시 빨개진 거‥‥잠깐, 그 치켜든 주먹은 좀 봐줘.
L21214	［ファル］：フン、エッチ。
>>	［파르］：흥, 변태.
L21218	［宏治］：ちぇっ‥‥とにかく、向こうで着替えて来いよ。色々聞きたいこともあるし。
>>	［코지］：칫‥‥아무튼, 저쪽에서 옷 갈아입고 와. 물어보고 싶은 것도 많고.
L21221	［ファル］：フン‥‥。
>>	［파르］：흥‥‥.
L21225	［宏治］：凶暴なんだか、普通の女の子なんだか、よくわからないなぁ。
>>	［코지］：난폭한 건지, 평범한 여자애인 건지, 잘 모르겠네.
L21229	［宏治］：ま、いいさ。それよりも、彼女から話を少しは聞けそうだし‥‥。
>>	［코지］：뭐, 됐어. 그보다 저 애한테 얘기를 좀 들을 수 있을 것 같고‥‥.
L21233	［宏治］：ん？　誰だろう‥‥。
>>	［코지］：응?　누구지‥‥.
L21237	［宏治］：確か、こうして‥‥このボタンを押すんだったな。
>>	［코지］：분명, 이렇게‥‥이 버튼을 누르는 거였지.
L21241	［トレイシー］：コウジ様、こちらでしたか。
>>	［트레이시］：코우지 님, 여기 계셨군요.
L21245	［宏治］：トレイシーじゃないか、どうしたのさ？
>>	［코지］：트레이시잖아, 무슨 일이야?
L21248	［トレイシー］：はい、本船の進路上にＧ２型大型シップを確認しましたが、いかがなさいますか？
>>	［트레이시］：네, 본선 진로상에 Ｇ２형 대형 함선을 확인했습니다만, 어떻게 하시겠습니까?
L21252	［宏治］：Ｇ２型って言われても‥‥どのくらいの大きさなんだい？
>>	［코지］：Ｇ２형이라고 해도‥‥어느 정도 크기인데?
L21255	［トレイシー］：概算で、本《クワドラ》の、約７倍強というところです。
>>	［트레이시］：대략 본선 《콰드라》의 약 ７배 남짓 됩니다.
L21259	［宏治］：ずいぶん大きなやつだなぁ。旅客機か何かなんじゃないの？
>>	［코지］：꽤 큰 놈이네. 여객선이나 뭐 그런 거 아냐?
L21262	［トレイシー］：いえ、この宙域は旅客路線から大きく外れています。
>>	［트레이시］：아뇨, 이 우주 구역은 여객 항로에서 크게 벗어나 있습니다.
L21266	［宏治］：ふーん、なんだろう。
>>	［코지］：흐음, 뭘까.
L21269	［トレイシー］：現状では、何とも申し上げられません。
>>	［트레이시］：현 상황에서는 뭐라 말씀드릴 수 없습니다.
L21273	［宏治］：こういう時の対処マニュアルみたいのって、ないの？
>>	［코지］：이럴 때 대처 매뉴얼 같은 건 없어?
L21276	［トレイシー］：マニュアルとおっしゃられましても‥‥。
>>	［트레이시］：매뉴얼이라고 하셔도‥‥.
L21280	［宏治］：じゃあ、いつもコウジが‥‥オレがやっていた対処法は？
>>	［코지］：그럼, 늘 코우지가‥‥내가 하던 대처법은?
L21283	［トレイシー］：あっ、はい‥‥とりあえず移動型の索敵ブイを放出して、相手の正体を確認するのが当面の対処法になると思います。
