# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L30950	［コウジ］：ときに、さっきの女性は誰だ？
>>	［코우지］：그런데, 아까 그 여자는 누구지?
L30953	［トレイシー］：さっきの‥‥？
>>	［트레이시］：아까‥‥?
L30957	［コウジ］：フッ、お前が唇を奪った女性だ。
>>	［코우지］：훗, 네가 입술을 빼앗은 그 여자다.
L30960	［トレイシー］：ランファ？
>>	［트레이시］：란파?
L30964	［コウジ］：そうか、ランファというのか。
>>	［코우지］：그런가, 란파라고 하는군.
L30967	［トレイシー］：か、彼女が‥‥何か？
>>	［트레이시］：그, 그녀가‥‥무슨 일이라도?
L30971	［コウジ］：なかなかだな‥‥。
>>	［코우지］：제법이더군‥‥.
L30974	［トレイシー］：ど、どういう‥‥ことでしょうか？
>>	［트레이시］：무, 무슨‥‥말씀이신지요?
L30978	［コウジ］：トレイシー、お前はあの女を落とせ。
>>	［코우지］：트레이시, 네가 저 여자를 함락시켜라.
L30981	［トレイシー］：えぇっ！？
>>	［트레이시］：에엣!?
L30985	［コウジ］：そして、お前の言いなりになるように、仕込んでおくんだ。
>>	［코우지］：그리고 네 말대로 따르도록 길들여 둬라.
L30988	［トレイシー］：そ、そんな‥‥なぜ‥‥なぜですか？
>>	［트레이시］：그, 그런‥‥어째서‥‥어째서입니까?
L30992	［コウジ］：僕が、彼女のことを気に入ったからだ。
>>	［코우지］：그녀가 내 마음에 들었기 때문이다.
L30995	［トレイシー］：‥‥！？
>>	［트레이시］：‥‥!?
L30998	［トレイシー］：（な、なんなの‥‥それって‥‥。）
>>	［트레이시］：（뭐, 뭐야‥‥그건‥‥.）
L31001	［トレイシー］：（彼女のことを気に入ったって‥‥。）
>>	［트레이시］：（그녀가 마음에 드셨다니‥‥.）
L31004	［トレイシー］：（な、何をドキドキしているの、トレイシー‥‥。）
>>	［트레이시］：（뭐, 뭘 두근거리는 거야, 트레이시‥‥.）
L31008	［トレイシー］：（別に、コウジ様は私のことを捨てるとか、そう言った訳じゃないわ。）
>>	［트레이시］：（딱히 코우지 님이 나를 버린다고 하신 건 아니잖아.）
L31011	［トレイシー］：（捨てる‥‥？）
>>	［트레이시］：（버린다‥‥?）
L31015	［トレイシー］：（ま、まさかコウジ様は、私のことにもう飽きられて‥‥。）
>>	［트레이시］：（서, 설마 코우지 님은 내게 벌써 싫증이 나셔서‥‥.）
L31018	［トレイシー］：（い、イヤよ、イヤ‥‥そんな‥‥。）
>>	［트레이시］：（시, 싫어, 싫어‥‥그런‥‥.）
L31022	［トレイシー］：（コウジ様がいない人生なんて、考えられない‥‥。）
>>	［트레이시］：（코우지 님이 없는 인생 따윈 생각할 수 없어‥‥.）
L31025	［トレイシー］：（あぁぁぁ、どうしたらいいの‥‥私‥‥。）
>>	［트레이시］：（아아아, 어쩌면 좋아‥‥나‥‥.）
L31029	［トレイシー］：（そんな‥‥コウジ様‥‥あぁぁぁ‥‥。）
>>	［트레이시］：（그런‥‥코우지 님‥‥아아아‥‥.）
L31033	［コウジ］：どうした、トレイシー。涙を浮かべて。
>>	［코우지］：무슨 일이냐, 트레이시. 눈물까지 글썽이고.
L31037	［トレイシー］：あぁぁ、コウジ様、私を捨てないで下さい！
>>	［트레이시］：아아, 코우지 님, 저를 버리지 말아 주십시오!
L31041	［トレイシー］：私、何でもします。コウジ様がしろということなら‥‥お願いです、何でも命じて下さい。
>>	［트레이시］：저, 뭐든 하겠습니다. 코우지 님이 하라시면‥‥부탁드립니다, 뭐든 명령해 주십시오.
L31045	［コウジ］：ほぉ、何でもするのか。
>>	［코우지］：호오, 뭐든 한다고?
L31048	［トレイシー］：はい！　お願いです、ですから‥‥ですから‥‥。
>>	［트레이시］：네!　부탁드립니다, 그러니까‥‥그러니까‥‥.
L31051	［トレイシー］：んっ‥‥‥‥。
>>	［트레이시］：읏‥‥‥‥.
L31055	［トレイシー］：（あぁぁ、コウジ様のキス‥‥優しい‥‥。）
>>	［트레이시］：（아아, 코우지 님의 키스‥‥다정해‥‥.）
L31058	［トレイシー］：（どうぞ、私の舌をぞんぶんになぶって下さい‥‥。）
>>	［트레이시］：（부디, 제 혀를 마음껏 희롱해 주세요‥‥.）
L31061	［トレイシー］：（そう、もっともっと‥‥んぐっ‥‥。）
>>	［트레이시］：（그래, 더, 더‥‥응흡‥‥.）
L31064	［トレイシー］：（もっと吸って、噛んでっ、舐めてっ、しごいてっ！）
>>	［트레이시］：（더 빨아 줘, 깨물어 줘, 핥아 줘, 훑어 줘!）
L31067	［トレイシー］：んんんっ‥‥‥‥あはぁぁぁぁ‥‥。
>>	［트레이시］：으응‥‥‥‥아하아아아‥‥.
L31071	［コウジ］：可愛いヤツだな、僕がお前のことを捨てる訳がないだろう。
>>	［코우지］：귀여운 녀석이군, 내가 너를 버릴 리가 없잖나.
L31074	［トレイシー］：ほ、本当に‥‥？
>>	［트레이시］：저, 정말입니까‥‥?
L31078	［コウジ］：うん。トレイシー、君が一番に決まっている。
>>	［코우지］：그래. 트레이시, 당연히 네가 제일이다.
L31082	［トレイシー］：あぁぁ、コウジ様‥‥コウジ様ぁ‥‥。
>>	［트레이시］：아아, 코우지 님‥‥코우지 니임‥‥.
L31086	［コウジ］：何でもすると言ったな。
>>	［코우지］：뭐든 하겠다고 했겠다.
L31090	［コウジ］：では、あのランファという女のことは、頼んだぞ。
>>	［코우지］：그럼, 저 란파라는 여자 일은 맡기겠다.
L31094	［コウジ］：あと、そこに落ちているバイブ、きちんと尻に入れておけ。
>>	［코우지］：그리고 거기 떨어진 바이브, 엉덩이에 제대로 넣어 두도록.
L31098	［トレイシー］：コウジ様が喜んで下さるなら、私は何でも‥‥。
>>	［트레이시］：코우지 님이 기뻐해 주신다면, 저는 뭐든‥‥.
L31101	［トレイシー］：そうよ、それが私たちの愛なの‥‥‥‥。
>>	［트레이시］：그래, 그게 우리의 사랑인 거야‥‥‥‥.
L31104	［ランファ］：トレイシー、お話って、なに？
>>	［란파］：트레이시, 할 얘기라는 게 뭐야?
L31107	［トレイシー］：えぇ‥‥‥‥。
>>	［트레이시］：응‥‥‥‥.
L31110	［トレイシー］：（迷ってはダメ‥‥一気にいかないと‥‥。）
>>	［트레이시］：（망설이면 안 돼‥‥단숨에 가야 해‥‥.）
L31113	［トレイシー］：（でも‥‥でも、こんなことが、許されるの‥‥？）
>>	［트레이시］：（하지만‥‥하지만, 이런 짓이 용서받을까‥‥?）
L31116	［トレイシー］：（あぁぁ、私、どうしたらいいの‥‥。）
>>	［트레이시］：（아아, 나, 어쩌면 좋아‥‥.）
L31120	［トレイシー］：（コウジ様‥‥お願いです‥‥‥‥。）
>>	［트레이시］：（코우지 님‥‥부탁드려요‥‥‥‥.）
L31123	［ランファ］：あの、お話がないのなら、部署に戻りたいんですけど‥‥。
>>	［란파］：저, 할 얘기가 없으면 부서로 돌아가고 싶은데요‥‥.
L31126	［トレイシー］：（警戒しているわ‥‥それはそうよね‥‥。）
>>	［트레이시］：（경계하고 있어‥‥그야 그렇겠지‥‥.）
L31129	［トレイシー］：ランファ、さっきのこと、謝りたいと思って‥‥。
>>	［트레이시］：란파, 아까 일을 사과하고 싶어서‥‥.
L31132	［トレイシー］：ごめんなさいね、ちょっとジョークが過ぎたかしら。
>>	［트레이시］：미안해, 농담이 좀 지나쳤나 봐.
L31135	［ランファ］：別に構いません。人それぞれに趣味はあると思いますし‥‥。
>>	［란파］：별로 상관없어요. 사람마다 취향은 있는 거니까요‥‥.
L31138	［トレイシー］：あれは、冗談だったのよ。
>>	［트레이시］：그건 농담이었어.
L31141	［ランファ］：本当ですか？
>>	［란파］：정말이에요?
L31144	［トレイシー］：えぇ、本当。
>>	［트레이시］：응, 정말.
L31147	［トレイシー］：私が、今までランファにウソをついたこと、あって？
>>	［트레이시］：내가 지금껏 란파한테 거짓말한 적 있어?
L31150	［ランファ］：わかりました、水に流すということですね。
>>	［란파］：알겠어요, 없던 일로 하자는 거군요.
L31153	［トレイシー］：そう、そういうことね。
>>	［트레이시］：그래, 그런 거야.
L31156	［トレイシー］：まだ、なにか？
>>	［트레이시］：아직 뭔가 있어?
L31159	［ランファ］：でも、なんで‥‥。
>>	［란파］：그런데, 어째서‥‥.
L31162	［ランファ］：何でいまトレイシーは、下着姿なの？
>>	［란파］：어째서 지금 트레이시는 속옷 차림인 거야?
L31165	［トレイシー］：女同士じゃない。気になる？
>>	［트레이시］：같은 여자끼리잖아. 신경 쓰여?
L31168	［ランファ］：そりゃあ‥‥人を部屋へ呼び出して、自分は下着姿っていうの、初めて聞きましたし。
>>	［란파］：그야‥‥사람을 방으로 불러 놓고 자기는 속옷 차림이라니, 처음 들어 봐요.
L31171	［トレイシー］：フフ、あなたが来るまでシャワーを浴びていたのよ。
>>	［트레이시］：후후, 네가 올 때까지 샤워를 하고 있었거든.
L31174	［ランファ］：‥‥本当？
>>	［란파］：‥‥정말?
L31177	［トレイシー］：まだ疑っているの？　さっきのアレはジョーク。
>>	［트레이시］：아직도 의심하는 거야?　아까 그건 농담이야.
L31180	［ランファ］：ンフフ、そうね。
>>	［란파］：응후후, 그렇네.
L31183	［トレイシー］：そう、さっきのはジョーク。でも‥‥。
>>	［트레이시］：그래, 아까 그건 농담. 하지만‥‥.
L31186	［ランファ］：で、でも‥‥？
>>	［란파］：하, 하지만‥‥?
L31189	［トレイシー］：これからが、本番なのよ‥‥。
>>	［트레이시］：지금부터가 진짜야‥‥.
L31192	［ランファ］：と、トレイシー‥‥や、ヤメ‥‥んっ！
>>	［란파］：트, 트레이시‥‥하, 하지 마‥‥응!
L31195	［トレイシー］：ごめんなさい、あなた、とっても可愛いんだもの。
>>	［트레이시］：미안해, 당신이, 너무 귀엽거든.
L31198	［ランファ］：お願い‥‥あぁぁ、お願い、やめて‥‥やめて‥‥。
>>	［란파］：부탁이에요‥‥아아아, 부탁이에요, 그만‥‥그만‥‥.
L31201	［トレイシー］：もうダメ‥‥ほーら、どんどん脱がしてあげる。
>>	［트레이시］：이제 소용없어‥‥자, 하나씩 벗겨 줄게.
L31204	［ランファ］：あぁぁ‥‥イヤぁぁぁ！　誰かぁぁぁぁっ！！
>>	［란파］：아아아‥‥싫어어어어!　누구야아아아앗!!
L31207	［トレイシー］：この部屋は防音なの。誰にも聞こえないわ‥‥。
>>	［트레이시］：이 방은 방음이야. 아무한테도 안 들려‥‥.
L31210	［ランファ］：お願いですぅ‥‥も、もう‥‥んっ‥‥。
>>	［란파］：부탁드려요‥‥이, 이제‥‥응‥‥.
L31213	［トレイシー］：（可愛らしい唇は、塞いでおいてあげる‥‥。）
>>	［트레이시］：（귀여운 입술은, 막아 둘게‥‥.）
L31216	［トレイシー］：（んっ‥‥歯を閉じて、私の舌を拒んでいるわ‥‥。）
>>	［트레이시］：（응‥‥이를 다물고, 내 혀를 거부하고 있어‥‥.）
L31219	［トレイシー］：（ゆっくり、その拒否を解いていってあげる‥‥。）
>>	［트레이시］：（천천히, 그 거부를 풀어 줄게‥‥.）
L31222	［トレイシー］：（小さく可愛らしい胸は‥‥？）
>>	［트레이시］：（작고 귀여운 가슴은‥‥?）
L31225	ビクッ。
>>	움찔.
L31228	［トレイシー］：（乳首も小さいわ‥‥私の半分くらい？）
>>	［트레이시］：（젖꼭지도 작네‥‥내 반 정도?）
L31231	［トレイシー］：（お尻も、ちっちゃくて可愛らしい‥‥。）
>>	［트레이시］：（엉덩이도, 작고 귀여워‥‥.）
L31234	［トレイシー］：（溝に沿って、撫でてあげるわ‥‥。）
>>	［트레이시］：（틈을 따라, 쓰다듬어 줄게‥‥.）
L31237	ツツツツツ‥‥‥‥。
>>	츠츠츠츠츠‥‥‥‥.
L31240	ビクッ、ビクッ。
>>	움찔, 움찔.
L31243	［トレイシー］：（ほーら、だんだん、拒否する力がなくなってきた‥‥。）
>>	［트레이시］：（자, 점점, 거부할 힘이 없어지고 있어‥‥.）
L31246	［トレイシー］：（今度は、歯茎を舐めてあげるわ‥‥。）
>>	［트레이시］：（이번엔, 잇몸을 핥아 줄게‥‥.）
L31249	［トレイシー］：（口は固く閉じていても、ここは防げないのよ‥‥。）
>>	［트레이시］：（입은 굳게 다물어도, 여긴 막을 수 없어‥‥.）
L31252	［トレイシー］：（歯茎の、端から端まで、舐めてあげる‥‥‥‥。）
>>	［트레이시］：（잇몸을, 끝에서 끝까지, 핥아 줄게‥‥‥‥.）
L31255	れろれろれろれろれろ‥‥。
>>	낼름낼름낼름낼름낼름‥‥.
L31258	［ランファ］：んんんっ‥‥‥‥んんっ‥‥‥‥。
>>	［란파］：으으응‥‥‥‥으응‥‥‥‥.
L31261	［トレイシー］：（もう少しね‥‥可愛らしいわ、この子‥‥。）
>>	［트레이시］：（조금만 더‥‥귀엽구나, 이 아이‥‥.）
L31264	［トレイシー］：（じゃあ、アソコはどうかしら‥‥。）
>>	［트레이시］：（그럼, 거기는 어떨까‥‥.）
L31267	［ランファ］：んん‥‥‥‥んんんっっ！！
>>	［란파］：으응‥‥‥‥으으응!!
L31270	［トレイシー］：（まぁ、こんなにおツユを滴らせて‥‥何て淫乱な子なのかしら‥‥。）
