# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L26002	［ランファ］：コウジ様、ランファ、あの時の事を忘れたこと、ありませんっ。
>>	［란파］：코우지 님, 란파, 그때 일을 잊은 적 없어요.
L26006	［宏治］：ら、ランファ‥‥。
>>	［코지］：라, 란파‥‥.
L26010	［ランファ］：コウジ様‥‥コウジ様が許してくれるなら、ランファ‥‥ランファ‥‥。
>>	［란파］：코우지 님‥‥코우지 님이 용서해 주신다면, 란파‥‥란파‥‥.
L26014	［宏治］：（くそぉ、コウジのやつ、こんないい子を泣かせるなんて‥‥。）
>>	［코지］：（젠장, 코우지 녀석, 이런 착한 애를 울리다니‥‥.）
L26017	オレは意を決して語りだした。これは、彼女に言っておかなくては、フェアじゃない。
>>	나는 마음을 굳히고 말을 꺼냈다. 이건 그녀에게 말해 두지 않으면 공평하지 않다.
L26021	［ランファ］：プロポーションも歳の割に子供っぽいのは気にしてるんです。でも、でも、コウジ様をお慕いする想いだけは、トレイシーにだって負けないつもりでしたっ。
>>	［란파］：몸매도 나이에 비해 애 같은 게 신경 쓰여요. 하지만, 하지만, 코우지 님을 사모하는 마음만은 트레이시한테도 지지 않을 생각이었어요!
L26025	［ランファ］：それはメカフェチで、エンジンやシャトルに頬摺りしたりする時もあるけど、だけど、だけど‥‥コウジ様のことを忘れたことは、１度だってありませんっ！
>>	［란파］：그야 메카 페티시라 엔진이나 셔틀에 뺨을 비빌 때도 있지만, 그래도, 그래도‥‥코우지 님을 잊은 적은 단 한 번도 없어요!
L26029	［宏治］：だ、誰もそんなこと、言ってないじゃないか。
>>	［코지］：아, 아무도 그런 말 안 했잖아.
L26033	［ランファ］：ふぇ～～んっ、コウジ様が、コウジ様が‥‥。
>>	［란파］：흐에～～엥, 코우지 님이, 코우지 님이‥‥.
L26036	しょうがないなぁ‥‥。
>>	어쩔 수 없구나‥‥.
L26040	［ランファ］：こ、コウジ‥‥んっ！？
>>	［란파］：코, 코우지‥‥읏!?
L26043	オレはランファの唇を自分のそれでふさいだ。目を大きく見開くと、オレのことを当惑と困惑の表情で見つめている。
