# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L11	　◆ 先に進む　　
>>	　◆ 다음으로　　
L13	　◆ 最後尾に進む
>>	　◆ 맨 뒤로
L15	　◆ メニューに戻る　　　
>>	　◆ 메뉴로　　　
L17	　◆ 前に戻る
>>	　◆ 이전으로
L58	　◆ 最初の絵に戻る　
>>	　◆ 첫 그림으로　
L60	　◆ メニューに戻る
>>	　◆ 메뉴로
L62	　ゲームの続きをロードする。　
>>	　이어서 불러온다.　
L64	　メニューへ戻る。
>>	　메뉴로 돌아간다.
L66	　データ１をロードする。　
>>	　데이터１을 불러온다.　
L68	　データ２をロードする。
>>	　데이터２를 불러온다.
L70	　データ３をロードする。
>>	　데이터３을 불러온다.
L72	　データ４をロードする。
>>	　데이터４를 불러온다.
L74	　　　　　　　　～　ミュージックモード　～
>>	　　　　　　　　～　뮤직 모드　～
L82	　　　　　　　　　　     　蝶
>>	　　　　　　　　　     　나비
L114	天上の神々を動かせれば、冥界をも動かさん‥‥
>>	천상의 신들을 움직일 수 있다면, 명계마저 움직이리라‥‥
L120	　　　　さぁ、あなたはこれから、目を覚まします。
>>	　　　　자, 당신은 이제 곧 눈을 뜹니다.
L123	　あなたがそこで見聞きすることは、全て現実なのです。
>>	　당신이 그곳에서 보고 듣는 것은, 모두 현실입니다.
L126	　　　　　　　そう、すべてが・・・・・
>>	　　　　　　　그래요, 모든 것이‥‥‥
L129	　　　あなたの心を、忠実に反映する鏡として・・・・
>>	　　　당신의 마음을, 충실히 비추는 거울로서‥‥
L132	　　　　さぁ、これからあなたは現実にもどります。
>>	　　　　자, 이제 당신은 현실로 돌아갑니다.
L135	これから３つ数えると、あなたは目を覚まします。いいですね？
>>	이제 셋을 세면, 당신은 눈을 뜹니다. 알겠지요?
L138	　では、ひとつ‥‥‥
>>	　그럼, 하나‥‥‥
L140	　では、ひとつ‥‥‥<$0C>ふたつ‥‥‥‥<$0C>みっつ‥‥‥‥。
>>	　그럼, 하나‥‥‥<$0C>둘‥‥‥‥<$0C>셋‥‥‥‥.
L144	［涼子］：宏治クン、どうしたの？
>>	［료코］：코지 군, 무슨 일이야?
L148	［宏治］：あっ‥‥りょ、涼子先生‥‥。
>>	［코지］：앗‥‥료, 료코 선생님‥‥.
L151	［涼子］：ずいぶんと長い間、ボーっとしていたけど、大丈夫？
>>	［료코］：꽤 오랫동안 멍하니 있던데, 괜찮아?
L155	［宏治］：えっ？　えぇ‥‥何だか、今日見た夢を思い出していまして‥‥。
>>	［코지］：네?　아‥‥어쩐지, 오늘 꾼 꿈을 떠올리고 있어서‥‥.
L158	［涼子］：夢？　ここのところ、毎日見るという、例の‥‥？
>>	［료코］：꿈?　요즘 매일 꾼다는, 그‥‥?
L162	［宏治］：そうなんですよ、うなされています。
>>	［코지］：그래요, 가위에 눌리고 있어요.
L165	そうだった‥‥僕は、ここのところ毎日あの夢を見る‥‥あの言い様のない、緊張の不安をあおり立てる、恐い恐い夢だった。
>>	그랬다‥‥나는 요즘 매일 그 꿈을 꾼다‥‥그 형언할 수 없는, 긴장과 불안을 부추기는, 무섭고 무서운 꿈이었다.
L168	目の前の女性‥‥涼子は、短い髪を後ろにかき上げると、いくぶん厳しい顔を僕に向けた。
>>	눈앞의 여성‥‥료코는 짧은 머리를 뒤로 쓸어 올리며, 조금 엄한 얼굴로 나를 바라보았다.
L171	［涼子］：とりあえず催眠治療は、このくらいにしておきましょう。
>>	［료코］：일단 최면 치료는 이 정도로 해 두자.
L175	［宏治］：えっ‥‥？　もう終わりですか。
>>	［코지］：네‥‥?　벌써 끝인가요.
L178	［涼子］：終わりではないわ。今日は、その夢のことも聞かせて頂戴。
>>	［료코］：끝이 아니야. 오늘은 그 꿈 이야기도 들려줘.
L182	［宏治］：ゆ、夢のことも‥‥ですか？
>>	［코지］：꾸, 꿈 이야기도‥‥요?
L185	［涼子］：フフ、恥ずかしがるような夢、なのかしら？
>>	［료코］：후후, 부끄러워할 만한 꿈인가?
L189	［宏治］：まさか‥‥‥。
>>	［코지］：설마‥‥‥.
L192	［涼子］：私は医者よ。話しても、大丈夫。
>>	［료코］：난 의사야. 말해도 괜찮아.
L196	［宏治］：はい‥‥‥‥。
>>	［코지］：네‥‥‥‥.
L199	一息吐くと、順を追って話しはじめた。
>>	숨을 한 번 고르고, 나는 차례대로 이야기하기 시작했다.
L203	［宏治］：あそこは、暗く寂しい場所でした‥‥‥‥。
>>	［코지］：그곳은, 어둡고 쓸쓸한 곳이었어요‥‥‥‥.
L215	ここは‥‥‥‥。
>>	여기는‥‥‥‥.
L221	どうも、頭がボーっとしている‥‥‥‥。
>>	어쩐지, 머리가 멍하다‥‥‥‥.
L224	まるで、頭の中を誰かにいじられていたようだ‥‥。
>>	마치, 머릿속을 누군가가 헤집어 놓은 것 같다‥‥.
L227	妙な夢をみたが‥‥‥‥。
>>	묘한 꿈을 꾸었지만‥‥‥‥.
L230	夢か‥‥‥‥。
>>	꿈인가‥‥‥‥.
L233	そうか‥‥‥。
>>	그런가‥‥‥.
L236	どうやら病室に、私はいるらしい‥‥。
>>	아무래도 나는 병실에 있는 모양이다‥‥.
L239	しかし、どうも意識がはっきりとしない‥‥。
>>	하지만, 도무지 의식이 또렷하지 않다‥‥.
L242	いや、意識というか‥‥‥‥。
>>	아니, 의식이라기보다‥‥‥‥.
L245	どうも覚えがないな‥‥。
>>	도무지 기억이 없군‥‥.
L248	なぜ私は、ここに居なくてはならないんだろうか‥‥？
>>	어째서 나는, 여기 있어야만 하는 걸까‥‥?
L251	ここはどうやら、ベッドの上だ。しかも病室らしい‥‥。
>>	여기는 아무래도, 침대 위다. 게다가 병실인 듯하다‥‥.
L254	ここにいるということは、私は何か病気か、あるいは怪我でもしたのだろうか‥‥。
>>	여기 있다는 건, 내가 무슨 병에 걸렸거나, 아니면 다치기라도 했다는 걸까‥‥.
L257	あたりはシンと静まっている‥‥。
>>	주위는 쥐 죽은 듯 조용하다‥‥.
L260	私の下で、ベッドが微かにきしむ音を伝えてくるだけだ‥‥。
>>	내 밑에서, 침대가 희미하게 삐걱대는 소리를 전해올 뿐이다‥‥.
L263	ベッドから身を起こそうとして、私は気が付いた。
>>	침대에서 몸을 일으키려다, 나는 알아차렸다.
L266	何だ、これは‥‥。
>>	뭐지, 이건‥‥.
L269	私の身体のあちこちに、白く丸い吸盤のような物体が付着していた。額、胸、腹、脚と各部に数個ずつ。
>>	내 몸 곳곳에, 하얗고 둥근 흡착판 같은 물체가 붙어 있었다. 이마, 가슴, 배, 다리에 몇 개씩.
L272	その白い吸盤のような物体からは、細い導線のようなものが伸びていて、ベッド傍らの不可解な箱へと繋がっていた。
>>	그 하얀 흡착판에서는, 가느다란 도선 같은 것이 뻗어 나와, 침대 옆의 알 수 없는 상자로 이어져 있었다.
L275	これではまるで、モルモットみたいじゃないか‥‥。
>>	이래서는 마치, 실험용 쥐 같지 않은가‥‥.
L278	私は１つ１つ、丸い吸盤を身体から引き剥がしていった。白いノリのような跡は、手でこすって消す。
>>	나는 하나하나, 둥근 흡착판을 몸에서 떼어냈다. 하얀 접착제 같은 자국은, 손으로 문질러 지운다.
L281	ようやく全部の吸盤を引き剥がすと、ベッドから身を起し、次に行動すべきことを思案してみた。
>>	겨우 흡착판을 전부 떼어내고, 침대에서 몸을 일으켜, 다음에 할 일을 궁리해 보았다.
L284	　◆ ここにいても時間の無駄だ。部屋を出てみよう。
>>	　◆ 여기 있어 봐야 시간 낭비다. 방을 나가 보자.
L287	　◆ ナースを呼ぶことは出来ないだろうか‥‥。
>>	　◆ 간호사를 부를 수는 없을까‥‥.
L290	　◆ まずは部屋の中を色々と調べてからだ。
>>	　◆ 우선 방 안부터 이것저것 조사해 봐야겠다.
L293	ここにいても時間の無駄だ。部屋を出てみよう。
>>	여기 있어 봐야 시간 낭비다. 방을 나가 보자.
L296	そう自分に言い聞かせると、私はベッドから立ち上がった。
>>	그렇게 스스로를 타이르고, 나는 침대에서 일어섰다.
L299	ヒンヤリとした感触が、足の裏から伝わってくる。私は軽く身震いをしてしまった。
>>	서늘한 감촉이, 발바닥으로 전해져 온다. 나는 가볍게 몸을 떨고 말았다.
L305	（服は‥‥‥‥。）
>>	（옷은‥‥‥‥.）
L308	（服はどこだ‥‥？）
>>	（옷은 어디 있지‥‥?）
L311	幸い、この部屋は個室のようだった。私はしばし、生まれたままの姿で、唖然と立ち尽くしていた。
>>	다행히, 이 방은 1인실인 듯했다. 나는 한동안, 태어난 그대로의 모습으로, 멍하니 서 있었다.
L314	（たちの悪い冗談だな‥‥。）
>>	（질 나쁜 농담이군‥‥.）
L317	軽い笑みをもらすと、私は当面の問題を解決しにかかった。
>>	옅은 웃음을 흘리고, 나는 당면한 문제를 해결하러 나섰다.
