# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L22725	［ファル］：何を訳のわからない事を言ってるのよ。
>>	［파르］：무슨 영문 모를 소릴 하는 거야.
L22729	［宏治］：じゃあ、あと１つだけ教えてくれよ。
>>	［코지］：그럼, 딱 하나만 더 알려줘.
L22732	［ファル］：‥‥つまらないことは、聞かないで頂戴。
>>	［파르］：‥‥시시한 건 묻지 말아 줘.
L22736	［宏治］：あぁ、もちろんさ。
>>	［코지］：아, 물론이지.
L22740	［宏治］：エンコーダというのは？
>>	［코지］：인코더라는 게 뭐야?
L22743	［ファル］：サイキックプログラム・エンコーダが、正式名称よ。
>>	［파르］：사이킥 프로그램 인코더가 정식 명칭이야.
L22747	［宏治］：もしかして、君が入っていたあの棺桶みたいなやつ？
>>	［코지］：혹시, 네가 들어가 있던 그 관짝 같은 거?
L22750	［ファル］：棺桶とは言ってくれるわね。あれは私が開発した、画期的なサイコエンコーダなのよ。
>>	［파르］：관짝이라니 말 한번 잘하네. 저건 내가 개발한 획기적인 사이코 인코더야.
L22754	［宏治］：き、君が開発しただって！？　バカ言えよ！
>>	［코지］：네, 네가 개발했다고!?　말도 안 돼!
L22757	［ファル］：失礼ね。私はこう見えても、王立科学技術局に従事しているプロフェッサよ。
>>	［파르］：실례네. 나 이래 봬도 왕립과학기술국 소속 프로페서라고.
L22760	［ファル］：あら、信じられないって顔をしているわね。
>>	［파르］：어머, 못 믿겠다는 얼굴이네.
L22764	［宏治］：だってさ、プロフェッサって言ったら、かなり偉い人だろ？
>>	［코지］：그치만 프로페서라면 꽤 대단한 사람이잖아?
L22767	［ファル］：何か変な言い方だけど、そう言えるわね。
>>	［파르］：뭔가 이상한 표현이지만, 그렇다고 할 수 있지.
L22771	［宏治］：だったらマル眼鏡をかけて、背がちっこくて、ヨボヨボで髭を生やしたオッサンって、相場が決まってる。
>>	［코지］：그럼 동그란 안경에 키 작고 비실비실하고 수염 난 아저씨로 정해져 있다고.
L22774	［ファル］：何よ、その思いきり偏見に満ち満ちたプロフェッサ像は。
>>	［파르］：뭐야, 그 편견 가득한 프로페서 상은.
L22778	［宏治］：失礼だけど、歳はいくつ？
>>	［코지］：실례지만, 나이가 몇이야?
L22781	［ファル］：本当に失礼ね、あなたって。
>>	［파르］：정말 실례네, 당신은.
L22785	［宏治］：裏をかいて、８０歳ってのは無しにしようぜ。
>>	［코지］：허를 찌른답시고 ８０살, 그런 건 없기로 하자.
L22788	［ファル］：失礼ねっ！　このピチピチしたお肌の、どこが８０なわけ！？
>>	［파르］：실례야!　이 탱탱한 피부 어디가 ８０이라는 거야!?
L22792	［宏治］：まさか、８０じゃなくて８００ってのも、ゴメン被るぜ。
>>	［코지］：설마 ８０이 아니라 ８００이란 것도 사양이다.
L22795	バキィィッ！！
>>	퍼어억!!
L22799	［宏治］：（つくづく手の早い女性だな‥‥。）
>>	［코지］：（참으로 손부터 나가는 여성이군‥‥.）
L22802	［ファル］：フン、聞きたいのは私の歳のこと？
>>	［파르］：흥, 듣고 싶은 게 내 나이야?
L22806	［宏治］：いや、本筋に戻ろう。トレイシーたちは、例の棺桶を大宇宙海賊なんとかジェネレータって、呼んでいたけど？
>>	［코지］：아니, 본론으로 돌아가자. 트레이시 일행은 그 관짝을 대우주해적 어쩌고 제네레이터라고 부르던데?
L22809	［ファル］：あれは、あなたが勝手に付けた名前なの。
>>	［파르］：그건 당신이 멋대로 붙인 이름이야.
L22813	［宏治］：ふーん、コウジってヤツは、そのエンコーダを利用して、何をしようとしていたんだい？
>>	［코지］：흐음, 코우지란 녀석은 그 인코더로 뭘 하려던 거야?
L22816	［ファル］：‥‥あなたって、自分のことを客観的に話す人なのね。
>>	［파르］：‥‥당신은 자기 얘기를 객관적으로 하는 사람이네.
L22820	［宏治］：フッ、ゴルゴ宏治と呼んでくれよ。
>>	［코지］：훗, 골고 코지라고 불러줘.
L22824	［ファル］：何よそれは。まあ、コウジの目論見は大方予想が付いているわ。
>>	［파르］：그건 또 뭐야. 뭐, 코우지의 속셈은 대충 짐작이 가.
L22828	［宏治］：いったいそれは？
>>	［코지］：대체 그게 뭔데?
L22831	［ファル］：エンコーダを利用して、自らを思念体、いわゆるアストラルボディに分離して、宇宙のあらゆる場所へ移動可能とすること。
>>	［파르］：인코더로 자신을 사념체, 이른바 아스트랄 보디로 분리해 우주 어디로든 이동 가능하게 하는 것.
L22835	［宏治］：アストラル‥‥なんだって？
>>	［코지］：아스트랄‥‥뭐라고?
L22838	［ファル］：アストラルボディよ。これによって、肉体の形骸化が起き、思念体のみに意識が移ることになる。
>>	［파르］：아스트랄 보디. 이걸로 육체는 껍데기가 되고, 의식은 사념체로만 옮겨가.
L22842	［宏治］：申し訳ない、まるっきりわからないんだけど。
>>	［코지］：미안한데, 전혀 모르겠어.
L22845	［ファル］：はぁ、何だかデキの悪い学生に、講義してる気分ね。
>>	［파르］：하아, 어쩐지 못난 학생한테 강의하는 기분이네.
L22849	［宏治］：‥‥悪かったな。
>>	［코지］：‥‥미안하게 됐군.
L22852	［ファル］：いいわ、聞きなさい。アストラルボディは、事実上の思念体、物理的な肉体を持たないわ。
>>	［파르］：좋아, 잘 들어. 아스트랄 보디는 사실상 사념체라 물리적인 육체가 없어.
L22856	［宏治］：あぁ、それで？
>>	［코지］：아, 그래서?
L22860	［ファル］：だから、どのような場所にでも、入り込むことができる。例えば、コウジ！
>>	［파르］：그러니 어떤 장소에든 들어갈 수 있어. 예를 들면, 코우지!
L22864	［宏治］：ビクッ。
>>	［코지］：움찔.
L22867	［ファル］：あなたが、朝のさわやかなお通じをしている場所に、そっと進入してくることも可能なのよ。
>>	［파르］：당신이 아침에 상쾌하게 볼일 보는 곳에 슬쩍 침입하는 것도 가능하다는 거야.
L22871	［宏治］：なんちゅう例えだよ。
>>	［코지］：뭔 비유가 그래.
L22874	［ファル］：しかもアストラルボディに空間的距離は意味をなさないわ。時間的距離はゼロ、つまり理論上、速度は無限大にまで増加する。
>>	［파르］：게다가 아스트랄 보디에겐 공간적 거리가 의미 없어. 시간적 거리는 제로, 즉 이론상 속도는 무한대까지 올라가.
L22878	［ファル］：いい？　これは大変なことなのよ。これによって、機密というものは事実上無くなってしまう、コウジは宇宙の情報を一手に掌握してしまうつもりなのよっ！‥‥はぁはぁはぁ。
>>	［파르］：알겠어?　이건 엄청난 일이야. 이걸로 기밀이란 건 사실상 사라져 버려, 코우지는 우주의 정보를 혼자 장악할 셈이라고!‥‥하아하아하아.
L22882	［宏治］：はい、お水。
>>	［코지］：자, 물.
L22885	［ファル］：あ、ありがとう‥‥ごくっ、ごくっ、ごくっ。
>>	［파르］：고, 고마워‥‥꿀꺽, 꿀꺽, 꿀꺽.
L22889	［宏治］：なるほど、情報の掌握か。力でねじ伏せようとしないところは、なかなか好感が持てるな。
>>	［코지］：과연, 정보 장악이라. 힘으로 억누르려 들지 않는 점은 꽤 호감이 가는데.
L22892	［ファル］：バカ言わないでよ。１人の人間に、全ての情報が掌握されるなんてことになったら‥‥。
>>	［파르］：바보 같은 소리 마. 한 사람이 모든 정보를 장악하게 되면‥‥.
L22896	［宏治］：何でそんなシロモノを作ったりしたのさ。
>>	［코지］：왜 그런 물건을 만든 거야.
L22899	［ファル］：‥‥えっ？
>>	［파르］：‥‥어?
L22903	［宏治］：だから、何でそんな危なっかしい機械を作ったりしたのさ、君は。
>>	［코지］：그러니까, 왜 그런 위험천만한 기계를 만든 거냐고, 너는.
L22907	［宏治］：別に、海賊コウジじゃなくても、そのエンコーダとやらを利用してやるってヨコシマな輩は、いくらでも出てきそうなもんじゃないか。
>>	［코지］：굳이 해적 코우지가 아니어도, 그 인코더를 써먹으려는 사악한 놈들은 얼마든지 나올 것 같잖아.
L22910	［ファル］：そ、それは‥‥‥。
>>	［파르］：그, 그건‥‥‥.
L22914	［宏治］：人類全員が聖人君子って訳じゃないし、そうしたリスクを考えなかったのかい？
>>	［코지］：인류 전부가 성인군자인 것도 아닌데, 그런 위험을 생각 안 했어?
L22918	［宏治］：はぁ、科学者ってのはこうなんだよな、自分の研究しているものが、どういう事になるのかを全く想像しないんだ。
>>	［코지］：하아, 과학자란 게 이렇다니까. 자기가 연구하는 게 어떤 결과를 낳을지 전혀 상상을 안 해.
L22921	［ファル］：ち、違うわ‥‥。
>>	［파르］：아, 아니야‥‥.
L22925	［宏治］：いやそうさ。オレが知っている先生もね、そういうタイプなんだ。無茶苦茶頭はいいんだけど、想像力がちょっと欠如していてね。
