# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L15287	［コウジ］：くっ‥‥大宇宙海賊たる、この私が‥‥。
>>	［코우지］：큭‥‥대우주 해적인, 이 내가‥‥.
L15290	地面が急速に私の方へと起きあがってくる。意識が遠のいていく‥‥私は床の冷たさを感じながら‥‥。
>>	지면이 급속히 내 쪽으로 솟아오른다. 의식이 멀어져 간다‥‥나는 바닥의 차가움을 느끼며‥‥.
L15293	（ファル‥‥‥‥。）
>>	（파르‥‥‥‥.）
L15296	（そうだ、ファルがエンコーダと一緒に‥‥。）
>>	（그렇지, 파르가 인코더와 함께‥‥.）
L15300	［コウジ］：（そうか、ここは思念を結ぶアストラル界‥‥。）
>>	［코우지］：（그런가, 여기는 사념을 잇는 아스트랄계‥‥.）
L15304	［コウジ］：（時間と空間を超越した、超空間‥‥‥‥。）
>>	［코우지］：（시간과 공간을 초월한, 초공간‥‥‥‥.）
L15308	［コウジ］：（すると、あの声は‥‥‥‥。）
>>	［코우지］：（그렇다면, 그 목소리는‥‥‥‥.）
L15311	［男の声］：‥‥絶対に助けに行ってやるからな。待っていろ‥‥。
>>	［남자 목소리］：‥‥반드시 구하러 갈 테니까. 기다리고 있어라‥‥.
L15314	私はほぼ確信を込めて、声に向かって言い放った。
>>	나는 거의 확신을 담아, 목소리를 향해 내뱉었다.
L15318	［コウジ］：貴様では無理だ。
>>	［코우지］：네놈으론 무리다.
L15321	［男の声］：な、なに‥‥。
>>	［남자 목소리］：뭐, 뭐야‥‥.
L15325	［コウジ］：貴様では無理だと言ったのだ。
>>	［코우지］：네놈으론 무리라고 말했다.
L15328	［男の声］：誰だ！？
>>	［남자 목소리］：누구냐!?
L15332	［コウジ］：貴様では、ビアンカには勝てん。
>>	［코우지］：네놈으론, 비앙카를 이길 수 없다.
L15335	［男］：さ、さっき、『よけろ』って耳元で叫んだ男か！？
>>	［남자］：바, 방금, 『피해』라고 귓가에 외친 남자냐!?
L15338	［男］：誰だ、お前は。
>>	［남자］：누구냐, 너는.
L15342	［コウジ］：私のことか？
>>	［코우지］：나 말이냐?
L15345	［男］：そうだよ。
>>	［남자］：그래.
L15348	［男］：ま、待て。オレが当てよう。
>>	［남자］：자, 잠깐. 내가 맞혀 보지.
L15351	［男］：答え、オレの妄想の産物。
>>	［남자］：정답, 내 망상의 산물.
L15354	［男］：違うのか？　じゃあ、２重人格のもう１人。
>>	［남자］：아닌가?　그럼, ２중인격의 또 １명.
L15357	［男］：単なる夢。
>>	［남자］：단순한 꿈.
L15361	［コウジ］：私は妄想でもないし、２重人格でもないし、そしてこれは夢ではない。
>>	［코우지］：나는 망상도 아니고, ２중인격도 아니며, 그리고 이건 꿈이 아니다.
L15364	［男］：じゃあ何だよ。
>>	［남자］：그럼 뭐냐고.
L15368	［コウジ］：私こそ、天才かつ大宇宙の覇者たらんとする、大海賊である。
>>	［코우지］：내가 바로, 천재이자 대우주의 패자가 되려는, 대해적이다.
