# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L2441	［宏治］：もう、限界だよ‥‥。
>>	［코지］：이제, 한계야‥‥.
L2444	僕がベッドへ、うつ伏せに倒れ込んだ、その時‥‥。
>>	내가 침대에 엎어지듯 쓰러진, 그때‥‥.
L2447	［女の声］：きゃっ！！
>>	［여자 목소리］：꺄악!!
L2450	ややこもった、それでいて鋭い悲鳴が僕の胸の下から聞こえてきた。と同時に、柔らかい感触も伝わってくる。
>>	조금 먹먹하면서도 날카로운 비명이 내 가슴 아래에서 들려왔다. 동시에 부드러운 감촉도 전해져 온다.
L2453	［女の声］：いったーい‥‥ちょっとぉ、早くどいてよ。
>>	［여자 목소리］：아파아‥‥좀, 빨리 비켜.
L2457	［宏治］：ご、ゴメン‥‥。
>>	［코지］：미, 미안‥‥.
L2460	［女］：あイタタ‥‥もぉ、思いきり、圧縮してくれたわね。このふくよかなバストが、潰れちゃったわ。
>>	［여자］：아야야‥‥진짜, 실컷 눌러 줬네. 이 풍만한 가슴이 다 뭉개졌잖아.
L2464	［宏治］：ご、ゴメン‥‥まさかベッドの中にいるとは、思わなかったんだ。
>>	［코지］：미, 미안‥‥설마 침대 속에 있을 줄은 몰랐어.
L2467	［女］：なによぉ、今日来るって言ってあったでしょう？
>>	［여자］：뭐야, 오늘 온다고 말해 뒀잖아?
L2471	［宏治］：そういう問題じゃないんだけど‥‥。
>>	［코지］：그런 문제가 아닌데‥‥.
L2474	目の前には、ボーイッシュな女性が、僕を見上げていた。
>>	눈앞에서 보이시한 여자가 나를 올려다보고 있었다.
L2477	言葉はややぶっきらぼうだけど、顔は屈託のない笑みを浮かべている‥‥恵だ。
>>	말투는 좀 퉁명스럽지만, 얼굴엔 천진한 미소를 띠고 있다‥‥메구미다.
L2480	［恵］：ちょっと、遅かったんじゃない？
>>	［메구미］：좀, 늦은 거 아냐?
L2484	［宏治］：ゴメン、本当に。カウンセリングが、意外にのびちゃって‥‥。
>>	［코지］：미안, 정말로. 카운슬링이 생각보다 길어져서‥‥.
L2487	［恵］：ふーん、私はてっきりまた、女の子とおしゃべりでもしていたのかと思った。
>>	［메구미］：흐응, 난 또 여자애랑 수다라도 떨고 있는 줄 알았지.
L2490	［恵］：‥‥‥‥‥‥。
>>	［메구미］：‥‥‥‥‥‥.
L2493	［恵］：うん、大丈夫みたいね、感心感心。
>>	［메구미］：응, 괜찮은 것 같네, 기특기특.
L2496	恵の常套手段なのだ、これは。
>>	메구미의 상투적인 수법이다, 이건.
L2499	カマをかけて、僕の様子をうかがっていたのだろう。僕も慣れたモノで、ポーカーフェースに徹することができたようだ。
>>	넌지시 떠보며 내 상태를 살핀 거겠지. 나도 익숙해져서 포커페이스를 잘 지켜낸 모양이다.
L2502	サバサバとしていてデジタルな女性のようだが、意外に一途なところがあって、おまけに嫉妬深い。
>>	시원시원하고 건조한 여자 같지만, 의외로 한결같은 구석이 있고 게다가 질투도 심하다.
L2505	［恵］：もう、遅いもんだから、フカフカのベッドで少し寝ちゃったわ。
>>	［메구미］：진짜, 하도 늦길래 푹신한 침대에서 좀 자 버렸잖아.
L2509	［宏治］：ぐっすり眠っていたようだけど？
>>	［코지］：푹 자고 있던 것 같은데?
L2512	［恵］：えぇ、気持ちよかった。エネルギー充てんというところね。
>>	［메구미］：응, 기분 좋았어. 에너지 충전이랄까.
L2516	［宏治］：僕はもう、死にそうだよ‥‥。
>>	［코지］：난 이제, 죽을 것 같아‥‥.
L2519	［恵］：泣き言は聞きたくない。
>>	［메구미］：우는소리는 듣고 싶지 않아.
L2523	［宏治］：泣き言じゃないよ、本心だ。
>>	［코지］：우는소리 아니야, 진심이야.
L2526	［恵］：私がここのお仕事、紹介したせい？
>>	［메구미］：내가 여기 일자리 소개해 준 탓이야?
L2529	肯定したかったが、さすがにそれは大人げない。第一、恵の顔が曇るのを、僕は見たくはなかった。
>>	그렇다고 하고 싶었지만, 그건 너무 어른답지 못하다. 무엇보다 메구미의 얼굴이 흐려지는 걸 보고 싶지 않았다.
L2532	肩をしゃくりあげて、首を横に振ると、
>>	어깨를 으쓱하고 고개를 가로저으며,
L2536	［宏治］：仕事はいつも、疲れるもんだよ。
>>	［코지］：일이란 건 원래 늘 피곤한 거야.
L2539	［恵］：ちゃんとやってくれないと、私がパパにあわせる顔がないんだからねっ。
>>	［메구미］：제대로 해 주지 않으면, 내가 아빠 볼 낯이 없단 말이야.
L2543	［宏治］：血の繋がってないパパに？
>>	［코지］：피도 안 섞인 아빠한테?
L2546	［恵］：ぶつわよ、もぉ。
>>	［메구미］：때린다, 진짜.
L2549	口で言うほど怒ってはいない。むしろ、甘えたような声で、ベッドに座っている僕にすりよってくる。
>>	말만큼 화난 건 아니다. 오히려 어리광 부리는 목소리로, 침대에 앉은 내게 바싹 붙어 온다.
