# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L30167	［コウジ］：もっと、両側に開くんだ。
>>	［코우지］：더, 양옆으로 벌리는 거야.
L30170	［トレイシー］：あぁぁぁ、こう？
>>	［트레이시］：아아아, 이렇게?
L30174	［コウジ］：トレイシー、君は見られて感じている。
>>	［코우지］：트레이시, 넌 보여서 느끼고 있어.
L30177	［トレイシー］：ち、違うわ‥‥み、見られて感じたんじゃ‥‥。
>>	［트레이시］：아, 아니야‥‥보, 보여서 느낀 게‥‥.
L30181	［コウジ］：いや、そうさ。じゃあ、何故ここがこんなに‥‥。
>>	［코우지］：아니, 그런 거야. 그럼, 어째서 여기가 이렇게‥‥.
L30184	［トレイシー］：あぅぅっ！　さ、触ったら、ダメ！
>>	［트레이시］：아웅!　마, 만지면, 안 돼!
L30188	［コウジ］：なぜココが、こんなに敏感に、こんなに濡れている？
>>	［코우지］：어째서 여기가, 이렇게 민감하게, 이렇게 젖어 있지?
L30192	［コウジ］：君はね、見られるのが好きなんだよ。
>>	［코우지］：너는 말이야, 보이는 걸 좋아하는 거야.
L30195	［トレイシー］：（好き‥‥見られるのが？）
>>	［트레이시］：（좋아‥‥보이는 게?）
L30199	［コウジ］：君は、他人に自慰行為を見られて感じてしまう、淫乱な女なんだ。
>>	［코우지］：넌, 남에게 자위를 보여서 느껴 버리는, 음란한 여자야.
L30202	［トレイシー］：ち、違うわ‥‥私は、普通よっ。
>>	［트레이시］：아, 아니야‥‥난, 평범해.
L30206	［コウジ］：だったら、何故こんな格好をしている。
>>	［코우지］：그렇다면, 어째서 이런 꼴을 하고 있지.
L30210	［コウジ］：男の顔の前に腰を突き出し、アソコを両手で一杯に開き、マン汁を垂れ流している女が、普通なのか？
>>	［코우지］：남자 얼굴 앞에 허리를 내밀고, 거기를 양손으로 한껏 벌리고, 애액을 흘리는 여자가, 평범한가?
L30213	［トレイシー］：そ、そんな‥‥私は、あなたの為に‥‥。
>>	［트레이시］：그, 그런‥‥난, 당신을 위해‥‥.
L30217	［コウジ］：僕のため？
>>	［코우지］：날 위해서?
L30220	［トレイシー］：そうよ、
>>	［트레이시］：그래,
L30224	［コウジ］：トレイシー、うれしいよ。僕のためにやってくれてるんだね？
>>	［코우지］：트레이시, 기뻐. 날 위해 해 주고 있는 거구나?
L30227	［トレイシー］：そ、そうよ‥‥私はあなたの為に‥‥。
>>	［트레이시］：그, 그래‥‥난 당신을 위해‥‥.
L30231	［コウジ］：じゃあ、僕の為なら、どんなことでもしてくれるね？
>>	［코우지］：그럼, 날 위해서라면, 뭐든지 해 주겠지?
L30234	［トレイシー］：ど、どんなことでも‥‥。
>>	［트레이시］：뭐, 뭐든지‥‥.
L30238	［コウジ］：いま、言っただろう？　僕のためだから、こんなに淫らで恥知らずな事でも、しているのだと。
>>	［코우지］：방금, 말했잖아?　날 위해서니까, 이렇게 음란하고 부끄러움도 모르는 짓도 하는 거라고.
L30241	［トレイシー］：そ、そうよ‥‥あなたの為だったら、私‥‥。
>>	［트레이시］：그, 그래‥‥당신을 위해서라면, 난‥‥.
L30245	［コウジ］：トレイシー、そこまで僕のことを愛しているんだね。
>>	［코우지］：트레이시, 그 정도로 날 사랑하는 거구나.
