# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L10436	［ファル］：このシップは単層構造だから、下のブロックというのは存在しないわ。
>>	［파르］：이 시프는 단층 구조라서, 아래 블록이라는 건 존재하지 않아.
L10440	［コウジ］：‥‥だとしたら？
>>	［코우지］：‥‥그렇다면?
L10443	［ファル］：だとしたら、恐らく惑星の事かもしれない‥‥。
>>	［파르］：그렇다면, 아마 행성을 말하는 걸지도 몰라‥‥.
L10447	［コウジ］：惑星？
>>	［코우지］：행성?
L10450	［ファル］：エイレートのことよ。
>>	［파르］：에이레이트 말이야.
L10453	［ファル］：私を、どうするの？
>>	［파르］：나를, 어쩔 셈이야?
L10457	［コウジ］：確か、この船にはシャトルがあったな。あれは惑星上へ降りることができるのか？
>>	［코우지］：분명, 이 배에는 셔틀이 있었지. 저건 행성 위로 내려갈 수 있나?
L10460	［ファル］：‥‥ええ、可能よ。
>>	［파르］：‥‥그래, 가능해.
L10464	［コウジ］：では格納庫まで、案内してもらおうか。
>>	［코우지］：그럼 격납고까지, 안내해 주겠어?
L10467	［ファル］：‥‥わかったわ。
>>	［파르］：‥‥알았어.
L10470	静かな廊下に、２人の靴の音が響きわたっていた。
>>	조용한 복도에, 두 사람의 구둣소리가 울려 퍼지고 있었다.
L10473	ファルはさっきから、ずっと黙っている。後ろを歩く私の手に、銃が握られているためかもしれない。
>>	파르는 아까부터, 계속 말이 없다. 뒤를 걷는 내 손에, 총이 쥐어져 있기 때문일지도 모른다.
L10476	黙々と歩く彼女の背中を見ながら、私はランファの事を考えていた。
>>	묵묵히 걷는 그녀의 등을 보면서, 나는 란파에 대해 생각하고 있었다.
L10479	さきほどのファルを見ていると、どうも嘘を付いているようには見えなかった。すると、本当にランファの事を知らないのかも‥‥。
>>	아까 파르를 보고 있으니, 아무래도 거짓말을 하는 것처럼은 보이지 않았다. 그렇다면, 정말로 란파를 모르는 걸지도‥‥.
L10482	知らないのではなく、知らなかった事になったのではないか‥‥マインドコントロール‥‥？
>>	모르는 게 아니라, 몰랐던 일이 되어 버린 게 아닐까‥‥마인드 컨트롤‥‥?
L10485	そんな、取り留めのない考えが頭を駆けめぐっているとき、ファルが私に語りかけてきた。
>>	그런, 두서없는 생각이 머릿속을 맴돌고 있을 때, 파르가 나에게 말을 걸어왔다.
L10488	［ファル］：惑星へ降りて、どうするの？
>>	［파르］：행성에 내려가서, 어쩔 건데?
L10491	前を向きながら、ファルは私に尋ねた。歩みはそのままだ。
>>	앞을 향한 채, 파르는 나에게 물었다. 걸음은 그대로다.
L10495	［コウジ］：わからないよ‥‥。
>>	［코우지］：모르겠어‥‥.
L10498	［ファル］：わからないって‥‥銃を突きつけてまで、惑星に降りるつもりなんでしょう？
>>	［파르］：모르겠다니‥‥총까지 들이대면서, 행성에 내려갈 셈이잖아?
L10502	［コウジ］：ランファ‥‥彼女が、何か手がかりを握っているのかもしれないんだ。
>>	［코우지］：란파‥‥그녀가, 뭔가 단서를 쥐고 있을지도 모르는 거야.
L10505	［ファル］：‥‥‥‥‥‥。
>>	［파르］：‥‥‥‥‥‥.
L10508	恐らく、また私の作り話が始まったと思ったのかも知れない。ファルはしゃべるのを止めて、再び黙々と歩きだした。
>>	아마, 또 내 꾸며낸 이야기가 시작됐다고 생각한 걸지도 모른다. 파르는 말하기를 멈추고, 다시 묵묵히 걷기 시작했다.
L10511	私は、ランファが現実にいたと信じている。いや、信じたかった‥‥。
>>	나는, 란파가 현실에 있었다고 믿고 있다. 아니, 믿고 싶었다‥‥.
L10514	だが、私以外の全ての人間が、それを否定したら‥‥本当にそれが現実だと言えるのだろうか。
>>	하지만, 나 이외의 모든 인간이, 그것을 부정한다면‥‥정말로 그것이 현실이라고 말할 수 있을까.
L10517	そしてそのとき、唯一の現実でさえ、否定されてしまうんじゃないか‥‥？
>>	그리고 그때, 유일한 현실조차, 부정당해 버리는 게 아닐까‥‥?
L10520	ドアの前へやってくると、ファルは私の方を振り向いた。
>>	문 앞에 다다르자, 파르는 내 쪽을 돌아보았다.
L10523	［ファル］：シャトルの操縦は？
>>	［파르］：셔틀 조종은?
L10527	［コウジ］：えっ？　そ、操縦？
>>	［코우지］：엇?　조, 조종?
L10531	［コウジ］：できたら、やって欲しいんだけど。
>>	［코우지］：가능하면, 네가 해 줬으면 하는데.
L10534	［ファル］：やらせるつもり、なんでしょう？
>>	［파르］：시킬 작정인 거잖아?
L10538	［コウジ］：無理強いはしないよ。でも、君だってシャトル１機、無駄にはしたくないだろう？
>>	［코우지］：억지로 시키진 않아. 하지만, 너도 셔틀 １기, 헛되이 하고 싶진 않겠지?
L10541	ファルは怪訝そうな表情で私を見ていた。銃を突きつけている人間が、無理強いはしないと言うのは、自分でも何か妙な気がする。
>>	파르는 의아한 표정으로 나를 보고 있었다. 총을 들이대고 있는 인간이, 억지로 시키진 않는다고 말하는 건, 나 스스로도 뭔가 묘한 기분이 든다.
L10544	ファルはしばらく私の事を見つめていたが、きびすをかえすと格納庫のドアを開けて入っていった。
>>	파르는 한동안 나를 응시하고 있었지만, 발길을 돌리더니 격납고 문을 열고 들어갔다.
L10547	［トレイシー］：あら、お２人でどうなさったんですか？
>>	［트레이시］：어머, 두 분이서 무슨 일이신가요?
L10550	［ファル］：トレイシー‥‥シャトルの発進準備をして頂戴。
>>	［파르］：트레이시‥‥셔틀 발진 준비를 해 줘.
L10553	［トレイシー］：あらあら‥‥２人で、ですの？
>>	［트레이시］：어머어머‥‥둘이서, 말인가요?
L10556	［ファル］：トレイシー、お願い、黙って用意をして頂戴‥‥。
>>	［파르］：트레이시, 부탁이야, 잠자코 준비해 줘‥‥.
L10559	［トレイシー］：フフ、野暮は聞きっこなしですね。
>>	［트레이시］：후후, 촌스러운 건 묻지 않기로 하죠.
L10562	［ファル］：どうするの？　私は‥‥。
>>	［파르］：어쩔 거야?　나는‥‥.
L10566	［コウジ］：操縦をしてもらう。惑星へ降りるまでね。
>>	［코우지］：조종을 해 줘. 행성에 내려갈 때까지 말이야.
L10569	［ファル］：わかったわ‥‥‥。
>>	［파르］：알았어‥‥‥.
L10573	［コウジ］：その後は、君をちゃんと解放するよ。
>>	［코우지］：그 후엔, 너를 제대로 풀어 줄게.
L10576	［ファル］：あなたはどうするのよ。
>>	［파르］：당신은 어쩔 건데.
L10580	［コウジ］：私は‥‥‥考えていない。
>>	［코우지］：나는‥‥‥생각 안 해 봤어.
L10583	［ファル］：ちょっと、あんな遺跡しかない辺境の惑星に降り立って、生きていけると思ってるの？
>>	［파르］：잠깐, 그런 유적밖에 없는 변경 행성에 내려서, 살아갈 수 있다고 생각하는 거야?
L10587	［コウジ］：さあね‥‥。
>>	［코우지］：글쎄‥‥.
L10591	［ファル］：さあねって‥‥コウジ‥‥。
>>	［파르］：글쎄라니‥‥코우지‥‥.
L10595	［コウジ］：自分で言うのもなんだけど、そう言うほかはないんだよ。
>>	［코우지］：내 입으로 말하기도 뭐하지만, 그렇게 말할 수밖에 없어.
L10599	［コウジ］：（そう、惑星に降りてどうなるか、自分でもわかっちゃいない‥‥。）
>>	［코우지］：（그래, 행성에 내려가 어떻게 될지, 나 자신도 모르겠어‥‥.）
L10603	［コウジ］：（でも、何かを得ることが出来るかもしれないんだ‥‥。）
>>	［코우지］：（하지만, 뭔가를 얻을 수 있을지도 모르는 거야‥‥.）
L10606	惑星へ降りるまで、ファルとはほとんど言葉を交わさなかった。
>>	행성에 내려갈 때까지, 파르와는 거의 말을 나누지 않았다.
L10609	彼女は無言で操縦し、私は無言で後部座席に座っている。２人の間の空気は、相変わらず張りつめていた。
>>	그녀는 말없이 조종하고, 나는 말없이 뒷좌석에 앉아 있다. 두 사람 사이의 공기는, 여전히 팽팽했다.
L10612	私はふと、辺りを見回してみた‥‥。
>>	나는 문득, 주위를 둘러보았다‥‥.
L10615	星の海、と形容するのがわかるような気がする。大小様々の星星が、目の前に存在していた。数はちょっとわからない。文字どおり天文学的数字だ。
>>	별의 바다라고 형용하는 것도 알 것 같은 기분이 든다. 크고 작은 갖가지 별들이, 눈앞에 존재하고 있었다. 수는 잘 모르겠다. 문자 그대로 천문학적 숫자다.
L10618	湾曲してコクピットを取り囲んでいる硬質ガラスには、恒星などの光を直視しないよう、薄暗くフィルターがかかっていたが、周りで輝く星々をみることは十分可能だった。
>>	만곡되어 콕핏을 둘러싼 경질 유리에는, 항성 따위의 빛을 직시하지 않도록, 어둑하게 필터가 걸려 있었지만, 주위에서 빛나는 별들을 보는 것은 충분히 가능했다.
L10622	［コウジ］：綺麗な星だな‥‥。
>>	［코우지］：아름다운 별이군‥‥.
L10625	様々な色を発色しながら輝く星々は、幻想的で、ある意味では非現実的といっても良かった。
>>	갖가지 색을 발하며 빛나는 별들은, 환상적이고, 어떤 의미에서는 비현실적이라고 해도 좋았다.
L10628	しかし、これが非現実で夢だと言うなら、それもまたいいなとも思う。
>>	하지만, 이것이 비현실이고 꿈이라고 한다면, 그것도 그것대로 좋겠다고 생각한다.
L10631	流れる川に身を委ねる落ち葉のように、全てを幻想に委ねてしまうのも悪くはないと、私は星の輝きを見ながら考えていた。
>>	흐르는 강에 몸을 맡기는 낙엽처럼, 모든 것을 환상에 맡겨 버리는 것도 나쁘지 않다고, 나는 별빛을 바라보며 생각하고 있었다.
L10634	そもそも『現実』とは、いったい何だろうか‥‥。
>>	애초에 『현실』이란, 도대체 무엇일까‥‥.
L10637	いま生きている、空間と時間のことを指しているのか？　自分たちが精一杯生きている世界を‥‥。
>>	지금 살아가고 있는, 공간과 시간을 가리키는 것인가?　우리 자신이 힘껏 살아가고 있는 세계를‥‥.
L10640	でもそれは単に、『夢ではない』とパラフレーズするだけの概念でしかない。
>>	하지만 그것은 단지, 『꿈이 아니다』라고 바꿔 말할 뿐인 개념에 지나지 않는다.
L10643	自分が現実と認識して、始めてその根拠となるあやふやなものに、いったいどれだけの確信が持てるのか‥‥。
>>	자신이 현실이라 인식하고서 비로소 그 근거가 되는 애매한 것에, 도대체 얼마만큼의 확신을 가질 수 있는가‥‥.
L10646	でも、それはそれで、いいではないかと思う。
>>	하지만, 그건 그것대로, 괜찮지 않은가 하고 생각한다.
L10649	今を生きていると信じ、これが現実だと信じられるなら、そここそ現実の世界と考えられるのではないか。
>>	지금을 살고 있다고 믿고, 이것이 현실이라 믿을 수 있다면, 그곳이야말로 현실 세계라고 여길 수 있지 않을까.
L10652	今いる自分が、例え夢の存在だとしても、その中で精一杯あがけるだけあがいてやるのは、そう無為だとは思えない‥‥。
>>	지금 있는 내가, 설령 꿈속의 존재라 해도, 그 안에서 힘껏 발버둥칠 만큼 발버둥쳐 보는 것은, 그리 무의미하다고는 여겨지지 않는다‥‥.
L10655	そんなことを考えている自分に、少し驚きもする。意外に、『現実』を受けとめてしまう方なのかもしれない。
>>	그런 생각을 하고 있는 자신에게, 조금 놀라기도 한다. 의외로, 『현실』을 받아들이는 편인지도 모른다.
L10659	［コウジ］：（誰の夢かはわからないが、やるだけやらしてもらうさ‥‥。）
>>	［코우지］：（누구의 꿈인지는 모르겠지만, 할 만큼은 해 보겠어‥‥.）
L10662	一挙に、想像の世界から現実に戻されてしまった。予想外に近づいていたファルに、私はドキリとしてしまう。
>>	단숨에, 상상의 세계에서 현실로 되돌려지고 말았다. 예상외로 가까이 다가와 있던 파르에게, 나는 흠칫하고 만다.
L10665	ずっと、私のことを見ていたのだろうか‥‥。
>>	계속, 나를 보고 있었던 걸까‥‥.
L10668	［ファル］：深刻の色を発しているわ‥‥。
>>	［파르］：심각함의 빛을 내고 있어‥‥.
L10672	［コウジ］：自分にとってはね。巻き込んで、すまないと思ってる。
>>	［코우지］：나로서는 말이지. 끌어들여서, 미안하게 생각해.
L10676	［コウジ］：それよりも、操縦はしなくてもいいのか？
>>	［코우지］：그보다도, 조종은 안 해도 되는 거야?
L10679	［ファル］：オートパイロットモードになっているの。行き先も、あなたが設定したんでしょう？
>>	［파르］：오토파일럿 모드로 되어 있어. 목적지도, 당신이 설정한 거잖아?
L10683	［コウジ］：どういうことだ‥‥？
>>	［코우지］：무슨 소리야‥‥?
L10686	［ファル］：いいわ、無理に聞こうとは思わないから‥‥。
>>	［파르］：됐어, 억지로 캐물을 생각은 없으니까‥‥.
L10689	ファルは前方に向き直ると、再び押し黙ってしまった‥‥。
>>	파르는 다시 앞을 향하더니, 또다시 입을 다물어 버렸다‥‥.
L10693	［コウジ］：（まぁいいさ‥‥‥‥。）
>>	［코우지］：（뭐 됐어‥‥‥‥.）
L10696	ここまで行き違いが進行していると、些細な事はもうどうでもよくなってくる。
>>	이 정도까지 엇갈리고 나면, 사소한 일은 이제 아무래도 좋아진다.
