# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L23572	［宏治］：それくらい聞いていればわかるさ。で、エンコーダを奪いに来たんだろ？
>>	［코지］：그 정도는 듣고 있으면 알아. 그래서, 인코더를 빼앗으러 온 거지?
L23575	［ビアンカ］：‥‥‥‥‥‥。
>>	［비앙카］：‥‥‥‥‥‥.
L23579	［宏治］：なんだい、人の顔をジロジロみて。
>>	［코지］：뭐야, 남의 얼굴을 빤히 쳐다보고.
L23582	［ビアンカ］：‥‥あまり焦っては、いないようだな。
>>	［비앙카］：‥‥그다지 초조해하지는 않는 모양이군.
L23586	［宏治］：んー、それなりに緊迫感は感じてるんだけどね。
>>	［코지］：음, 나름대로 긴박감은 느끼고 있는데 말이야.
L23589	［ビアンカ］：どんな逆境からでも、挽回できるという自信か？
>>	［비앙카］：어떤 역경에서도 만회할 수 있다는 자신감인가?
L23593	［宏治］：自信ってのとは、ちょっと違うね。
>>	［코지］：자신감이라는 것과는 좀 다른데.
L23596	［ビアンカ］：では、なんだ？
>>	［비앙카］：그럼, 뭐지?
L23600	［宏治］：そうだなぁ、ま、平たく言えば、他人事。
>>	［코지］：글쎄, 뭐, 쉽게 말하면 남의 일.
L23603	［ビアンカ］：貴様、悔しくはないのか、エンコーダを奪われるのが。
>>	［비앙카］：네놈, 분하지 않은가, 인코더를 빼앗기는 것이.
L23607	［宏治］：悔しくはないが、残念だな。
>>	［코지］：분하지는 않지만, 아쉽군.
L23610	［ビアンカ］：どういうことだ。
>>	［비앙카］：무슨 소리냐.
L23614	［宏治］：ちょうど破棄しようと思っていたところさ。
>>	［코지］：마침 폐기하려던 참이었거든.
L23617	［ビアンカ］：正気か？　このエンコーダの可能性を考えないのか！？
>>	［비앙카］：제정신인가?　이 인코더의 가능성을 생각하지 않는 건가!?
L23621	［宏治］：考えたから、破棄しようとしてる。
>>	［코지］：생각했으니까 폐기하려는 거야.
L23624	［ビアンカ］：フン、たちの悪い冗談だな。
>>	［비앙카］：흥, 질 나쁜 농담이군.
L23628	［宏治］：冗談じゃないさ。
>>	［코지］：농담이 아니야.
L23631	［ビアンカ］：まぁいい。貴様には借りがたっぷりとあったからな。
>>	［비앙카］：뭐 좋다. 네놈에겐 갚아 줄 빚이 잔뜩 있었으니까.
L23635	［宏治］：借り？
>>	［코지］：빚?
L23638	［ビアンカ］：思い起こせば、５年前‥‥。
>>	［비앙카］：돌이켜 보면, ５년 전‥‥.
L23641	［ビアンカ］：貴様の汚い奸計にはまり、私は生死の境をさまよった‥‥。
>>	［비앙카］：네놈의 더러운 간계에 빠져, 나는 생사의 갈림길을 헤맸다‥‥.
L23645	［宏治］：なんだよ、その汚い奸計ってさ。
>>	［코지］：뭔데, 그 더러운 간계라는 게.
