# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L8828	［コウジ］：（どうしたらいいんだろうか‥‥。）
>>	［코우지］：（어떻게 하면 좋을까‥‥.）
L8832	［コウジ］：（そうだ、他の部屋に行ってみたら‥‥‥‥。）
>>	［코우지］：（그래, 다른 방에 가 보면‥‥‥‥.）
L8835	これは意外に悪くない考えに思えた。私は脇にあった着替えに袖を通すと、ドアへ向かっていった。
>>	이건 의외로 나쁘지 않은 생각으로 여겨졌다. 나는 옆에 있던 갈아입을 옷에 팔을 꿰고, 문으로 향했다.
L8838	こういう時の私は、どうやら直情的らしい‥‥。
>>	이럴 때의 나는 아무래도 충동적인 모양이다‥‥.
L8842	［コウジ］：（さてと、このＭＤを再生できる機械は‥‥‥‥。）
>>	［코우지］：（자 그럼, 이 ＭＤ를 재생할 수 있는 기계는‥‥‥‥.）
L8845	　◆ ファルに聞いてみよう。
>>	　◆ 파르에게 물어보자.
L8848	　◆ 格納庫にあったような気が‥‥。
>>	　◆ 격납고에 있었던 것 같은‥‥.
L8851	　◆ 確か、ビアンカの部屋にあったぞ‥‥。
>>	　◆ 분명, 비앙카의 방에 있었어‥‥.
L8854	ファルに聞いてみよう。
>>	파르에게 물어보자.
L8857	彼女はこのシップのリーダーだし、ＭＤの再生装置くらい貸してくれるかも‥‥。
>>	그녀는 이 함선의 리더이고, ＭＤ 재생 장치 정도는 빌려줄지도‥‥.
L8860	だけど、それだったら、ＭＤを密かに持ってきた意味がないじゃないか。
>>	하지만 그렇다면, ＭＤ를 몰래 가져온 의미가 없지 않은가.
L8863	誰にも察知されずに、密かに見たいんだ、私は。
>>	아무에게도 들키지 않고, 몰래 보고 싶은 거다, 나는.
L8866	んー、どうしたものか。このＭＤを再生できる機械は‥‥‥‥。
>>	음-, 어떻게 한다. 이 ＭＤ를 재생할 수 있는 기계는‥‥‥‥.
L8869	確か、ビアンカの部屋にあったぞ‥‥。
>>	분명, 비앙카의 방에 있었어‥‥.
L8872	そうだ、以前彼女の部屋に行ったとき、ディスクのプレイヤーがあったような気がする。
>>	그래, 예전에 그녀의 방에 갔을 때, 디스크 플레이어가 있었던 것 같다.
L8875	私の部屋と、ほとんど同じまどりだったし、考えてみれば当たり前かもしれないな‥‥。
>>	내 방과 거의 같은 구조였고, 생각해 보면 당연할지도 모르겠군‥‥.
L8878	問題は、電源が首尾良くきているかどうか、だが‥‥‥‥。
>>	문제는 전원이 제대로 들어와 있는가, 인데‥‥‥‥.
L8881	格納庫にあったような気が‥‥。
>>	격납고에 있었던 것 같은‥‥.
L8884	格納庫にＭＤの再生装置なんて、あったかな‥‥？
>>	격납고에 ＭＤ 재생 장치 같은 게 있었던가‥‥?
L8887	どうも、勘違いらしいな‥‥‥‥。
>>	아무래도 착각인 모양이군‥‥‥‥.
L8890	部屋の中は、シンと静まり返っていた。看護のトレイシーは、幸いにもいないらしい。
>>	방 안은 쥐 죽은 듯 조용했다. 간호를 맡은 트레이시는 다행히도 없는 모양이다.
L8893	私はさっそく、端末近くのプレイヤーのスイッチを入れてみた。
>>	나는 곧바로 단말 근처 플레이어의 스위치를 넣어 보았다.
L8896	意外に大きな音だったので、慌ててビアンカの方を見てみる‥‥。
>>	의외로 큰 소리가 나서, 황급히 비앙카 쪽을 살펴본다‥‥.
L8899	ビアンカは、静かな寝息をたてて、眠っていた。大きな胸が、上下に動いている。
>>	비앙카는 조용한 숨소리를 내며 잠들어 있었다. 큰 가슴이 위아래로 움직이고 있다.
L8902	どうやら、大丈夫らしい‥‥。
>>	아무래도 괜찮은 모양이다‥‥.
L8906	［コウジ］：（プレイヤーに電源はきている‥‥。）
>>	［코우지］：（플레이어에 전원은 들어와 있다‥‥.）
L8909	私は、イジェクトボタンを押すと、機械的な音とともにトレイが出てきた。
>>	내가 이젝트 버튼을 누르자, 기계적인 소리와 함께 트레이가 나왔다.
L8912	私は、それにＭＤを乗せると、再生ボタンを押そうとした。そのとき‥‥。
>>	나는 거기에 ＭＤ를 얹고, 재생 버튼을 누르려 했다. 그때‥‥.
L8916	［コウジ］：な、何だ‥‥どうしたんだ‥‥！？
>>	［코우지］：뭐, 뭐야‥‥어떻게 된 거야‥‥!?
L8919	上を見上げてみる。電灯に異常はないようだが‥‥‥‥。
>>	위를 올려다본다. 전등에 이상은 없는 것 같은데‥‥‥‥.
L8923	［コウジ］：き、気のせいなのか‥‥。
>>	［코우지］：기, 기분 탓인가‥‥.
L8927	［コウジ］：ま、まただ‥‥。
>>	［코우지］：또, 또다‥‥.
L8931	［コウジ］：うっ‥‥め、目が‥‥‥。
>>	［코우지］：윽‥‥누, 눈이‥‥‥.
L8934	ど、どうしたというんだ‥‥視界がぼやけてきたような、そんな気がする。
>>	어, 어떻게 된 거야‥‥시야가 흐려진 것 같은, 그런 느낌이 든다.
L8937	め、目が‥‥‥‥‥。
>>	누, 눈이‥‥‥‥‥.
L8940	あたりが真っ白になるような、そんな気がした‥‥‥‥。
>>	주위가 새하얘지는 듯한, 그런 느낌이 들었다‥‥‥‥.
L8944	［宏治］：違う‥‥僕は、いまマイクロ・ディスクを‥‥‥‥。
>>	［코지］：아니에요‥‥나는, 지금 마이크로·디스크를‥‥‥‥.
L8947	［涼子］：‥‥？　何を言っているのよ。
>>	［료코］：‥‥?　무슨 소리를 하는 거야.
L8951	［宏治］：違う、違うんだ！！
>>	［코지］：아니에요, 아니라고요!!
L8955	［コウジ］：（い、いったい今のは‥‥‥‥。）
>>	［코우지］：（바, 방금 그건 도대체‥‥‥‥.）
L8959	［コウジ］：（白昼夢‥‥？）
>>	［코우지］：（백일몽‥‥?）
L8962	私は頭を２、３度横にふると、気を取り直してＭＤ再生機に向きなおった。ディスプレイはＲＥＡＤＹ表示をしたままだ。
>>	나는 고개를 두세 번 옆으로 젓고, 마음을 다잡아 ＭＤ 재생기로 다시 향했다. 디스플레이는 ＲＥＡＤＹ 표시를 한 그대로다.
L8965	［コウジ］：ＭＤの再生が先だろう‥‥<$0C>あっ！！
>>	［코우지］：ＭＤ 재생이 먼저겠지‥‥<$0C>앗!!
L8968	目の前のトレイには、ＭＤが乗ってはいなかった。どこへ行ったんだ！？
>>	눈앞의 트레이에는 ＭＤ가 얹혀 있지 않았다. 어디로 간 거지!?
L8971	慌てて傍らの時計を見てみる。ほんの数十秒しか経過していない‥‥。
>>	황급히 곁의 시계를 살펴본다. 겨우 수십 초밖에 지나지 않았다‥‥.
L8974	とりあえず、机周辺を捜してみるが、ＭＤは影も形もない。
>>	일단 책상 주변을 찾아보지만, ＭＤ는 흔적도 없다.
L8977	さきほどの白昼夢のときに、ＭＤをあやまって飛ばしてしまったのだろうか‥‥。
>>	아까 백일몽 때, ＭＤ를 잘못해서 날려 버린 걸까‥‥.
L8980	小さなディスクだから‥‥隙間などに入り込んだら、見つけだすのが困難だろう。
>>	작은 디스크니까‥‥틈새 같은 데 들어가 버리면 찾아내기가 곤란하겠지.
L8983	そう思って、身を屈めたとき‥‥‥‥。
>>	그렇게 생각하고 몸을 굽혔을 때‥‥‥‥.
L8986	［女の声］：あんた、誰だい？
>>	［여자의 목소리］：당신, 누구야?
L8990	［コウジ］：えっ‥‥‥‥。
>>	［코우지］：엇‥‥‥‥.
L8993	１人の女性が、私の前に立つ。ビアンカだった。
>>	한 여성이 내 앞에 선다. 비앙카였다.
L8997	［コウジ］：き、君は‥‥目が、さめたのかい？
>>	［코우지］：너, 너는‥‥잠에서, 깬 건가?
L9000	［ビアンカ］：あ、あんた‥‥‥‥。
>>	［비앙카］：다, 당신‥‥‥‥.
L9004	［コウジ］：‥‥？
>>	［코우지］：‥‥?
L9007	ビアンカは私の顔を見つめると、驚愕の表情を作りながら後ずさった。
>>	비앙카는 내 얼굴을 바라보더니, 경악의 표정을 지으며 뒷걸음질 쳤다.
L9011	［コウジ］：わ、私が何か‥‥‥‥。
>>	［코우지］：내, 내가 뭔가‥‥‥‥.
L9014	［ビアンカ］：こ、ここは‥‥セカンドシップなのか！？
>>	［비앙카］：여, 여기는‥‥세컨드십인가!?
L9018	［コウジ］：セカンドシップ？
>>	［코우지］：세컨드십?
L9021	［ビアンカ］：第２次調査隊じゃないのか？
>>	［비앙카］：제２차 조사대 아닌가?
L9024	どうやらセカンドシップが、第２次調査隊艦船の俗称らしい。私は首を横に振ると、
>>	아무래도 세컨드십이 제２차 조사대 함선의 속칭인 듯하다. 나는 고개를 옆으로 저으며,
L9028	［コウジ］：違う。ここは、言ってみればサードシップの中さ。
>>	［코우지］：아니. 여기는, 말하자면 서드십 안이야.
L9031	［ビアンカ］：第３次調査隊が、派遣されたのか！？
>>	［비앙카］：제３차 조사대가 파견됐다고!?
L9035	［コウジ］：いちいちリアクションが大きいな、君は‥‥。
>>	［코우지］：일일이 리액션이 크군, 너는‥‥.
L9038	［ビアンカ］：あんたがいたんじゃ、このサードシップも先が長くないわね‥‥。
>>	［비앙카］：당신이 있는 이상, 이 서드십도 앞날이 길지 않겠어‥‥.
L9042	［コウジ］：私のことを、知っているのか？
>>	［코우지］：나를 알고 있는 건가?
L9045	［ビアンカ］：知っているも何も‥‥あんたは、第２次調査隊を全滅させた、張本人じゃないのさ！
>>	［비앙카］：알다마다‥‥당신은 제２차 조사대를 전멸시킨 장본인 아니야!
L9049	［コウジ］：い、今なんて‥‥。
>>	［코우지］：바, 방금 뭐라고‥‥.
L9052	［ビアンカ］：し、しらばっくれて、どういうつもりさ。
>>	［비앙카］：시, 시치미를 떼고, 무슨 속셈이야.
L9056	［コウジ］：しらばっくれてなんかいない。私に記憶は無いんだ‥‥。
>>	［코우지］：시치미 떼는 게 아니야. 나에겐 기억이 없어‥‥.
L9059	［ビアンカ］：あ、あんたはそう言って、セカンドシップでも‥‥‥‥。
>>	［비앙카］：다, 당신은 그렇게 말하고, 세컨드십에서도‥‥‥‥.
L9063	［コウジ］：ふ、ファル‥‥。
>>	［코우지］：파, 파르‥‥.
L9067	［ファル］：コウジ、ここにいたのね‥‥。
>>	［파르］：코우지, 여기 있었구나‥‥.
L9070	意外に厳しいファルの表情に、私は黙るしかなかった。ＭＤのことが、バレたんだろうか‥‥。
>>	의외로 엄한 파르의 표정에, 나는 입을 다물 수밖에 없었다. ＭＤ 일이 들킨 걸까‥‥.
L9073	［ファル］：ビアンカさん、お目覚めになられましたね。私はキャプテンのファルです。
>>	［파르］：비앙카 씨, 깨어나셨군요. 저는 캡틴인 파르입니다.
L9076	［ビアンカ］：あ、ああ‥‥。
>>	［비앙카］：아, 아아‥‥.
L9079	［ファル］：あなたは責任をもって、本国へ送ります。ご安心下さい。
>>	［파르］：당신은 책임지고 본국으로 보내 드리겠습니다. 안심하세요.
L9082	［ビアンカ］：で、でも‥‥この男は‥‥。
>>	［비앙카］：하, 하지만‥‥이 남자는‥‥.
L9085	［ファル］：ええ、わかっています。
>>	［파르］：네, 알고 있습니다.
L9089	［コウジ］：わかってるだって！？
>>	［코우지］：알고 있다고!?
L9092	私は、かなり甲高い声を出してしまった。そのくらい、ファルの発言に驚いてしまったからだ。
>>	나는 꽤 새된 소리를 내고 말았다. 그만큼 파르의 발언에 놀랐기 때문이다.
L9096	［ファル］：コウジ‥‥磁気嵐が弱まったので、あなたの名前を本部に問い合わせてみたわ‥‥。
>>	［파르］：코우지‥‥자기 폭풍이 약해져서, 당신의 이름을 본부에 조회해 봤어‥‥.
L9099	［ファル］：あなたの名前は、第２次調査隊の名簿に存在しなかった‥‥。
>>	［파르］：당신의 이름은 제２차 조사대 명부에 존재하지 않았어‥‥.
L9102	［ビアンカ］：だって、彼は第１次調査隊シップの中で、見つけたんだ。
>>	［비앙카］：하지만, 그는 제１차 조사대 함선 안에서 찾아낸 거야.
L9105	［ファル］：‥‥第１次調査隊の名簿の中にも、彼の名は存在しなかったわ。
>>	［파르］：‥‥제１차 조사대 명부 안에도, 그의 이름은 존재하지 않았어.
L9108	無論、顔写真もね、とファルはつけ加えた。
>>	물론, 얼굴 사진도라고 파르는 덧붙였다.
L9111	しばし、呆然としていたかも知れない。第２次調査隊の一員、という立場が、今の私を辛うじて納得させていた要因だった。
>>	잠시 망연자실해 있었을지도 모른다. 제２차 조사대의 일원이라는 입장이 지금의 나를 간신히 납득시키던 요인이었다.
