# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L13684	［涼子］：くやしい！　もっと、涼子を突いて！　愛して！！
>>	［료코］：분해!　더, 료코를 박아 줘!　사랑해 줘!!
L13687	腰を動かすたびに、涼子は歓喜の悲鳴をあげた。性に対する貪欲とさえ言える欲求に、いささか辟易する。
>>	허리를 움직일 때마다 료코는 환희의 비명을 질렀다. 성에 대한 탐욕이라 할 만한 욕구에 다소 질린다.
L13690	［涼子］：あぁぁ、もう私はあなたのモノよ‥‥心も身体も‥‥私を好きにできるのは、もうあなただけなんだからぁっ！
>>	［료코］：아아아, 난 이제 당신 거야‥‥마음도 몸도‥‥날 마음대로 할 수 있는 건, 이제 당신뿐이니까!
L13694	［コウジ］：そろそろ‥‥イクぞ、涼子。
>>	［코우지］：슬슬‥‥간다, 료코.
L13697	［涼子］：あン、きて、きてっ！　好きっ、愛しているのぉ！
>>	［료코］：아앙, 와, 와 줘!　좋아해, 사랑해!
L13700	ドクドクドクッ‥‥ドクッ！
>>	울컥울컥울컥‥‥울컥!
L13703	［涼子］：あぁぁぁ、いくわぁぁぁぁぁぁぁぁぁぁっっっ！！！
>>	［료코］：아아아아, 가아아아아아아아아아!!!
L13707	［涼子］：ウソみたいよ‥‥宏治クンとこんな関係になるなんて‥‥。
>>	［료코］：거짓말 같아‥‥코지 군과 이런 사이가 되다니‥‥.
L13710	［涼子］：そ、そんな目で睨まないでよ。
>>	［료코］：그, 그런 눈으로 노려보지 마.
L13714	［コウジ］：フン、満悦した顔をしているな。たまっていたのだろう。
>>	［코우지］：흥, 흡족한 얼굴이군. 쌓여 있었던 모양이지.
L13717	涼子は少しだけ、頬を膨らせて怒ったような表情をしてみせた。どうやら、彼女なりのアピールらしい。
>>	료코는 볼을 살짝 부풀려 화난 듯한 표정을 지어 보였다. 아무래도 그녀 나름의 어필인 모양이다.
L13720	［涼子］：ちょっとぉ、レディに向かって失礼なんじゃなーい？
>>	［료코］：잠깐, 숙녀한테 무례한 거 아냐아?
L13723	［涼子］：もっとスれてない、純真な子かと思ってたけど‥‥。
>>	［료코］：좀 더 때 안 묻은, 순진한 애인 줄 알았는데‥‥.
L13727	［コウジ］：貴様は、もっと貞淑な女だと思っていたが。
>>	［코우지］：네년은, 좀 더 정숙한 여자인 줄 알았는데.
L13730	［涼子］：もう、それは言いっこなしよ。もう、メロメロ‥‥。
>>	［료코］：정말, 그건 말하기 없기야. 정말, 푹 빠졌어‥‥.
L13733	涼子は甘い表情をしながら、私の胸に頬を寄せてきた。人差し指の先で、私の胸元をさすりだす。
>>	료코는 달콤한 표정으로 내 가슴에 뺨을 기대 왔다. 집게손가락 끝으로 내 가슴팍을 쓰다듬기 시작한다.
L13736	［涼子］：どこで、あんなテクニックを覚えたのよ。もしかして、恵さん？
>>	［료코］：그런 테크닉은 어디서 배운 거야. 혹시, 메구미 씨?
L13740	［コウジ］：‥‥恵？
>>	［코우지］：‥‥메구미?
L13743	［涼子］：あなたの彼女でしょう。
>>	［료코］：당신 여자친구잖아.
L13747	［コウジ］：私の、彼女なのか。
>>	［코우지］：내, 여자친구인가.
L13750	［涼子］：ちょっとぉ。
>>	［료코］：잠깐만.
L13754	［コウジ］：フン、私に恋人など必要はない。我がゆくは覇王への道のみ。
>>	［코우지］：흥, 내게 연인 따위는 필요 없다. 내가 갈 길은 오직 패왕의 길뿐.
L13757	［涼子］：ステキだわぁ‥‥もう、私のモノにしちゃいたい。
>>	［료코］：멋져‥‥정말, 내 것으로 만들어 버리고 싶어.
L13760	［涼子］：ねっ、私の彼にならない？　そりゃあ、ちょっと歳はイってるけど、テクならその辺の若い子には、負けないつもりよ。たっぷりサービスしてあげるわ。
>>	［료코］：있잖아, 내 남자 안 될래?　뭐, 나이는 좀 있지만, 테크닉이라면 어지간한 젊은 애들한텐 안 질 자신 있어. 듬뿍 서비스해 줄게.
L13763	そう言いながら、涼子の片手は私の股間のモノに触れていた。十分堅さのあるそれを、ゆっくりと上下にしごいている。
>>	그렇게 말하면서, 료코의 한 손은 내 사타구니의 물건에 닿아 있었다. 충분히 단단해진 그것을 천천히 위아래로 훑고 있다.
L13766	［涼子］：こんなこと、他の男性にしてるなんて、思わないでね‥‥。
>>	［료코］：이런 짓, 다른 남자한테도 한다고는 생각하지 마‥‥.
L13770	［コウジ］：フン、男日照りだったのはわかっている。故に貴様の言う事の信憑性もな。
>>	［코우지］：흥, 남자가 궁했던 건 안다. 그러니 네년 말의 신빙성도 말이지.
L13773	［涼子］：んもう‥‥で、どう？
>>	［료코］：아 정말‥‥그래서, 어때?
L13777	［コウジ］：私は誰のものにもならん。
