# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L6394	［ファル］：じゃあコウジは‥‥。
>>	［파르］：그럼 코우지는‥‥.
L6398	［コウジ］：どうすればいい？
>>	［코우지］：어떻게 하면 되지?
L6401	［ファル］：そうね、とりあえず、生存者を捜してみて頂戴。
>>	［파르］：글쎄, 일단은 생존자를 찾아봐 줘.
L6405	［コウジ］：わかった‥‥このシップは、君たちのと同タイプなんだよな？
>>	［코우지］：알았어‥‥이 함선은, 너희 것과 같은 타입이지?
L6408	［ファル］：そうよ、まあ道に迷うということはないでしょう。それほど広くもないから。
>>	［파르］：그래, 뭐 길을 잃을 일은 없을 거야. 그리 넓지도 않으니까.
L6411	［ファル］：生存者の存在の有無に関わらず、１時間後にここでまた落ち合いましょう。
>>	［파르］：생존자의 유무에 상관없이, １시간 뒤에 여기서 다시 만나자.
L6415	［コウジ］：わかった‥‥。
>>	［코우지］：알았어‥‥.
L6418	［ファル］：それじゃ‥‥。
>>	［파르］：그럼‥‥.
L6422	［コウジ］：さてと、どうしたものか‥‥。
>>	［코우지］：자 그럼, 어떻게 할까‥‥.
L6425	　◆ ブリッジへ行ってみよう‥‥。
>>	　◆ 브리지로 가 보자‥‥.
L6428	　◆ エンジンルームには、ランファがいるはずだな‥‥。
>>	　◆ 엔진룸에는, 란파가 있을 텐데‥‥.
L6431	　◆ まず、このあたりを調べてみよう。
>>	　◆ 우선, 이 근처를 조사해 보자.
L6434	ブリッジへ行ってみよう‥‥。
>>	브리지로 가 보자‥‥.
L6437	確か、ブリッジにはファルがいるはずだ。少し、彼女と話してみたい気がする。
>>	분명, 브리지에는 파르가 있을 것이다. 조금, 그녀와 이야기해 보고 싶은 기분이 든다.
L6440	船内マップはすでに記憶してあった。私は厚い格納庫のドアをあけると、ブリッジへの通路を進み始めた。
>>	선내 지도는 이미 기억해 두었다. 나는 두꺼운 격납고 문을 열고, 브리지로 가는 통로를 나아가기 시작했다.
L6443	あたりはシンと静まり返っている。私の靴の音だけが、あたりに響きわたっていた‥‥。
>>	주위는 쥐 죽은 듯 조용하다. 내 구두 소리만이, 주위에 울려 퍼지고 있었다‥‥.
L6447	［コウジ］：（なるほど、確かに同型艦だ。）
>>	［코우지］：（과연, 확실히 동형함이다.）
L6450	ところどころのレイアウトは異なっていたが、概ね、ファル達のシップと構造は同じだった。
>>	군데군데 배치는 달랐지만, 대체로 파르 일행의 함선과 구조는 같았다.
L6454	［コウジ］：（とすると、この突き当たりがブリッジという訳か。）
>>	［코우지］：（그렇다면, 이 막다른 곳이 브리지라는 건가.）
L6458	［コウジ］：（ファル、いるだろうか‥‥。）
>>	［코우지］：（파르, 있으려나‥‥.）
L6461	私は壁のパネルを操作し、ブリッジへと入っていった‥‥。
>>	나는 벽의 패널을 조작해, 브리지로 들어갔다‥‥.
L6464	エンジンルームには、ランファがいるはずだな‥‥。
>>	엔진룸에는, 란파가 있을 텐데‥‥.
L6467	もしかしたら、彼女と話し合えるかもしれない‥‥。
>>	어쩌면, 그녀와 이야기를 나눌 수 있을지도 모른다‥‥.
L6470	記憶した船内マップを頼りに、私は厚い格納庫のドアをあけると、エンジンルームへの通路を進み始めた。
>>	기억한 선내 지도에 의지해, 나는 두꺼운 격납고 문을 열고, 엔진룸으로 가는 통로를 나아가기 시작했다.
L6474	［コウジ］：（すると、エンジンルームは‥‥‥‥。）
>>	［코우지］：（그러면, 엔진룸은‥‥‥‥.）
L6477	私が角を曲がったところに、一際大きなドアがあった。向こう側からは、例の騒音が聞こえてくる。
>>	내가 모퉁이를 돌아선 곳에, 유난히 큰 문이 있었다. 저편에서는, 예의 그 소음이 들려온다.
L6481	［コウジ］：（稼働しているのか‥‥？）
>>	［코우지］：（가동되고 있는 건가‥‥?）
L6484	誰も乗っていないシップのエンジンが、何故稼働しているんだろうか‥‥。
>>	아무도 타고 있지 않은 함선의 엔진이, 어째서 가동되고 있는 걸까‥‥.
L6487	その回答は、ランファがしてくれるかもしれなかった。
>>	그 답은, 란파가 알려 줄지도 모른다.
L6490	私は壁のパネルを操作し、エンジンルームへと入っていった‥‥。
>>	나는 벽의 패널을 조작해, 엔진 룸으로 들어갔다‥‥.
L6494	［ファル］：あら、どうしたの、コウジ。何か、思い出したの？
>>	［파르］：어머, 무슨 일이야, 코우지. 뭔가, 기억났어?
L6498	［コウジ］：いや、残念ながら全く‥‥。
