# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L3213	［ファル］：そう、覚えていないのね‥‥。
>>	［파르］：그래, 기억나지 않는구나‥‥.
L3216	ファルは少し憂いがかった表情をすると、私のところへ歩み寄った。
>>	파르는 조금 수심 어린 표정을 짓더니, 내 쪽으로 다가왔다.
L3219	あまりに近づかれたので、少しドキっとする。
>>	너무 가까이 다가와서, 조금 가슴이 두근거린다.
L3222	［私］：‥‥‥な、なにを‥‥‥。
>>	［나］：‥‥‥뭐, 뭘‥‥‥.
L3225	クスっと笑みを洩らすと、ファルは私の胸元に付いてある銀色の板を、指でピンと弾いた。
>>	피식 웃음을 흘리더니, 파르는 내 가슴팍에 달린 은색 판을, 손가락으로 톡 튕겼다.
L3228	［私］：あっ‥‥ネームプレート‥‥？
>>	［나］：앗‥‥명찰‥‥?
L3231	いま気付いたが、私はかなりラフな姿をしていたらしい。素肌にシャツ、薄手のズボン、しかも素足だった。
>>	이제야 알았지만, 나는 꽤 허술한 차림이었던 모양이다. 맨몸에 셔츠, 얇은 바지, 게다가 맨발이었다.
L3234	薄いシャツの胸部分には、確かにネームプレートが付いていた。自重により、少し下へ垂れ下がっている。
>>	얇은 셔츠의 가슴 부분에는, 분명 명찰가 달려 있었다. 제 무게로, 조금 아래로 늘어져 있다.
L3238	そこには、確かにコウジと記してある。どうやら、コウジというのが私の名前らしかった。
>>	거기엔 분명 코우지라고 적혀 있었다. 아무래도 코우지라는 것이 내 이름인 모양이었다.
L3241	そういえば、聞き覚えが無い訳ではなかった‥‥。
>>	그러고 보니, 들어 본 적이 없지는 않았다‥‥.
L3245	コウジ、か‥‥‥‥。
>>	코우지인가‥‥‥‥.
L3248	［ファル］：どう、思い出した？
>>	［파르］：어때, 기억났어?
L3252	［コウジ］：いや、何となく聞き覚えがある程度で‥‥‥でも、ありがとう。
>>	［코우지］：아니, 어쩐지 들어 본 것 같은 정도라‥‥‥그래도, 고마워.
L3255	［ファル］：えっ、どういうこと？
>>	［파르］：엣, 그게 무슨 소리야?
L3259	［コウジ］：いや‥‥なんというか、自分の名前だけでも知ることができたのは、大きな収穫だった。
>>	［코우지］：아니‥‥뭐랄까, 내 이름만이라도 알게 된 건, 큰 수확이었어.
L3262	［ファル］：フフ、大げさね‥‥でもあなたの顔、本当に黄色いわ。
>>	［파르］：후후, 과장이 심하네‥‥그래도 당신 얼굴, 정말 노랗네.
L3266	［コウジ］：黄色？
>>	［코우지］：노랗다고?
L3269	［ファル］：あっ、ごめんなさい。黄色はね、感謝の気持ちを表しているの。
>>	［파르］：앗, 미안. 노랑은 말이지, 감사의 마음을 나타내.
L3273	［コウジ］：‥‥‥‥‥‥。
>>	［코우지］：‥‥‥‥‥‥.
L3276	［ファル］：ごめんなさい、私はちょびっとだけ、精神感応の能力があって、人の感情を色で読みとることができるのよ。
>>	［파르］：미안해, 나는 아주 조금, 정신감응 능력이 있어서, 사람의 감정을 색으로 읽어 낼 수 있거든.
L3280	［コウジ］：へぇ、じゃあ今の色は？
>>	［코우지］：허, 그럼 지금 색은?
L3283	［ファル］：明るい青、かしら。
>>	［파르］：밝은 파랑, 일까.
L3287	［コウジ］：それはなに？
>>	［코우지］：그건 무슨 뜻이야?
L3290	［ファル］：感銘の色よ。
>>	［파르］：감명의 색이야.
L3294	［コウジ］：ファル‥‥ネリアさん、だったかな。
>>	［코우지］：파르‥‥네리아 씨, 였던가.
L3297	［ファル］：ファルで構わないわ。
>>	［파르］：파르라고 불러도 돼.
L3301	［コウジ］：わかった、ファル。じゃあ早速教えてほしいんだが‥‥。
>>	［코우지］：알았어, 파르. 그럼 당장 알려줬으면 하는데‥‥.
L3304	［ファル］：あら、何を教えてほしいの？
>>	［파르］：어머, 뭘 알려줬으면 하는데?
L3307	彼女は質問を受けて当惑する教師、という感じだった。
>>	그녀는 질문을 받고 당혹해하는 교사, 그런 느낌이었다.
L3310	やや怪訝そうな表情をしているファルに対峙して、私は、足下を指さしながら、
>>	다소 의아한 표정을 짓고 있는 파르와 마주한 채, 나는, 발밑을 가리키면서,
L3314	［コウジ］：ここさ。
>>	［코우지］：여기 말이야.
L3317	［ファル］：‥‥ここ？
>>	［파르］：‥‥여기?
L3321	［コウジ］：ここは、いったいどこなんだ？　医療センターなどにしては、やけに設備が仰々しいが‥‥。
>>	［코우지］：여기는, 대체 어디지?　의료 센터치고는, 유난히 설비가 거창한데‥‥.
L3324	［ファル］：医療センター‥‥いったい、何を言っているの？
>>	［파르］：의료 센터‥‥대체, 무슨 소리를 하는 거야?
L3328	［コウジ］：‥‥‥？
>>	［코우지］：‥‥‥?
L3332	［ファル］：かなり、記憶が欠落しているみたいね、コウジ‥‥。
>>	［파르］：상당히, 기억이 빠져 있는 모양이네, 코우지‥‥.
L3336	［コウジ］：ち、違うのか？
>>	［코우지］：아, 아닌 건가?
L3339	フゥと１つ溜息を吐くと、ファルは肩をしゃくりあげるようなゼスチャーをしてみせる。
>>	후우 하고 한숨을 한 번 내쉬더니, 파르는 어깨를 으쓱하는 듯한 제스처를 해 보인다.
L3342	少し、切なげな表情を私に向けると、ゆっくりと口を開き始めた。
>>	조금, 애처로운 표정으로 나를 바라보더니, 천천히 입을 열기 시작했다.
L3345	［ファル］：ここはね‥‥‥‥。
>>	［파르］：여기는 말이야‥‥‥‥.
L3348	ピーピッ、ピーピッ‥‥。
>>	삐삑, 삐삑‥‥.
L3351	壁に埋め込まれているコンソールパネルが鳴り出した。硬い電子音が、あたりの空気をピリピリと振動させる。
>>	벽에 매립된 콘솔 패널이 울리기 시작했다. 딱딱한 전자음이, 주위 공기를 찌릿찌릿 진동시킨다.
L3355	［コウジ］：な、なんだ‥‥？
>>	［코우지］：뭐, 뭐지‥‥?
L3358	［ファル］：ブリッジからだわ、解析が終わったのかしら？
>>	［파르］：브리지에서 온 거야, 해석이 끝난 걸까?
L3362	［コウジ］：（ブリッジ‥‥？　解析‥‥‥？？）
>>	［코우지］：（브리지‥‥?　해석‥‥‥??）
L3365	ファルは手慣れたように、近くのコンパネを指で叩いている。
>>	파르는 익숙한 손놀림으로, 가까운 콘솔 패널을 손가락으로 두드리고 있다.
L3368	しばらくすると、眼鏡を掛けた綺麗な女性が、モニターに映し出された。
>>	잠시 후, 안경을 낀 아름다운 여성이, 모니터에 비쳤다.
L3371	［女の声］：プロフェッサ、デコード情報の解析、終了しました。
>>	［여자 목소리］：프로페서, 디코드 정보의 해석, 완료했습니다.
L3374	［ファル］：わかったわ‥‥トレイシー、ありがとう。
>>	［파르］：알았어‥‥트레이시, 고마워.
L3377	［女の声］：はい、それで‥‥見つかったのですか？　彼は。
>>	［여자 목소리］：네, 그래서‥‥찾으신 겁니까?　그는.
L3380	［ファル］：ええ、ここにいるわ。今、状況を説明しているところ。
>>	［파르］：그래, 여기 있어. 지금, 상황을 설명하고 있는 중이야.
L3383	［女の声］：そうですか‥‥。
>>	［여자 목소리］：그렇군요‥‥.
L3386	［ファル］：ランファ‥‥彼女は、どうしているの？
>>	［파르］：란파‥‥그 애는, 뭘 하고 있어?
L3389	［女の声］：恐らく、彼をまだ捜しているのだと思います。
>>	［여자 목소리］：아마도, 아직 그를 찾고 있을 거라고 생각합니다.
L3392	［ファル］：フフ、早く教えてあげてね。我、救出に成功せり、ってね。
>>	［파르］：후후, 어서 알려 줘. 나, 구출에 성공했노라, 하고 말이야.
L3396	［コウジ］：（ブリッジって‥‥艦船じゃあるまいし、いったいどういうことだ‥‥？）
>>	［코우지］：（브리지라니‥‥함선도 아니고, 대체 무슨 소리지‥‥?）
L3400	［コウジ］：（それに、プロフェッサと呼ばれていたけど‥‥‥。）
>>	［코우지］：（게다가, 프로페서라고 불렸는데‥‥‥.）
L3403	［ファル］：‥‥どうかしたの？　怪訝そうな顔をしているわね。
>>	［파르］：‥‥무슨 일 있어?　의아한 얼굴을 하고 있네.
L3407	［コウジ］：そうだろうさ。ここはどこ、私は誰、という状況だからね。
>>	［코우지］：그렇겠지. 여긴 어디, 나는 누구, 그런 상황이니까.
L3410	［ファル］：じゃあ、心して聞いて頂戴‥‥。
>>	［파르］：그럼, 마음 단단히 먹고 들어 줘‥‥.
L3413	［ファル］：ここは、辺境のナーズ星系‥‥恒星ナーズのほぼ真上にあたるわ。
>>	［파르］：여기는, 변경의 나즈 성계‥‥항성 나즈의 거의 바로 위에 해당해.
L3417	［コウジ］：‥‥‥‥‥！？
>>	［코우지］：‥‥‥‥‥!?
L3420	［ファル］：驚いているようね‥‥無理はないかも。
>>	［파르］：놀란 모양이네‥‥무리도 아니겠지.
L3424	［コウジ］：じゃ、じゃあここは‥‥‥‥。
>>	［코우지］：그, 그럼 여기는‥‥‥‥.
L3427	［ファル］：そうよ‥‥‥‥。
>>	［파르］：그래‥‥‥‥.
L3431	［コウジ］：き、君はいったい‥‥‥‥。
>>	［코우지］：다, 너는 대체‥‥‥‥.
L3434	［ファル］：私は超心理学者のファル、ファルネリア‥‥。
>>	［파르］：나는 초심리학자인 파르, 파르네리아‥‥.
L3437	［ファル］：あなたは、第２次調査隊の唯一の生き残りとして、私たちに救助されたの‥‥‥。
>>	［파르］：당신은, 제２차 조사대의 유일한 생존자로서, 우리에게 구조된 거야‥‥‥.
L3441	［コウジ］：‥‥！？
>>	［코우지］：‥‥!?
L3443	唯一の‥‥‥‥<$0C>生き残り‥‥‥‥？
>>	유일한‥‥‥‥<$0C>생존자‥‥‥‥?
L3446	‥‥‥‥この、私が‥‥‥‥‥‥‥‥。
>>	‥‥‥‥이, 내가‥‥‥‥‥‥‥‥.
L3449	そこは、ヒンヤリとした部屋だった‥‥。
>>	그곳은, 서늘한 방이었다‥‥.
