# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L24412	［トレイシー］：んっ‥‥んあぅ‥‥あぁぁぁぁぁぁぁぁっっ！！
>>	［트레이시］：읏‥‥으아앙‥‥아아아아아아아앗!!
L24415	狭い穴を抜けるような感覚に、オレはいい知れぬ快楽を覚えていた。
>>	좁은 구멍을 빠져나가는 듯한 감각에, 나는 형언할 수 없는 쾌락을 느끼고 있었다.
L24418	生暖かくオレのモノを締め付ける花弁は、これ以上ないくらい柔らかく包み込み、中で蠢動し、オレのモノをしごきあげる。
>>	미지근하게 내 것을 조여 오는 꽃잎은 더없이 부드럽게 감싸고, 안에서 꿈틀거리며 내 것을 훑어 올린다.
L24421	［トレイシー］：あふぅ、あはぁぁ、んんっ‥‥凄く、いいのっ、あぁぁっ！
>>	［트레이시］：하으, 아하아아, 으응‥‥굉장히, 좋아요, 아아앗!
L24424	トレイシーの腰使いは絶妙だった。カリの部分が見えるまでゆっくりとあげていき、そこから一気に腰を落とし根本まで呑み込む。
>>	트레이시의 허리놀림은 절묘했다. 끝부분이 보일 때까지 천천히 올렸다가, 거기서 단숨에 허리를 내려 뿌리까지 삼킨다.
L24427	そのあとで腰を「の」の字に回し、膣内でオレのモノをたっぷりとシゴキあげると、再びゆっくりとカリの部分まで腰をあげていく。
>>	그다음 허리를 원을 그리듯 돌려 안에서 내 것을 실컷 훑어 올리고는, 다시 천천히 끝부분까지 허리를 올려 간다.
L24430	単調な動作だったが、それは脳天まで麻痺してしまうほどの快楽を醸し出した。
>>	단조로운 동작이었지만, 그것은 정수리까지 마비될 만큼의 쾌락을 자아냈다.
L24433	彼女の花弁の肉圧と、腰使いは絶品だ。
>>	그녀의 꽃잎이 주는 압박과 허리놀림은 일품이다.
L24436	［トレイシー］：んふぅぅ、どう‥‥あっ、どう‥‥ですか、私の膣内は‥‥。
>>	［트레이시］：으흐응, 어떠‥‥앗, 어떠‥‥세요, 제 안은‥‥.
L24440	［宏治］：あったかくて、ぎゅうぎゅう締め付けて‥‥最高だよ。
>>	［코지］：따뜻하고, 꽉꽉 조여 와서‥‥최고야.
L24443	［トレイシー］：あはぁぁ、嬉しい‥‥もっともっと、気持ちよくなって下さいっ！！
>>	［트레이시］：아하아아, 기뻐요‥‥더, 더 기분 좋아지세요!!
L24446	ずちゅっ、ぬりゅっ、ずちゅっ、ぬりゅっ。
>>	질컥, 미끄윽, 질컥, 미끄윽.
L24449	次第に早くなっていく腰の動きに同調して、目の前では量感溢れるバストが、たぷんたぷんと揺れていた。
>>	점점 빨라지는 허리 움직임에 맞춰, 눈앞에서는 풍만한 가슴이 출렁출렁 흔들리고 있었다.
L24452	オレそれをたっぷりと揉みしだいた。柔らかく弾力があるそれは、オレの手の中で自由自在に変形する。
>>	나는 그것을 실컷 주물렀다. 부드럽고 탄력 있는 그것은 내 손안에서 자유자재로 모양을 바꾼다.
L24455	［トレイシー］：あぁぁ、もっともっと、乱暴に揉んで下さいっ！
>>	［트레이시］：아아아, 더, 더 거칠게 주물러 주세요!
L24459	［宏治］：こうかっ！？
>>	［코지］：이렇게?!
L24462	［トレイシー］：もっともっと‥‥乳首をひねってっ！
>>	［트레이시］：더, 더‥‥젖꼭지를 비틀어 주세요!
L24465	ぎゅぅぅぅっ！！
>>	꽈아아악!!
L24468	［トレイシー］：あふぅぅっ！　もう‥‥もうダメ、噛んで‥‥私の乳首を、噛んでっ！！
>>	［트레이시］：하으읏!　이제‥‥이제 안 돼요, 깨물어 주세요‥‥제 젖꼭지를, 깨물어 주세요!!
L24471	ガリッ！！
>>	콱!!
L24474	［トレイシー］：あひぃぃっっ！！！
>>	［트레이시］：아히이잇!!!
L24477	オレがトレイシーの乳首を強く噛んだ途端、彼女の膣圧がぐっと上がった。
>>	내가 트레이시의 젖꼭지를 세게 깨문 순간, 그녀의 조임이 확 강해졌다.
L24481	［宏治］：トレイシー、もう、出るっ！
>>	［코지］：트레이시, 이제, 나올 것 같아!
L24484	［トレイシー］：あぁぁぁ、出して‥‥お願い、私の膣内に射精してっ！！
>>	［트레이시］：아아아아, 내주세요‥‥부탁이에요, 제 안에 사정해 주세요!!
L24487	トレイシーの花弁は、ビクビクと中で肉棒をしごきあげる。オレは最後のフィニッシュまで、一挙に階段を駆け上がった。
>>	트레이시의 꽃잎은 움찔움찔 안에서 그것을 훑어 올린다. 나는 마지막 절정까지 단숨에 계단을 뛰어올랐다.
L24490	［トレイシー］：出して‥‥射精してぇぇっ‥‥うっ！！
>>	［트레이시］：내주세요‥‥사정해 주세요오오‥‥읏!!
L24493	ドクドクドクッ、ドクッ、ドクッ、ドクッ‥‥。
>>	울컥울컥울컥, 울컥, 울컥, 울컥‥‥.
L24496	［トレイシー］：んっ‥‥あぁぁぁっ‥‥出てる、出てるの‥‥あぁぁぁ‥‥。
>>	［트레이시］：읏‥‥아아아앗‥‥나와요, 나오고 있어요‥‥아아아아‥‥.
L24499	射精している間も、トレイシーの肉壁はオレの肉棒に絡み付き、最後の一滴まで絞り出そうと蠢動していた。
>>	사정하는 동안에도 트레이시의 속살은 내 것에 휘감겨, 마지막 한 방울까지 짜내려고 꿈틀거리고 있었다.
L24503	［宏治］：な、何だこれ‥‥す、吸い取られそう‥‥。
>>	［코지］：뭐, 뭐야 이거‥‥빠, 빨려 나갈 것 같아‥‥.
L24506	［トレイシー］：もっと‥‥もっとお出しになって‥‥んくぅ‥‥。
>>	［트레이시］：더‥‥더 내주세요‥‥으흑‥‥.
L24508	ドクッ、ドクッ‥‥‥‥<$0C>ドクンッ！
>>	울컥, 울컥‥‥‥‥<$0C>울컹!
L24512	［トレイシー］：あぁぁぁ、コウジ様‥‥コウジ様‥‥んっ。
>>	［트레이시］：아아아아, 코우지 님‥‥코우지 님‥‥읏.
L24515	柔らかい唇がオレのに重ねられてきた。すぐに彼女の舌が、オレの口を割って入ってくる。
>>	부드러운 입술이 내 입술에 포개져 왔다. 곧바로 그녀의 혀가 내 입을 가르고 들어온다.
L24518	オレたちは互いの舌を絡め合いながら、ゆっくりと快楽の余韻に浸っていった‥‥。
>>	우리는 서로의 혀를 휘감으며, 천천히 쾌락의 여운에 잠겨 갔다‥‥.
L24522	［宏治］：なぁ、トレイシー‥‥。
>>	［코지］：있잖아, 트레이시‥‥.
L24525	［トレイシー］：フフ、なんでしょうか？
>>	［트레이시］：후후, 무슨 일이신가요?
L24529	［宏治］：すっごく良かった‥‥。
>>	［코지］：엄청 좋았어‥‥.
L24533	［トレイシー］：ウフフ、コウジ様もですわ‥‥。
>>	［트레이시］：우후후, 코우지 님도요‥‥.
L24537	［宏治］：あっ、ヤバ‥‥また硬くなってきちゃった。
>>	［코지］：앗, 이런‥‥또 딱딱해져 버렸어.
L24540	［トレイシー］：ウフフ、お若いですわね。
>>	［트레이시］：우후후, 젊으시네요.
L24544	［宏治］：しかし、あれだね。
>>	［코지］：그나저나, 말이야.
L24548	［宏治］：ん？　何というか、これから、ビアンカのシップに乗り込むってのに、あまり緊迫感がないよなぁ。
>>	［코지］：응?　뭐랄까, 이제부터 비앙카의 함선에 쳐들어가는데, 별로 긴박감이 없단 말이지.
L24552	［トレイシー］：それは、コウジ様の自信のなせるワザですわ。もうすぐ、ビアンカさんのシップに追いつきますね。
>>	［트레이시］：그건 코우지 님의 자신감 덕분이지요. 곧 비앙카 씨의 함선을 따라잡겠네요.
L24556	［宏治］：うん‥‥ホンモノのコウジだったら、どうしたろうな、こういう場合。
>>	［코지］：응‥‥진짜 코우지였다면, 어떻게 했을까, 이런 경우.
L24559	［トレイシー］：さぁ‥‥あの方は、本当に予想外のことをなさる方でしたから‥‥。
>>	［트레이시］：글쎄요‥‥그분은 정말 예상 밖의 일을 하시는 분이었으니까요‥‥.
L24563	［宏治］：予想外？
>>	［코지］：예상 밖?
L24567	［トレイシー］：えぇ、奇策や奇計はコウジ様の代名詞と言えましょう。
>>	［트레이시］：네, 기묘한 책략과 계략은 코우지 님의 대명사라 할 수 있죠.
L24570	［トレイシー］：何を考えていますの？
>>	［트레이시］：무슨 생각을 하고 계세요?
L24574	［宏治］：いやね、奇策や奇計は、コウジの代名詞なんだろ？
>>	［코지］：아니 그게, 기묘한 책략과 계략은 코우지의 대명사라며?
L24578	［宏治］：そのことは、ビアンカも？
>>	［코지］：그건, 비앙카도?
L24581	［トレイシー］：当然、知っておいででしょう。
>>	［트레이시］：당연히 알고 계시겠죠.
L24585	［宏治］：フフン‥‥。
>>	［코지］：후훗‥‥.
L24589	［宏治］：１つだけ、面白い手を思いついたよ。
>>	［코지］：딱 하나, 재미있는 수가 떠올랐어.
L24592	［トレイシー］：まぁ、さすがですわ。
>>	［트레이시］：어머, 역시 대단하세요.
L24596	［宏治］：といっても、相手の裏をかくというだけだけどね。
>>	［코지］：그래 봐야, 상대의 허를 찌른다는 것뿐이지만.
L24600	［トレイシー］：それでこそ、コウジ様ですわっ。
>>	［트레이시］：그래야 코우지 님이시죠!
L24604	［宏治］：さて、どうなることやら‥‥。
>>	［코지］：자, 어떻게 될지‥‥.
L24608	［宏治］：（聞いてるか、コウジ！）
>>	［코지］：（듣고 있나, 코우지!）
L24612	［宏治］：（何だか、自分に怒鳴りつけているような気がして、何だな‥‥。）
>>	［코지］：（어쩐지 나 자신에게 소리치는 기분이라, 좀 그렇군‥‥.）
L24616	［宏治］：（まぁいい、５時間後、期待してるからな‥‥。）
>>	［코지］：（뭐 됐어, ５시간 후, 기대하고 있을 테니까‥‥.）
L24619	ピュイィィーーー。
>>	퓨이이이―――.
L24622	狭い‥‥‥‥。
>>	좁다‥‥‥‥.
L24625	オレは何度目かになる無為な状況確認をした。同じ格好で長時間、石膏像のような趣で立っているのだ。
