# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L26854	レロっ！
>>	낼름!
L26858	［宏治］：（とれたーーー！！！）
>>	［코지］：（빼냈다아아앗!!!）
L26862	［宏治］：フッフッフ‥‥。
>>	［코지］：훗훗훗‥‥.
L26866	［宏治］：ビアンカ、残念だったな。
>>	［코지］：비앙카, 안됐군.
L26870	［ビアンカ］：こ、コウジ‥‥。
>>	［비앙카］：코, 코우지‥‥.
L26874	［宏治］：もはや、爆破スイッチはオレの手にある。
>>	［코지］：이미, 폭파 스위치는 내 손에 있다.
L26877	［ビアンカ］：あはぁぁ、あげるわ、そんなの‥‥。
>>	［비앙카］：아하아아, 줄게, 그런 거‥‥.
L26881	［ビアンカ］：あぁぁぁ‥‥コウジぃ‥‥。
>>	［비앙카］：아아아‥‥코우지이‥‥.
L26885	［宏治］：ど、どうしたの‥‥？
>>	［코지］：무, 무슨 일이야‥‥?
L26889	［ビアンカ］：コウジぃ、私‥‥私‥‥。
>>	［비앙카］：코우지이, 나‥‥나‥‥.
L26893	［コウジ］：《今だ、宏治！》
>>	［코우지］：《지금이다, 코지!》
L26897	［宏治］：《なっ‥‥まだいたのかよ、お前。》
>>	［코지］：《뭐‥‥아직 있었냐, 너.》
L26901	［コウジ］：《早く言え！　愛していると。》
>>	［코우지］：《어서 말해라!　사랑한다고.》
L26905	［宏治］：《はぁ‥‥？》
>>	［코지］：《하아‥‥?》
L26909	［コウジ］：《愛しているとか何とか言って、その場をしのぐのだ！》
>>	［코우지］：《사랑한다든가 뭐라든가 해서, 그 자리를 모면하는 거다!》
L26913	［宏治］：《あのなぁ‥‥。》
>>	［코지］：《이봐 말이야‥‥.》
L26917	［コウジ］：《ビアンカは私に惚れている。それを利用しない手はない。》
>>	［코우지］：《비앙카는 나에게 반해 있다. 그걸 이용하지 않을 이유가 없지.》
L26921	［宏治］：《‥‥お前ってさ。》
>>	［코지］：《‥‥너 말이야.》
L26925	［コウジ］：《なんだ、宇宙一の大海賊と言いたいのか？》
>>	［코우지］：《뭐냐, 우주 제일의 대해적이라고 말하고 싶은 거냐?》
L26929	［宏治］：《お前って、宇宙一の外道だな。》
>>	［코지］：《너 말이야, 우주 제일의 쓰레기로군.》
L26933	［コウジ］：《ビアンカは自爆装置を、身体にいくつも取り付けているのだぞ。そのまま爆死したいか？》
>>	［코우지］：《비앙카는 자폭 장치를 몸에 여러 개 달고 있다. 그대로 폭사하고 싶으냐?》
L26937	［宏治］：《な、なにぃ！？》
>>	［코지］：《뭐, 뭐라고!?》
L26941	［コウジ］：《今なら大丈夫だ。早く言うのだ！》
>>	［코우지］：《지금이라면 괜찮다. 어서 말하는 거다!》
L26945	［宏治］：び、びびびビアンカ‥‥その、愛してる‥‥。
>>	［코지］：비, 비비비비앙카‥‥그, 사랑해‥‥.
L26948	［ビアンカ］：えっ‥‥？
>>	［비앙카］：어‥‥?
L26952	［宏治］：《おい、本当に大丈夫かよ‥‥。》
>>	［코지］：《이봐, 정말 괜찮은 거냐‥‥.》
L26956	［コウジ］：《‥‥‥‥‥‥。》
>>	［코우지］：《‥‥‥‥‥‥.》
L26960	［宏治］：《おい、コウジ‥‥コウジ！？　なんだ、肝心なときにだんまりかよっ！》
>>	［코지］：《이봐, 코우지‥‥코우지!?　뭐야, 중요할 때 묵묵부답이냐!》
L26963	［ビアンカ］：い、今なんて‥‥。
>>	［비앙카］：바, 방금 뭐라고‥‥.
L26967	［宏治］：えっ？　あぁ、その‥‥。
>>	［코지］：어?　아아, 그‥‥.
L26970	［ビアンカ］：いま、何て言ったのっ！？
>>	［비앙카］：방금, 뭐라고 했어!?
L26974	［宏治］：えっ？　あ、愛してるって‥‥。
>>	［코지］：어?　사, 사랑한다고‥‥.
L26977	［ビアンカ］：ほ、本当？
>>	［비앙카］：저, 정말?
L26981	［宏治］：ほ、本当‥‥だと思う。
>>	［코지］：저, 정말‥‥인 것 같아.
L26985	［ビアンカ］：コウジ‥‥私も、私もよっ！
>>	［비앙카］：코우지‥‥나도, 나도야!
L26989	［宏治］：（何なんだ、この展開はっ！？）
>>	［코지］：（뭐야, 이 전개는!?）
L26993	［宏治］：まぁアレだ、今までのことは、水に流そう。オレが悪かったよ。
>>	［코지］：뭐 그러니까, 지금까지 일은 없던 걸로 하자. 내가 잘못했어.
L26996	［ビアンカ］：ううん、私も、私も悪かったわ‥‥。
>>	［비앙카］：아니야, 나도, 나도 잘못했어‥‥.
L27000	［宏治］：じゃあ、水に流す？
>>	［코지］：그럼, 없던 걸로?
L27003	［ビアンカ］：うん‥‥。
>>	［비앙카］：응‥‥.
L27007	［ビアンカ］：コウジ‥‥私、私はかたときも、お前のことを忘れたことはなかった‥‥。
>>	［비앙카］：코우지‥‥나, 나는 한시도, 널 잊은 적이 없었어‥‥.
L27011	［宏治］：そ、そうなの‥‥？
>>	［코지］：그, 그래‥‥?
L27015	［ビアンカ］：コウジ、お前さえ許してくれるなら、私はまた、お前と一緒に‥‥。
>>	［비앙카］：코우지, 네가 용서만 해준다면, 나는 다시, 너와 함께‥‥.
L27019	［宏治］：えっ？　えっ？
>>	［코지］：어?　어?
L27023	［ビアンカ］：愛してる‥‥コウジ！！　チュッ！
>>	［비앙카］：사랑해‥‥코우지!!　쪽!
L27026	カチッ。
>>	철컥.
L27029	［ビアンカ］：えっ？
>>	［비앙카］：어?
L27032	［ファル・ランファ・トレイシー］：えぇっ～！？
>>	［파르・란파・트레이시］：에에엣～!?
L27035	で、その後どうなったかというと‥‥‥‥。
>>	그래서, 그 후 어떻게 됐냐 하면‥‥‥‥.
L27039	［宏治］：実はまだ、オレは《クワドラ》にいたりする。
>>	［코지］：사실 나는 아직도 《콰드라》에 있다.
L27042	［トレイシー］：ランファ、このお皿をテーブルに並べて頂戴。
>>	［트레이시］：란파, 이 접시를 테이블에 늘어놔 줘요.
L27045	［ランファ］：んもぉ、ビアンカさん、ちょっとは手伝って下さいよぉ。
>>	［란파］：아이 참, 비앙카 씨, 조금은 도와주세요오.
L27048	［ビアンカ］：私は炊事関連は苦手でな。ムチさばきなら得意だぞ。
>>	［비앙카］：나는 취사 관련은 서툴러서 말이지. 채찍 다루기라면 자신 있다만.
L27052	［ファル］：ほらほら、コウジぃ、お尻ばかり見てないで、お鍋を見て。
>>	［파르］：자자, 코우지이, 엉덩이만 보지 말고, 냄비를 봐.
L27055	［ランファ］：あっ、お鍋がふいてるぅ！
>>	［란파］：앗, 냄비가 넘치고 있어어!
L27058	［トレイシー］：あらあら、大変‥‥火はこれくらい、かしら？
>>	［트레이시］：어머어머, 큰일이네요‥‥불은 이 정도, 일까요?
L27061	［ビアンカ］：私に訊かれても困るぞ。炊事関連は苦手でな。
