# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L8014	［沙夜香］：なにやってんのじゃないわよじゃ‥‥‥‥。
>>	［사야카］：그게 할 소리야가 아니‥‥‥‥.
L8018	［宏治］：ねぇ、沙夜香さん。
>>	［코지］：저기, 사야카 씨.
L8021	強い口調で、つまらない言い合いに終止符をうつと、僕は沙夜香の顔をまじまじと凝視する。
>>	강한 어조로, 시시한 말다툼에 종지부를 찍고, 나는 사야카의 얼굴을 뚫어지게 응시한다.
L8024	ペロっと舌を出すと、沙夜香はイタズラを見つかった子供のような表情をしてみせた。
>>	혀를 쏙 내밀며, 사야카는 장난을 들킨 아이 같은 표정을 지어 보였다.
L8028	［沙夜香］：宏治クンこそ、こんなところで何をしてるのよ。
>>	［사야카］：코지 군이야말로, 이런 데서 뭘 하고 있는 거야.
L8032	［宏治］：ぼ、僕？
>>	［코지］：저, 저요?
L8035	［沙夜香］：そう、ボク。
>>	［사야카］：그래, 저요.
L8039	［宏治］：真似しないで下さい。
>>	［코지］：따라 하지 마세요.
L8042	［沙夜香］：ウフフ、可愛いわよ、ボク。
>>	［사야카］：우후후, 귀엽네, 저요.
L8046	［宏治］：あのね‥‥。
>>	［코지］：저기요‥‥.
L8049	少しだけ、気分が緩和された。この女性は、いつも人を小馬鹿にするような言動をするけど、今回だけは渡りに船だ。
>>	조금은, 기분이 누그러졌다. 이 여자는, 늘 사람을 깔보는 듯한 언행을 하지만, 이번만은 마침 잘된 셈이다.
L8052	［沙夜香］：どうしたのよ、ニコニコしちゃって。
>>	［사야카］：왜 그래, 싱글벙글 웃고 말이야.
L8056	［宏治］：別に。じゃあ沙夜香さん、ここで何をしていたか、言って下さいよ。
>>	［코지］：별로요. 그럼 사야카 씨, 여기서 뭘 하고 있었는지, 말해 주세요.
L8060	［沙夜香］：宏治クンが先でしょう？
>>	［사야카］：코지 군이 먼저 아냐?
L8064	［宏治］：な、何で僕が‥‥‥‥。
>>	［코지］：어, 어째서 제가‥‥‥‥.
L8067	［沙夜香］：怪しいわねぇ、何でここに来たのかしら。
>>	［사야카］：수상한데, 왜 여기 온 걸까.
L8071	［宏治］：そ、それは、恵が‥‥‥‥。
>>	［코지］：그, 그건, 메구미가‥‥‥‥.
L8074	［沙夜香］：えっ？　恵さん？　どういうこと？
>>	［사야카］：어?　메구미 씨?　무슨 소리야?
L8077	どうも立場が逆転してしまった。言葉巧みに、沙夜香は僕から言葉を引き出していく。
>>	아무래도 입장이 역전되고 말았다. 능란한 말솜씨로, 사야카는 나에게서 말을 끌어낸다.
L8080	分かってはいたが、むしろ沙夜香の目論見にのるのも、悪くはないと思う。これで恵の情報が得られるなら、やすいものだった。
>>	알고는 있었지만, 차라리 사야카의 속셈에 넘어가 주는 것도, 나쁘지 않다고 생각한다. 이걸로 메구미의 정보를 얻는다면, 싼 셈이었다.
L8084	［宏治］：そうなんだ、恵の様子がちょっと変で‥‥。
>>	［코지］：그게, 메구미 상태가 좀 이상해서‥‥.
L8087	［沙夜香］：彼女、どうかしたの？
>>	［사야카］：그 애, 무슨 일 있어?
L8091	［宏治］：うん‥‥何か、僕のところに電話をしてきたと思ったら、突然ここを出ろって‥‥。
>>	［코지］：네‥‥뭔가, 저한테 전화를 했다 싶더니, 갑자기 여기서 나가라고‥‥.
L8094	［沙夜香］：ふーん‥‥。
>>	［사야카］：흐응‥‥.
L8097	沙夜香の目が、若干光ったのを僕は見逃さなかった。彼女、恵について何かを知っているのだろうか‥‥？
>>	사야카의 눈이 살짝 빛나는 것을, 나는 놓치지 않았다. 그녀, 메구미에 대해 뭔가 알고 있는 걸까‥‥?
L8100	［沙夜香］：それで、恵さん、なんだって？
>>	［사야카］：그래서, 메구미 씨가 뭐라고?
L8104	［宏治］：うん、僕の頭が滅茶苦茶だって‥‥。
>>	［코지］：음, 제 머리가 엉망진창이라고‥‥.
L8107	［沙夜香］：フフフ、それはちょっと酷いわねぇ。
>>	［사야카］：후후후, 그건 좀 심하네에.
L8111	［宏治］：違いますよ、そんな意味じゃ‥‥多分‥‥無いと思う。
>>	［코지］：그런 게 아니에요, 그런 뜻은‥‥아마‥‥아닐 거예요.
L8114	［沙夜香］：ふーん、じゃあどんな意味で言ったのかしら。
>>	［사야카］：흐음, 그럼 무슨 뜻으로 말한 걸까.
L8118	［宏治］：それがわからないから、彼女を捜してるんです。
>>	［코지］：그걸 모르니까, 그 애를 찾고 있는 거예요.
L8121	［沙夜香］：なるほどね‥‥。
>>	［사야카］：그렇구나‥‥.
L8125	［宏治］：じゃあ沙夜香さん‥‥‥‥。
>>	［코지］：그럼 사야카 씨‥‥‥‥.
L8128	［沙夜香］：他に何か、言っていなかった？
>>	［사야카］：그 밖에 뭔가, 말하지 않았어?
L8131	［沙夜香］：恵さん、他に何か言っていなかったの？
>>	［사야카］：메구미 씨, 그 밖에 뭔가 말하지 않았어?
L8135	［宏治］：あ、あぁ‥‥そういえば、マインド何とかって‥‥。
>>	［코지］：아, 아아‥‥그러고 보니, 마인드 뭐라던가‥‥.
L8138	［沙夜香］：なんですって？
>>	［사야카］：뭐라고?
L8142	［宏治］：そう、確か‥‥マインド‥‥マインドコントロール‥‥そうだ、マインドコントロール・マシンとか、言っていた。
>>	［코지］：네, 분명‥‥마인드‥‥마인드 컨트롤‥‥맞다, 마인드 컨트롤 머신이라던가, 그랬어요.
L8145	［沙夜香］：‥‥‥‥‥‥。
>>	［사야카］：‥‥‥‥‥‥.
