# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L27685	［宏治］：もっともっと、擦り付けて。
>>	［코지］：더, 더 문질러 봐.
L27688	［トレイシー］：はい。あはぁぁぁ、も、もう我慢できそうにありません‥‥。
>>	［트레이시］：네. 아하아아, 이, 이제 못 참을 것 같아요‥‥.
L27692	［宏治］：我慢するの。じゃないと、あげないぜ。
>>	［코지］：참는 거야. 안 그러면, 안 줄 거다.
L27695	［トレイシー］：あン、意地悪ですのね‥‥あふぅぅ、あぁぁぁ‥‥。
>>	［트레이시］：아응, 짓궂으시네요‥‥아후우우, 아아아아‥‥.
L27699	［宏治］：結構濡れてるなぁ。
>>	［코지］：꽤 젖었네.
L27703	［トレイシー］：コウジ様が欲しいからですわ。
>>	［트레이시］：코우지 님을 원하니까요.
L27707	［宏治］：欲しいかい？
>>	［코지］：갖고 싶어?
L27710	［トレイシー］：あぁぁ、とっても‥‥欲しい‥‥。
>>	［트레이시］：아아아, 무척‥‥원해요‥‥.
L27714	［宏治］：じゃあ、もうちょっとこすって。
>>	［코지］：그럼, 조금만 더 문질러.
L27717	［トレイシー］：んもう‥‥意地悪ですのね。
>>	［트레이시］：정말‥‥짓궂으시네요.
L27721	［宏治］：ふぅ、そろそろ、いいかな？
>>	［코지］：후우, 슬슬 괜찮으려나?
L27725	［宏治］：じゃあ、最初はゆっくりとな‥‥。
>>	［코지］：그럼, 처음엔 천천히‥‥.
L27728	［トレイシー］：んっ‥‥んくっ‥‥。
>>	［트레이시］：흣‥‥흐윽‥‥.
L27731	ずぷぷぷぷぷぷぷぷぷっ‥‥‥‥‥‥。
>>	쭈뿌뿌뿌뿌뿌뿌뿌뿍‥‥‥‥‥‥.
L27734	［トレイシー］：あはぁぁぁぁぁ‥‥。
>>	［트레이시］：아하아아아아아‥‥.
L27738	［宏治］：すっぽり、奥まで呑み込まれちゃったね。
>>	［코지］：쏙, 안쪽까지 삼켜졌네.
L27741	［トレイシー］：あぁぁ、大きいわ‥‥硬くて‥‥あふぅぅ‥‥。
>>	［트레이시］：아아아, 크네요‥‥단단하고‥‥아후우우‥‥.
L27745	［宏治］：膣内はフニャフニャしてて、何だか気持ちいいよ。
>>	［코지］：안은 말랑말랑해서, 왠지 기분 좋아.
L27748	［トレイシー］：嬉しいです‥‥じゃあ、こうしたら如何ですか？
>>	［트레이시］：기뻐요‥‥그럼, 이렇게 하면 어떠세요?
L27751	ぐにゅぐにゅぐにゅ‥‥。
>>	물컹물컹물컹‥‥.
L27755	［宏治］：うぉっ、腰を動かさずに‥‥。
>>	［코지］：우옷, 허리를 안 움직이고‥‥.
L27758	［トレイシー］：ウフフ、私のは、こういうこともできますのよ。
>>	［트레이시］：우후후, 제 건 이런 것도 할 수 있답니다.
L27762	［宏治］：す、凄い‥‥凄すぎる！
>>	［코지］：대, 대단해‥‥너무 대단해!
L27765	［トレイシー］：あはぁぁぁ、もっともっと、感じて下さい‥‥。
