# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L28530	［ランファ］：もちろんですぅ、ずっと一緒に暮らしてきましたし。
>>	［란파］：물론이죠오, 계속 함께 살아왔는걸요.
L28534	［宏治］：ずっと‥‥一緒？
>>	［코지］：계속‥‥함께?
L28538	聞き捨てならない情報だった。ビアンカとオレ‥‥コウジとは、敵同士ではなかったのか？
>>	흘려들을 수 없는 정보였다. 비앙카와 나‥‥코우지는, 서로 적이 아니었던가?
L28542	［宏治］：それって、どういうこと？
>>	［코지］：그건, 무슨 소리야?
L28545	［ランファ］：えっと、どういうことと言われましても‥‥。
>>	［란파］：음, 무슨 소리냐고 하셔도‥‥.
L28549	［宏治］：じゃあ、どこで一緒に暮らしていたの？
>>	［코지］：그럼, 어디서 함께 살았는데?
L28552	［ランファ］：ここです。
>>	［란파］：여기예요.
L28556	［宏治］：こ、ここ？
>>	［코지］：여, 여기?
L28559	ロッカーの中で一緒に暮らしていたのか‥‥。ほとんど、想像不能である。
>>	로커 안에서 함께 살았다는 건가‥‥. 거의 상상 불가능이다.
L28563	［宏治］：どのくらい、一緒に？
>>	［코지］：얼마나, 함께?
L28566	［ランファ］：もう、何年も一緒にですよ。
>>	［란파］：벌써 몇 년이나 함께요.
L28570	［宏治］：一緒に、何年も、ここで？
>>	［코지］：함께, 몇 년이나, 여기서?
L28573	倒置法を多用して、オレはランファに問いただした。彼女はコクンと１つ、うなずく。
>>	도치법을 남발하며, 나는 란파를 추궁했다. 그녀는 고개를 꾸벅 한 번 끄덕인다.
L28577	［宏治］：そうかぁ‥‥結構苦労したんだなぁ。
>>	［코지］：그렇구나‥‥꽤 고생했겠네.
L28581	［ランファ］：はい、もうビアンカさんとコウジ様って、すっごく仲が良かったですから‥‥。
>>	［란파］：네, 비앙카 씨랑 코우지 님은 정말 사이가 좋으셨으니까요‥‥.
L28585	［宏治］：えっ、オレ？　オレも一緒に？
>>	［코지］：엇, 나?　나도 함께?
