# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L25212	［宏治］：何が、お願いなんだい？
>>	［코지］：뭐가, 부탁인 건데?
L25215	オレは意地悪く、トレイシーに聞いてみた。彼女はうるんだ目をしながら、肩でイヤイヤをした。
>>	나는 짓궂게, 트레이시에게 물어보았다. 그녀는 젖은 눈을 하고서, 어깨를 흔들며 싫다는 몸짓을 했다.
L25218	［トレイシー］：おわかりになっているくせに‥‥。
>>	［트레이시］：알고 계시면서‥‥.
L25222	［宏治］：いや、わからないね。
>>	［코지］：아니, 모르겠는데.
L25225	［トレイシー］：んもう、意地悪なのですね。
>>	［트레이시］：정말 참, 짓궂으시네요.
L25228	普段だったら、ギュッと二の腕をつままれたかもしれなかったが、今は状況が状況だ。代わりに彼女は、オレの差し込んである指を、キュッと肉圧で締めた。
>>	평소였다면, 꽉 팔뚝을 꼬집혔을지도 몰랐지만, 지금은 상황이 상황이다. 대신 그녀는, 내가 밀어 넣어 둔 손가락을, 꽉 하고 살의 압력으로 조였다.
L25231	［トレイシー］：欲しくて、たまらない‥‥アレが‥‥。
>>	［트레이시］：갖고 싶어서, 견딜 수가 없어요‥‥그게‥‥.
L25235	［宏治］：アレって？
>>	［코지］：그게라니?
L25238	さらにオレは意地悪く言ってみたが、彼女は口ではなく行動で示した。
>>	더욱 짓궂게 말해 보았지만, 그녀는 입이 아니라 행동으로 보여 주었다.
L25241	［トレイシー］：コレです。
>>	［트레이시］：이거예요.
L25244	そう言いながら、トレイシーはズボンに素早く手を滑り込ませると、オレの怒張している股間のモノをキュッと握った。
>>	그렇게 말하면서, 트레이시는 바지에 재빨리 손을 미끄러뜨려 넣더니, 잔뜩 부푼 내 사타구니의 물건을 꽉 쥐었다.
L25247	いつの間にズボンを‥‥。
>>	어느새 바지를‥‥.
L25250	そのまま上下に掌を動かしだすと、オレの肉棒をシゴキだした。先っぽからにじみ出ている分泌液のせいで、肉棒自体がヌルヌルになっている。
>>	그대로 위아래로 손바닥을 움직이더니, 내 육봉을 훑어 대기 시작했다. 끝부분에서 배어 나온 분비액 탓에, 육봉 자체가 미끌미끌해져 있다.
L25253	リュッ、リュッ、リュッ‥‥。
>>	쓱, 쓱, 쓱‥‥.
L25256	次第にトレイシーの手の上下運動が速くなっていく。肉棒を握る強さや持ち方を、しごくたびに変えてくる。凄いテクニックだった。
>>	점차 트레이시 손의 상하 운동이 빨라져 간다. 육봉을 쥐는 세기나 잡는 법을, 훑을 때마다 바꿔 온다. 굉장한 테크닉이었다.
L25260	［宏治］：うっ‥‥くっ‥‥。
>>	［코지］：윽‥‥큭‥‥.
L25263	［トレイシー］：あぁ、凄い‥‥こんなに、パンパンに膨れて‥‥。
>>	［트레이시］：아아, 굉장해‥‥이렇게, 빵빵하게 부풀어서‥‥.
L25267	［宏治］：くそ、オレだって‥‥。
>>	［코지］：젠장, 나도‥‥.
L25270	オレが、人差し指と中指を、彼女の中に深々と差し込むと、ひっという声を出してトレイシーが痙攣する。
>>	내가, 검지와 중지를, 그녀의 안으로 깊숙이 밀어 넣자, 히윽 하는 소리를 내며 트레이시가 경련한다.
L25273	［トレイシー］：あっ‥‥ふ、深すぎます‥‥あぁぁぁぁ‥‥。
>>	［트레이시］：앗‥‥너, 너무 깊어요‥‥아아아아‥‥.
L25277	［宏治］：こんなに濡らしやがって、この‥‥。
>>	［코지］：이렇게나 적셔 놓고, 이‥‥.
L25280	［トレイシー］：あぁぁ、言って下さい、淫乱なメス犬って、言って！
>>	［트레이시］：아아아, 말해 주세요, 음란한 암캐라고, 말해요!
L25283	まさかそこまで言うつもりはなかったのだが、トレイシーはもう完全に独自の世界に入りきっていた。
>>	설마 거기까지 말할 생각은 없었지만, 트레이시는 이제 완전히 자기만의 세계에 빠져들어 있었다.
L25286	中指と人差し指を、別方向に動かすたびに、にちゃっ、にちゃっ、と恥ずかし過ぎる音が響きわたった。
>>	중지와 검지를, 다른 방향으로 움직일 때마다, 질척, 질척 하는 너무 부끄러운 소리가 울려 퍼졌다.
L25290	［トレイシー］：あぁぁ、コウジ様‥‥んあぅぅっ！！
>>	［트레이시］：아아아, 코우지 님‥‥으아웃!!
L25293	黙らせる為にキスをすると、夢中で舌を差し込んできた。オレの舌をからめ取り、吸い込むと、自分の口腔でたっぷりとねぶりあげる。
>>	입을 다물게 하려고 키스하자, 정신없이 혀를 밀어 넣어 왔다. 내 혀를 휘감아 붙잡고, 빨아들이더니, 자기 입안에서 실컷 핥아 올린다.
L25296	オレのモノが、一際ふくれあがると、彼女は口を離して、切なそうな目でオレを見つめた。
>>	내 물건이, 한층 더 부풀어 오르자, 그녀는 입을 떼고, 애타는 눈으로 나를 바라보았다.
L25299	［トレイシー］：あぁぁ、お出しになるのですね‥‥こんなに‥‥。
>>	［트레이시］：아아아, 내시려는 거군요‥‥이렇게나‥‥.
L25302	トレイシーはオレのモノを一層速くしごきだした。もうたまらない‥‥。
>>	트레이시는 내 물건을 한층 더 빠르게 훑어 대기 시작했다. 이제 못 참겠어‥‥.
L25306	［宏治］：トレイシー、オレもう、出そう‥‥。
>>	［코지］：트레이시, 나 이제, 나올 것 같아‥‥.
L25309	［トレイシー］：いいですわ、私にかけて下さい‥‥あぁぁ、かけて！
>>	［트레이시］：괜찮아요, 저에게 뿌려 주세요‥‥아아아, 뿌려요!
L25313	［宏治］：こ、このまま出して‥‥いいの？
>>	［코지］：이, 이대로 내도‥‥괜찮아?
L25316	［トレイシー］：お出しになって下さい‥‥あぁぁ、私の手の中に射精して！
>>	［트레이시］：내 주세요‥‥아아아, 제 손 안에 사정해요!
L25320	［宏治］：くっ！
>>	［코지］：큭!
L25323	ドクドクドクッッ！　ドクン、ドクン、ドクン‥‥‥‥。
>>	울컥울컥울컥!　울컹, 울컹, 울컹‥‥‥‥.
L25326	［トレイシー］：す、凄い勢い‥‥。
>>	［트레이시］：어, 엄청난 기세‥‥.
L25329	射精している最中でもなお、トレイシーは肉棒をしごく手を休めずに上下に動かし続ける。オレは彼女の手の中に、しこたま発射してしまった。
>>	사정하는 도중에도 여전히, 트레이시는 육봉을 훑는 손을 쉬지 않고 위아래로 계속 움직인다. 나는 그녀의 손 안에, 잔뜩 발사하고 말았다.
L25332	ドクッ、ドクッ‥‥ドクンッ！
>>	울컥, 울컥‥‥울컹!
L25335	［トレイシー］：あはぁぁ、こんなにお出しになって‥‥ビクビクと波を打っていますわ。
>>	［트레이시］：아하아아, 이렇게나 내시고‥‥움찔움찔 파도치고 있어요.
L25338	トレイシーは、大量の精液がこびり付く手を自分の口元に持ってくると、白い粘液を丹念に舐めだした。
>>	트레이시는, 대량의 정액이 눌어붙은 손을 자기 입가로 가져오더니, 하얀 점액을 정성스레 핥기 시작했다.
L25342	［トレイシー］：ん‥‥コウジ様の精液‥‥とっても素敵‥‥。
>>	［트레이시］：응‥‥코우지 님의 정액‥‥무척 멋져요‥‥.
L25345	またもやオレのがビンビンに怒張しだした時、
>>	또다시 내 것이 빳빳하게 발기하기 시작했을 때,
L25348	ウィーーン。
>>	위이잉.
L25351	［トレイシー］：キャッ。
>>	［트레이시］：꺅.
L25355	［宏治］：シッ、どうやら検分が終了したようだ‥‥。
>>	［코지］：쉿, 아무래도 검사가 끝난 모양이다‥‥.
L25358	これからという時だったが、物事には優先順位というモノがある。
>>	이제부터라는 참이었지만, 매사에는 우선순위라는 것이 있다.
L25361	トレイシーのとっても魅力的な身体の事を頭の隅に追いやるのに、オレはものすごい労力を必要とした。
>>	트레이시의 무척 매력적인 몸에 대한 생각을 머리 구석으로 밀어내는 데, 나는 엄청난 노력이 필요했다.
L25364	オレは彼女の服を元通りにすると、アゴをしゃくって外へ出るよう示唆した。
>>	나는 그녀의 옷을 원래대로 해 주고는, 턱짓으로 밖으로 나가라고 넌지시 일렀다.
L25367	この胸を見ているとどうもクラクラしてくる。もしかすると、この形と揺れ方に、催眠効果でもあるのかもしれない。
>>	이 가슴을 보고 있으면 아무래도 어질어질해진다. 어쩌면, 이 형태와 흔들림에, 최면 효과라도 있는 건지 모른다.
L25371	［宏治］：しょうがない、続きは後だ。
>>	［코지］：어쩔 수 없지, 나머지는 나중이다.
L25374	そのとき、遠くの方からランファの声が聞こえてきた。
>>	그때, 멀리서 란파의 목소리가 들려왔다.
L25377	［ランファ］：困りますぅ‥‥そんなに乱暴に‥‥あっ、ダメっ！
>>	［란파］：곤란해요오‥‥그렇게 난폭하게‥‥앗, 안 돼요!
L25380	ランファの悲痛な声を聞き、少しコブシを握りしめる。ランファ、待っていろ、すぐに助けてやるからな‥‥。
>>	란파의 비통한 목소리를 듣고, 조금 주먹을 움켜쥔다. 란파, 기다리고 있어라, 금방 구해 줄 테니까‥‥.
L25383	［ランファ］：ビアンカさん、そんな乱暴にコンパネを叩かないで下さいっ。壊れたら、可哀想ですぅ‥‥。
>>	［란파］：비앙카 씨, 그렇게 난폭하게 컨트롤 패널을 두드리지 말아 주세요. 망가지면, 불쌍하잖아요오‥‥.
L25387	［宏治］：じゃ、行くか。
>>	［코지］：자, 갈까.
L25390	トレイシーは元通りの笑顔に戻ると、ニコっと微笑む。オレはまたしても、ムラムラとくる情熱を、頭の隅へ追いやる労力に勤しむことになった。
>>	트레이시는 원래의 웃는 얼굴로 돌아가, 생긋 미소 짓는다. 나는 또다시, 근질근질 치미는 정열을, 머리 구석으로 밀어내는 노력에 힘쓰게 되었다.
L25393	一方そのころ、ファルネリアは‥‥‥‥。
>>	한편 그 무렵, 파르네리아는‥‥‥‥.
L25396	［ファル］：放して頂戴、いや‥‥やめてっ！
>>	［파르］：놓아 줘, 싫어‥‥그만해!
L25399	［ビアンカ］：フン、可愛らしい顔をしていて、意外に遊んでるようじゃない。
>>	［비앙카］：흥, 귀여운 얼굴을 하고서, 의외로 놀아 본 것 같잖아.
L25402	［ファル］：あ、遊んでなんか‥‥。
>>	［파르］：노, 놀긴 뭘‥‥.
L25405	［ビアンカ］：ウソ言うんじゃないよ、なんだい、この胸は。
>>	［비앙카］：거짓말 마, 뭐야, 이 가슴은.
L25408	［ファル］：む、胸が、なによっ！
>>	［파르］：가, 가슴이, 뭐 어때서!
L25411	［ビアンカ］：フン、こんなに大きくてイヤらしい胸は、見たことがないわ。
>>	［비앙카］：흥, 이렇게 크고 야한 가슴은, 본 적이 없어.
L25414	［ファル］：普通よ、普通よ。
>>	［파르］：평범해, 평범하다고.
L25417	［ビアンカ］：乳首もおっきくて、イヤらしいわ‥‥。
>>	［비앙카］：젖꼭지도 커다랗고, 야하네‥‥.
L25420	コリコリコリ‥‥。
>>	꾹꾹꾹‥‥.
L25423	［ファル］：やっ‥‥そ、そんなにコリコリしたら‥‥。
>>	［파르］：앗‥‥그, 그렇게 조물조물하면‥‥.
L25426	［ファル］：（感じちゃうじゃないっ！）
>>	［파르］：（느껴 버리잖아!）
L25429	［ビアンカ］：フン、こんなに押っ立てて、説得力がないわよ！
>>	［비앙카］：흥, 이렇게 빳빳이 세워 놓고, 설득력 없거든!
L25432	［ファル］：あぁぁ、いや‥‥そんなに‥‥うっ。
>>	［파르］：아아아, 싫어‥‥그렇게‥‥윽.
L25435	［ファル］：（やだ、乳首がだんだん硬くなってきちゃったわ‥‥。）
>>	［파르］：（싫어, 젖꼭지가 점점 딱딱해져 버렸잖아‥‥.）
L25438	［ファル］：（あぁぁ、あんなに先っぽがとがって‥‥。）
>>	［파르］：（아아아, 저렇게 끝이 뾰족해져서‥‥.）
L25441	［ファル］：（乳首をコリコリされるのって、何だか‥‥‥‥。）
>>	［파르］：（젖꼭지를 조물조물당하는 건, 어쩐지‥‥‥‥.）
L25444	［ファル］：（何だか、気持ちいいわ‥‥。）
>>	［파르］：（어쩐지, 기분 좋아‥‥.）
L25447	［ビアンカ］：フフ、大人しくなったわね、この淫乱プロフェッサが！
>>	［비앙카］：후후, 얌전해졌네, 이 음란한 프로페서가!
L25450	［ファル］：（でも、何なの‥‥。）
>>	［파르］：（하지만, 뭐지 이건‥‥.）
L25453	［ファル］：（頭がボーっとして、アソコがもう‥‥。）
>>	［파르］：（머리가 멍해지고, 그곳이 벌써‥‥.）
L25456	［ビアンカ］：フン、アソコはどうなってるかしら‥‥。
>>	［비앙카］：흥, 그곳은 어떻게 되어 있을까‥‥.
L25459	［ファル］：あっ‥‥だめ！
>>	［파르］：앗‥‥안 돼!
L25462	［ファル］：（イヤよイヤ‥‥濡れてるのが、わかっちゃう‥‥。）
>>	［파르］：（싫어 싫어‥‥젖어 있는 게, 들켜 버려‥‥.）
L25465	くちゅっ、くちゅっ‥‥。
>>	질척, 질척‥‥.
L25468	［ファル］：あはぁぁぁ‥‥‥‥。
>>	［파르］：아하아아아‥‥‥‥.
L25471	［ファル］：（アソコが、あんなにクチュクチュ言ってる‥‥。）
