# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L19438	隣のドアが気になる。中に入ってみよう。確か、この辺はみんな自動ドアだよな‥‥。
>>	옆 문이 신경 쓰인다. 안으로 들어가 보자. 분명, 이 근처는 다 자동문이었지‥‥.
L19441	そう思ってコンパネに触ってみるが、ドアはウンともスンとも言ってくれない。
>>	그렇게 생각하고 콘솔 패널을 만져 보지만, 문은 꿈쩍도 하지 않는다.
L19444	ロックされてるのだろうか‥‥。
>>	잠겨 있는 걸까‥‥.
L19447	しょうがないな。オレは隣のドアに入るのをあきらめて、他の道を行くことにした。
>>	어쩔 수 없군. 나는 옆 문으로 들어가는 걸 포기하고, 다른 길로 가기로 했다.
L19450	角を曲がり進んでいくと、オレはぴたっと立ち止まらねばならなくなった。何のことはない、すぐに行き止まりになってしまったからだ。
>>	모퉁이를 돌아 나아가자, 나는 딱 멈춰 서야만 했다. 별것 아니다, 곧바로 막다른 길이 되어 버렸기 때문이다.
L19453	目の前には重厚なドアが、オレの進入を許さずという趣でそびえ立っている。
>>	눈앞에는 육중한 문이, 나의 진입을 허락하지 않겠다는 듯 우뚝 서 있다.
L19457	［宏治］：誰もいないのかな‥‥。
>>	［코지］：아무도 없는 건가‥‥.
L19460	良く見るとドアには、目線の高さにプレートが貼ってあった。
>>	자세히 보니 문에는, 눈높이에 명판이 붙어 있었다.
L19466	ＶＩＰというと、重要人物のことだよな‥‥。
>>	ＶＩＰ라면, 중요 인물이라는 뜻이지‥‥.
L19469	傍らのコンパネに手を伸ばしてみる。見よう見まねで、赤く点滅しているボタンを押してみる。
>>	옆의 콘솔 패널로 손을 뻗어 본다. 어깨너머로 배운 대로, 붉게 점멸하는 버튼을 눌러 본다.
L19474	どうやら、誰もいないようだな‥‥。ここでこうして立っていても、しょうがないようだ。
>>	아무래도, 아무도 없는 모양이군‥‥. 여기서 이러고 서 있어 봐야, 소용없는 것 같다.
L19477	無駄なことが嫌いなオレは、そのまま元の廊下へと戻っていった‥‥。
>>	헛수고를 싫어하는 나는, 그대로 원래 복도로 돌아갔다‥‥.
L19480	さてと、どうするかな‥‥。
>>	자, 어떻게 할까‥‥.
L19483	造りは、ほぼ左右対称か‥‥。
>>	구조는, 거의 좌우 대칭인가‥‥.
L19486	向こう側と違い、ここはやけに騒がしかった。重く骨に響くような重低音が、あたりに響きわたっている。
>>	반대편과 달리, 여기는 유난히 시끄러웠다. 묵직하게 뼈에 울리는 듯한 중저음이, 주변에 울려 퍼지고 있다.
L19489	手前のドアからは、また違った異音が、聞こえてくるが‥‥。
>>	앞쪽 문에서는, 또 다른 이상한 소리가 들려오는데‥‥.
L19492	　◆ 左へ曲がってみようか‥‥。
>>	　◆ 왼쪽으로 돌아 볼까‥‥.
L19495	　◆ 手前左の方から、異音が聞こえてくるようだが‥‥。
>>	　◆ 앞쪽 왼편에서, 이상한 소리가 들려오는 것 같은데‥‥.
L19498	　◆ ＶＩＰルームに行ってみよう。
>>	　◆ ＶＩＰ룸에 가 보자.
L19501	ＶＩＰルームとやらに、行ってみよう。
>>	ＶＩＰ룸이라는 곳에, 가 보자.
L19504	ファルネリアという女性に、会ってみたいな‥‥。
>>	파르네리아라는 여성을, 만나 보고 싶군‥‥.
L19507	左へ曲がってみようか‥‥。
>>	왼쪽으로 돌아 볼까‥‥.
L19510	しかし、左へ曲がったら確か反対側の廊下へ出るはずだ。さっき、そこからやって来たんだ。
>>	하지만, 왼쪽으로 돌면 분명 반대편 복도로 나올 것이다. 아까, 거기서 왔으니까.
L19513	無駄なことはやめようぜ。
>>	헛수고는 그만두자.
