# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L20268	［ランファ］：クスッ、変なコウジ様っ。
>>	［란파］：킥, 이상한 코우지 님.
L20271	ここは‥‥。
>>	여기는‥‥.
L20274	どうやら、このあたりは対称的な造りになっているらしい。
>>	아무래도, 이 근처는 대칭 구조로 만들어져 있는 모양이다.
L20277	目の前には、重厚なドアがあり、どうやら足音は、この中へ吸い込まれていったようだった。
>>	눈앞에는 육중한 문이 있고, 아무래도 발소리는 이 안으로 빨려 들어간 듯했다.
L20280	行ってみるか‥‥。
>>	가 볼까‥‥.
L20283	近づくと、脇のコンパネに光が灯る。どうやら、光センサーか何かを内蔵していたみたいだ。
>>	다가가자, 옆의 조작 패널에 불이 들어온다. 아무래도 광센서 같은 걸 내장하고 있었나 보다.
L20286	オレは、ゆっくりとドアをくぐっていった‥‥。
>>	나는, 천천히 문을 지나 들어갔다‥‥.
L20289	この大きさと音‥‥紛れもなく現実だ。しかし、これ以上非現実的な現実が、あり得るだろうか‥‥。
>>	이 크기와 소리‥‥틀림없는 현실이다. 하지만, 이보다 더 비현실적인 현실이 있을 수 있을까‥‥.
L20292	オレはひとしきり、あたりを見回した。
>>	나는 한동안, 주위를 둘러보았다.
L20295	（なんだ、これは‥‥‥‥。）
>>	（뭐지, 이건‥‥‥‥.）
L20298	［オレ］：誰もいないようだが‥‥。
>>	［나］：아무도 없는 것 같은데‥‥.
L20301	（どうやら、着いたかな‥‥？）
>>	（아무래도, 도착한 건가‥‥?）
L20304	（夢、か‥‥‥‥。）
>>	（꿈인가‥‥‥‥.）
L20307	（人は、いないようだが‥‥‥‥。）
>>	（사람은, 없는 것 같은데‥‥‥‥.）
L20310	（な、なんだ‥‥‥‥。）
>>	（뭐, 뭐지‥‥‥‥.）
L20313	（誰か‥‥いるのか？）
>>	（누군가‥‥있는 건가?）
L20316	（あれは‥‥誰だろう？）
>>	（저건‥‥누구지?）
L20319	声を掛けるか掛けまいか、オレが思案していると、彼女の方がオレの存在に気付いた。
>>	말을 걸까 말까 내가 망설이고 있자니, 그녀 쪽이 내 존재를 알아차렸다.
L20323	［女の子］：あっ、コウジ様！
>>	［소녀］：앗, 코우지 님!
L20326	何かの工具を手にしたその女の子はオレに気付くと、手を止めてすぐに顔を破顔させる。
>>	무슨 공구를 손에 든 그 소녀는 나를 알아차리자, 손을 멈추고 곧바로 활짝 웃는다.
L20330	［女の子］：コウジ様、ランファに会いに来て下さったんですねっ。
>>	［소녀］：코우지 님, 란파를 만나러 와 주신 거군요.
L20333	［オレ］：えっ、何でオレのことを‥‥。
>>	［나］：엇, 어떻게 나를‥‥.
L20336	ランファと名乗るその女の子は、手にした工具類で、手先の配線を乱暴に取り付けている。あんなに乱暴に扱って大丈夫なのかなぁ‥‥。
>>	란파라고 하는 그 소녀는, 손에 든 공구로 앞쪽 배선을 거칠게 달고 있다. 저렇게 험하게 다뤄도 괜찮은 걸까‥‥.
L20339	［オレ］：‥‥そ、その、忙しいところ申し訳ないけど‥‥。
>>	［나］：‥‥저, 저기, 바쁜데 미안하지만‥‥.
L20342	［オレ］：ば、爆発！？
>>	［나］：포, 폭발!?
L20345	［オレ］：‥‥‥‥‥‥。
>>	［나］：‥‥‥‥‥‥.
L20348	［ランファ］：ふぅ‥‥終わりました！
>>	［란파］：후우‥‥끝났어요!
L20351	そうだ確か、尻のポケットに‥‥‥‥あった。
>>	그래 분명, 뒷주머니에‥‥‥‥있었다.
L20354	［オレ］：ランファ、おいで。
>>	［나］：란파, 이리 와.
L20357	［オレ］：いいから、来るの。
>>	［나］：괜찮으니까, 오라니까.
L20360	［オレ］：よーし、綺麗になってきたぞ。
>>	［나］：좋―아, 깨끗해졌군.
L20363	［オレ］：女の子がこんなに顔を汚しちゃ、ダメだぜ。
>>	［나］：여자애가 얼굴을 이렇게 더럽히면 못써.
L20366	［オレ］：よし、これでＯＫだ。可愛くなった。
>>	［나］：좋아, 이걸로 ＯＫ다. 귀여워졌군.
L20369	［オレ］：別に、ただ顔を拭いただけじゃないか。
>>	［나］：별로, 그냥 얼굴을 닦아준 것뿐이잖아.
L20372	［オレ］：ふぅ‥‥。
>>	［나］：후우‥‥.
L20375	［オレ］：べ、別にただ顔を拭いただけじゃないか。
>>	［나］：벼, 별로 그냥 얼굴을 닦아준 것뿐이잖아.
L20378	［オレ］：なぁ、ランファ。
>>	［나］：있잖아, 란파.
L20381	［オレ］：ええと‥‥‥‥。
>>	［나］：그러니까‥‥‥‥.
L20384	［オレ］：（な、なんだ‥‥‥‥。）
>>	［나］：（뭐, 뭐지‥‥‥‥.）
L20387	［オレ］：ふぅ‥‥‥‥。
>>	［나］：후우‥‥‥‥.
L20390	［オレ］：（夢、か‥‥‥‥。）
>>	［나］：（꿈인가‥‥‥‥.）
L20393	［オレ］：（人は、いないようだが‥‥‥‥。）
>>	［나］：（사람은, 없는 것 같은데‥‥‥‥.）
L20396	［オレ］：（誰か‥‥いるのか？）
>>	［나］：（누군가‥‥있는 건가?）
L20399	［オレ］：（あれは‥‥？　何をしているんだろう‥‥？）
>>	［나］：（저건‥‥?　뭘 하고 있는 거지‥‥?）
L20402	［オレ］：ちょっと、ねぇきみ。
>>	［나］：잠깐, 저기 너.
L20405	彼女はオレに気付くと、手を止めてすぐに顔を破顔させる。彼女は、嬉しさを全身で表現する女の子だった。
>>	그녀는 나를 알아차리자, 손을 멈추고 곧바로 활짝 웃는다. 그녀는, 기쁨을 온몸으로 표현하는 소녀였다.
L20408	［オレ］：えっ？　どういうこと？
>>	［나］：엇?　무슨 소리야?
L20411	彼女は、手にした工具類で、手先の配線を乱暴に取り付けている。エンジンのメンテナンスか何かを、している最中なのかもしれない。
>>	그녀는, 손에 든 공구로 앞쪽 배선을 거칠게 달고 있다. 엔진 정비 같은 걸 하고 있는 중인지도 모른다.
L20414	［オレ］：‥‥また、後で来るよ。忙しそうだし。
>>	［나］：‥‥나중에 다시 올게. 바빠 보이니까.
L20417	［オレ］：なっ‥‥ちょっと、ゆ、ゆっくりやって構わないよ。うん。
>>	［나］：뭐‥‥잠깐, 처, 천천히 해도 괜찮아. 응.
L20420	［オレ］：えっ？
>>	［나］：엇?
L20423	［オレ］：ハシゴがあったから、それで。
>>	［나］：사다리가 있길래, 그걸로.
L20426	［オレ］：い、いけなかったかな。
>>	［나］：아, 안 되는 거였나.
L20429	［オレ］：リフト？
>>	［나］：리프트?
L20432	［オレ］：（骨折り損の何とやらってヤツかよ‥‥。）
>>	［나］：（헛수고라는 게 이런 건가‥‥.）
L20435	［オレ］：うん‥‥。
>>	［나］：응‥‥.
L20438	［オレ］：その、大丈夫なの。
>>	［나］：그, 괜찮은 거야.
L20441	［オレ］：爆発するとか、言っていたじゃないか。
>>	［나］：폭발한다든가, 말했잖아.
L20444	［オレ］：（本当に大丈夫かなぁ‥‥。）
>>	［나］：（정말 괜찮을까‥‥.）
L20447	［オレ］：お、おい‥‥。
>>	［나］：어, 어이‥‥.
L20450	　◆ 君はいったいここで何をしているんだ‥‥。
>>	　◆ 너는 대체 여기서 뭘 하고 있는 거야‥‥.
L20453	　◆ このエンジンは、いったいどういうモノなんだ‥‥。
>>	　◆ 이 엔진은, 대체 어떤 물건인 거지‥‥.
L20456	［オレ］：君は、いったいここで何をしているんだ？
>>	［나］：너는, 대체 여기서 뭘 하고 있는 거야?
L20459	［ランファ］：私、ですか？
>>	［란파］：저, 말인가요?
L20462	［オレ］：そう。
>>	［나］：그래.
L20466	［ランファ］：私はランファですぅ、コウジ様、お忘れになりました？
>>	［란파］：저는 란파예요, 코우지 님, 잊으셨나요?
L20469	［オレ］：はっきり言って、君のことなど知らない。
>>	［나］：솔직히 말해서, 너에 대해선 아무것도 몰라.
L20471	［ランファ］：そんなぁ‥‥寂しいこと言わないで下さい‥‥<$0C>あっ！
>>	［란파］：그런‥‥섭섭한 말씀 하지 마세요‥‥<$0C>앗!
L20474	［オレ］：な、なに？
>>	［나］：뭐, 뭐야?
L20478	［ランファ］：コウジ様がここにいるということは‥‥じゃあ、今ファルネリア様は！？
>>	［란파］：코우지 님이 여기 계시다는 건‥‥그럼, 지금 파르네리아 님은!?
L20481	［オレ］：だ、誰？　その、ファルネリアサマって。
>>	［나］：누, 누구?　그, 파르네리아 님이라는 건.
L20484	［ランファ］：大変だわっ！
>>	［란파］：큰일이야!
L20487	［オレ］：えっ、ちょっと‥‥ランファ！？
>>	［나］：엇, 잠깐‥‥란파!?
L20490	［オレ］：待ってくれ、ランファ！？
>>	［나］：기다려 줘, 란파!?
L20493	困惑するオレを残して、ランファという女性は足早に立ち去ってしまった。
>>	당황한 나를 남겨두고, 란파라는 여성은 총총히 떠나 버렸다.
L20496	冗談じゃない‥‥またここで１人になるなんて‥‥。
>>	말도 안 돼‥‥또 여기서 혼자가 되다니‥‥.
L20499	オレはきびすを返すと、ランファと名乗る女性を、後から追いかけていった。
>>	나는 발길을 돌려, 란파라는 여성을 뒤쫓아 갔다.
L20502	こ、ここは‥‥。
>>	여, 여기는‥‥.
L20505	何だ‥‥？
>>	뭐지‥‥?
L20509	［ランファ］：あっ、コウジ様っ。
>>	［란파］：앗, 코우지 님.
L20512	［オレ］：き、君は‥‥。
>>	［나］：너, 너는‥‥.
L20516	［ランファ］：コウジ様？
>>	［란파］：코우지 님?
L20518	［オレ］：そう‥‥<$0C>あれ？　電気が消えたのかな‥‥。
>>	［나］：그래‥‥<$0C>어라?　불이 꺼졌나‥‥.
L20522	［ランファ］：コウジ様ぁ、しっかりして下さい。
>>	［란파］：코우지 니임, 정신 차리세요.
L20525	［オレ］：このエンジンは、いったいどういうモノなんだ？
>>	［나］：이 엔진은, 대체 어떤 물건이지?
L20528	［ランファ］：このエンジン、ですか？
>>	［란파］：이 엔진, 말인가요?
L20531	［オレ］：そうだ。何でこんなモノがここに‥‥。
>>	［나］：그래. 왜 이런 게 여기 있는 거지‥‥.
L20535	［ランファ］：そんなぁ‥‥寂しいこと言わないで下さい。これはランファとコウジ様の愛の結晶ですぅ。
>>	［란파］：그런‥‥섭섭한 말씀 마세요. 이건 란파와 코우지 님의 사랑의 결정체인걸요.
L20538	［オレ］：あ、愛の‥‥なんだって？
>>	［나］：사, 사랑의‥‥뭐라고?
L20541	［ランファ］：あぁぁっ！！
>>	［란파］：아아앗!!
L20544	［ランファ］：はい！　まっかせて下さいっ！
>>	［란파］：네!　맡겨만 주세요!
L20547	［トレイシー］：あの、私の方が理路整然と説明できると思いますが‥‥。
>>	［트레이시］：저, 제가 더 조리 있게 설명할 수 있을 것 같은데요‥‥.
L20550	重厚なプレートに、ＶＩＰルームと書かれた部屋の前にオレはたった。
>>	묵직한 플레이트에 ＶＩＰ룸이라 적힌 방 앞에 나는 섰다.
L20553	さっき来たときは、人が居ないようだったが‥‥もしかすると、単に無視されただけなのかもしれない。
>>	아까 왔을 때는 사람이 없는 듯했지만‥‥어쩌면 그저 무시당했던 것뿐일지도 모른다.
L20556	聞けば聞くほど、ファルネリアという女性は、偏屈というイメージしかわかない。賓客ならば、寝心地や食事に文句を言うなど礼を欠くにもほどがある。
>>	들으면 들을수록 파르네리아라는 여성은 괴팍하다는 인상밖에 안 든다. 빈객이라면 잠자리나 식사에 불평을 하는 건 예의에 어긋나도 한참 어긋난다.
L20559	傍らのコンパネに手を伸ばしてみる。赤く点滅しているボタンを押そうとして、はたと手を止めた。
>>	옆의 콘솔 패널로 손을 뻗어 본다. 붉게 깜박이는 버튼을 누르려다, 문득 손을 멈췄다.
L20564	どうやらこのボタンは、ドアのロックシステムだったらしい。さっき開かなかったのは、このためか‥‥？
>>	아무래도 이 버튼은 문의 잠금 시스템이었던 모양이다. 아까 열리지 않았던 건 이 때문인가‥‥?
L20567	オレは隣の、ＯＰＥＮと書かれてあるボタンを押してみた。
>>	나는 옆의 ＯＰＥＮ이라 적힌 버튼을 눌러 보았다.
L20570	ウィーーン‥‥。
>>	위이이잉‥‥.
L20573	横へスライドしたドアを見ながら、溜息を１つ吐くと、オレは部屋の中へと入っていった。
>>	옆으로 미끄러진 문을 보며 한숨을 한 번 내쉬고, 나는 방 안으로 들어갔다.
L20576	確かオレの部屋の２つ隣‥‥だったよな。
>>	분명 내 방에서 두 칸 옆‥‥이었지.
L20579	ドアのプレートを、順に見ていくと、目的のものはあった。
>>	문의 플레이트를 차례로 살펴 가자, 찾던 것이 있었다.
