# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L29334	［トレイシー］：そ、そんな‥‥‥‥くぅぅぅ！
>>	［트레이시］：그, 그런‥‥‥‥크으윽!
L29338	［コウジ］：言ったら、トイレに行かせてやるぞ。
>>	［코우지］：말하면 화장실에 보내 주지.
L29341	［トレイシー］：わ、私は‥‥んがぁぁぁぁっ！
>>	［트레이시］：저, 저는‥‥으가아아아앗!
L29345	［コウジ］：どうした、言え！
>>	［코우지］：왜 그래, 말해!
L29348	［トレイシー］：わ、私は‥‥私は、い、淫乱で‥‥め、メス犬の‥‥。
>>	［트레이시］：저, 저는‥‥저는, 으, 음란한‥‥아, 암캐‥‥.
L29352	［コウジ］：ダメだ、最初から！
>>	［코우지］：안 돼, 처음부터!
L29355	［トレイシー］：わ、私は、淫乱で‥‥‥‥くぅぅ‥‥メス犬‥‥んがっ！
>>	［트레이시］：저, 저는, 음란한‥‥‥‥크으‥‥암캐‥‥으각!
L29359	［コウジ］：ダメだ、また最初から。
>>	［코우지］：안 돼, 다시 처음부터.
L29363	［トレイシー］：お、お願いです‥‥コウジ様ぁぁっ！
>>	［트레이시］：부, 부탁이에요‥‥코우지 니이임!
L29367	［宏治］：言え！
>>	［코지］：말해!
L29370	［トレイシー］：あぁぁ、私は、淫乱でメス犬のっ！
>>	［트레이시］：아아아, 저는, 음란한 암캐!
L29374	［コウジ］：メス犬の、なんだ！？
>>	［코우지］：암캐, 뭐냐!?
L29377	［トレイシー］：肉奴隷ですっ！！
>>	［트레이시］：육노예예요옷!!
L29380	ぶりゅりゅりゅっ！！
>>	뿌지지지직!!
L29384	［コウジ］：よし、出せ！
>>	［코우지］：좋아, 싸라!
L29387	びしぃぃぃぃぃぃぃぃぃっ！！
>>	철써어어어어어억!!
L29390	［トレイシー］：もう、イクぅぅぅぅぅぅぅぅぅぅぅぅっっ！！！
>>	［트레이시］：이제, 가아아아아아아아아아아앗!!!
L29393	どばばばばばばばばばばばばばばばばばばっっっっっ！！！！！
>>	두바바바바바바바바바바바바바바바바바밧!!!!!
L29396	［トレイシー］：そう‥‥私はトレイシー‥‥。
>>	［트레이시］：그래‥‥나는 트레이시‥‥.
L29399	［トレイシー］：ここは調査船《クワドラ》‥‥惑星エイレート付近‥‥。
>>	［트레이시］：여기는 조사선 《콰드라》‥‥행성 에이레이트 부근‥‥.
L29402	［トレイシー］：先だって、惑星エイレート上において、先史文明の遺跡が発掘され、私たち学術調査団が派遣された‥‥。
>>	［트레이시］：얼마 전, 행성 에이레이트에서 선사 문명의 유적이 발굴되어, 우리 학술조사단이 파견됐어‥‥.
L29405	［トレイシー］：私も、遺跡発掘調査隊に従事している‥‥。
>>	［트레이시］：나도 유적 발굴 조사대에 소속돼 있어‥‥.
L29408	［トレイシー］：私は、プロフェッサ＝ファルネリアの秘書を勤めているわ‥‥。
>>	［트레이시］：나는 프로페서＝파르네리아의 비서를 맡고 있지‥‥.
L29411	［トレイシー］：そして‥‥‥‥。
>>	［트레이시］：그리고‥‥‥‥.
L29415	［トレイシー］：そして、私のご主人様であるコウジ様の、淫乱な肉奴隷‥‥。
>>	［트레이시］：그리고, 내 주인님인 코우지 님의 음란한 육노예‥‥.
L29418	［トレイシー］：そう、あれはいつだったかしら‥‥。
>>	［트레이시］：그래, 그게 언제였더라‥‥.
L29421	［トレイシー］：私が、まだ貞淑な女のふりをして、プロフェッサの秘書という仕事に従事していた‥‥。
>>	［트레이시］：내가 아직 정숙한 여자인 척하며, 프로페서의 비서라는 일에 종사하던 무렵‥‥.
L29424	［トレイシー］：だけど‥‥‥‥。
>>	［트레이시］：하지만‥‥‥‥.
L29427	［トレイシー］：あのお方を助けてからというもの‥‥私の人生は一変してしまった‥‥。
>>	［트레이시］：그분을 구해 드린 뒤로‥‥내 인생은 완전히 달라져 버렸어‥‥.
L29430	［トレイシー］：ううん‥‥人生が一変したんじゃない‥‥。
>>	［트레이시］：아니‥‥인생이 달라진 게 아니야‥‥.
L29433	［トレイシー］：本来の私の姿に‥‥。
>>	［트레이시］：본래의 내 모습으로 돌아간 거야‥‥.
L29437	［トレイシー］：コウジ様のおかげで、ありのままの姿の私‥‥本当の私自身を見つけることができたのよ。
>>	［트레이시］：코우지 님 덕분에, 있는 그대로의 나‥‥진짜 나 자신을 찾을 수 있었어.
L29440	［トレイシー］：あの方には、本当に感謝しているのよ‥‥。
>>	［트레이시］：그분께는 정말로 감사하고 있어‥‥.
L29443	［トレイシー］：私の本性を知っているのは、あのお方だけ‥‥‥‥。
>>	［트레이시］：내 본성을 아는 건 그분뿐‥‥‥‥.
L29447	［トレイシー］：そう、あれはコウジ様が、第２次調査隊シップから、救出されたばかりのとき‥‥‥‥。
>>	［트레이시］：그래, 그건 코우지 님이 제２차 조사대 함선에서 막 구출됐을 무렵‥‥‥‥.
L29450	［トレイシー］：お目覚めになりましたか？
>>	［트레이시］：깨어나셨나요?
L29453	［トレイシー］：心配しないで。もう大丈夫です。
>>	［트레이시］：걱정 마세요. 이제 괜찮아요.
L29457	［コウジ］：あぁ‥‥君は？
>>	［코우지］：아아‥‥너는?
L29460	［トレイシー］：私は、トレイシー。あなたの看護を仰せつかっています。
>>	［트레이시］：저는 트레이시. 당신의 간호를 맡고 있어요.
L29464	［コウジ］：そうか‥‥ここは？
>>	［코우지］：그런가‥‥여긴?
L29467	［トレイシー］：安心して下さい、病室ですわ。
>>	［트레이시］：안심하세요, 병실이에요.
L29471	［コウジ］：‥‥‥なぜ‥‥‥。
>>	［코우지］：‥‥‥어째서‥‥‥.
L29474	［トレイシー］：なにか？
>>	［트레이시］：무슨 일이신가요?
L29478	［コウジ］：何故、こんな所にいるのか、僕は‥‥。
>>	［코우지］：어째서 이런 곳에 있는 거지, 나는‥‥.
L29481	［トレイシー］：記憶が混乱しているのですわ。落ちついて下さい、大丈夫です。
>>	［트레이시］：기억이 혼란스러우신 거예요. 진정하세요, 괜찮아요.
L29485	［コウジ］：僕は、いったいどうしたんだ‥‥？
>>	［코우지］：나는, 대체 어떻게 된 거지‥‥?
L29489	［コウジ］：言ってくれ、どうしたんだ？
>>	［코우지］：말해 줘, 어떻게 된 거야?
L29492	［トレイシー］：あなたは‥‥第２次調査隊の事故で、唯一生存されたのです。
>>	［트레이시］：당신은‥‥제２차 조사대 사고에서 유일하게 생존하셨어요.
L29495	［トレイシー］：でも、生存されたのは本当に不幸中の幸いでした。
>>	［트레이시］：그래도, 살아남으신 건 정말 불행 중 다행이었어요.
L29499	［コウジ］：そうか‥‥あれは本当に酷い事故だった‥‥。
>>	［코우지］：그런가‥‥그건 정말 끔찍한 사고였어‥‥.
L29502	［トレイシー］：ええ‥‥。
>>	［트레이시］：네‥‥.
L29505	［トレイシー］：心情、お察し致しますわ。
