# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L16952	［女］：起きなさい、宏治クン。
>>	［여자］：일어나요, 코지 군.
L16955	どうやら夢かもしれない‥‥この私を揺り起こすやつなど、この世界にいるわけがない。
>>	아무래도 꿈일지도 모른다‥‥이 나를 흔들어 깨우는 놈 따위, 이 세계에 있을 리 없다.
L16958	フン、愚民どもめ、夢にまで現れて私を苦しめようとするとはな‥‥。
>>	흥, 어리석은 것들이, 꿈에까지 나타나 나를 괴롭히려 들다니‥‥.
L16962	［女］：ほら、起きなさい、宏治クン。
>>	［여자］：자, 일어나요, 코지 군.
L16966	［コウジ］：フン、うるさいヤツめ。黙って居ろ。
>>	［코우지］：흥, 시끄러운 놈이군. 잠자코 있어라.
L16969	［女］：起きなさい。
>>	［여자］：일어나요.
L16973	［コウジ］：うるさいブタども、私こそは大宇宙‥‥。
>>	［코우지］：시끄럽다 돼지들아, 나야말로 대우주‥‥.
L16976	［沙夜香］：どう、目が覚めた？
>>	［사야카］：어때, 잠은 깼어?
L16980	［コウジ］：フン、ランファならお目覚めのキッスをしてくれるところだな。
>>	［코우지］：흥, 란파라면 잠 깨우는 키스를 해 줬을 텐데.
L16983	［沙夜香］：外人に知り合いなんか、いないわ。
>>	［사야카］：외국인 지인 같은 건 없어.
L16987	［コウジ］：まぁ、外人には違いないだろうがな。
>>	［코우지］：뭐, 외국인인 건 틀림없겠지만.
L16990	手で前髪をすこうとしたが、動かない。手どころか、足も身体も、動かすことができなかった。
>>	손으로 앞머리를 쓸어 올리려 했지만, 움직이지 않는다. 손은커녕, 다리도 몸도 움직일 수 없었다.
L16993	［沙夜香］：フフ、しばらくそこにいてもらうわ。
>>	［사야카］：후후, 당분간 거기 있어 줘야겠어.
L16996	下を見てみると、妙な革ベルトで、がんじがらめに縛られている。動くのは手先と首から上だけだ。
>>	아래를 보니, 묘한 가죽 벨트로 꽁꽁 묶여 있다. 움직이는 건 손끝과 목 위쪽뿐이다.
L17000	［コウジ］：私に縛られる趣味はないがな。
>>	［코우지］：나에게 묶이는 취미는 없다만.
L17003	［沙夜香］：私も縛る趣味はないのだけどね。
>>	［사야카］：나도 묶는 취미는 없는데 말이야.
L17007	［コウジ］：おい、女。すぐにこのベルトを解かないと‥‥。
>>	［코우지］：이봐, 여자. 당장 이 벨트를 풀지 않으면‥‥.
L17010	［沙夜香］：どうするというの？　フフ、その格好で。
>>	［사야카］：어쩌겠다는 거지?　후후, 그 꼴로.
L17013	［沙夜香］：さぁ、無駄なおしゃべりはこれくらいにしておきましょう。
>>	［사야카］：자, 쓸데없는 잡담은 이쯤 해 두죠.
L17017	［コウジ］：恵はどうした？
>>	［코우지］：메구미는 어떻게 됐지?
L17020	［沙夜香］：元通り縛って、今度は眠って貰っているわ。
>>	［사야카］：원래대로 묶어서, 이번엔 잠들어 있게 했어.
L17023	［沙夜香］：それに‥‥ウフフ、見えない？　あなたの斜め前に座っている女性が。
>>	［사야카］：게다가‥‥우후후, 안 보여?　당신 대각선 앞에 앉아 있는 여성이.
L17027	［コウジ］：なんだと？
>>	［코우지］：뭐라고?
L17031	［コウジ］：ほぉ、ご丁寧に舞を連れてきてくれた訳か。
>>	［코우지］：호오, 친절하게도 마이를 데려와 줬다는 건가.
L17034	［沙夜香］：この子が、何らかのキーを握っていることはわかっているわ。
>>	［사야카］：이 아이가 무언가 열쇠를 쥐고 있다는 건 알고 있어.
L17038	［コウジ］：キーだと？　フン、何も知らないのだな。
>>	［코우지］：열쇠라고?　흥, 아무것도 모르는군.
L17041	［沙夜香］：えぇ、彼女にはもう何も期待はしていないわ。だけど‥‥。
>>	［사야카］：그래, 그 애에겐 이제 아무것도 기대하지 않아. 하지만‥‥.
L17044	そう言いながら、沙夜香は私に詰め寄ってきた。
>>	그렇게 말하며, 사야카는 나에게 바짝 다가왔다.
L17047	［沙夜香］：あなたには凄く期待をしているの。
