# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L4795	いきなり目の前にやってくるものだから、少し焦ってしまう。
>>	갑자기 눈앞으로 다가오는 바람에, 조금 당황하고 만다.
L4799	［宏治］：ええ、いつもここで‥‥‥‥。
>>	［코지］：네, 늘 여기서‥‥‥‥.
L4802	［沙夜香］：ここでするようになってから、変なこととか、ない？
>>	［사야카］：여기서 하게 된 뒤로, 이상한 일 같은 건, 없어?
L4806	［宏治］：変なこと‥‥ですか？
>>	［코지］：이상한 일‥‥이요?
L4809	［沙夜香］：そう、例えば‥‥メンタルな部分で、とか。
>>	［사야카］：응, 예를 들면‥‥정신적인 부분에서, 라든가.
L4812	そういえば、この機械を使って、精神分析を行うようになってからだったか。
>>	그러고 보니, 이 기계를 써서, 정신분석을 하게 된 뒤부터였던가.
L4815	どうも、記憶がはっきりとしないという、例の症状が現れはじめたのは。
>>	아무래도, 기억이 또렷하지 않다는, 그 증상이 나타나기 시작한 것은.
L4818	そしてあの、妙な夢に苛まされ始めたのも‥‥‥‥。
>>	그리고 그, 묘한 꿈에 시달리기 시작한 것도‥‥‥‥.
L4821	意外に真面目な表情で僕に問いかける沙夜香は、さっきとはまるで別人のようだった。
>>	의외로 진지한 표정으로 내게 묻는 사야카는, 아까와는 마치 딴사람 같았다.
L4824	なぜ、そんな事を知りたがるのだろうか‥‥？
>>	어째서, 그런 걸 알고 싶어 하는 걸까‥‥?
L4828	［宏治］：沙夜香さん、あなたはなぜ‥‥‥‥。
>>	［코지］：사야카 씨, 당신은 어째서‥‥‥‥.
L4831	質問を最後まで言うことができなかった。
>>	질문을 끝까지 말할 수 없었다.
L4834	ゴッ、という風の音と同時に、鋭い声が室内に響きわたる。
>>	휭 하는 바람 소리와 동시에, 날카로운 목소리가 실내에 울려 퍼진다.
L4837	［涼子］：誰！　何をしているの！？
>>	［료코］：누구야!　뭘 하고 있는 거야!?
L4841	［宏治］：りょ、涼子先生‥‥。
>>	［코지］：료, 료코 선생님‥‥.
