# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L21913	［ランファ］：コウジ様っ、その涼子せんせって、いったい誰なんですか？
>>	［란파］：코우지 님, 그 료코 선생이란 사람은 대체 누구예요?
L21917	［ランファ］：コウジ様ぁ、机の引き出しを開けて、何をしてるんですか？
>>	［란파］：코우지 니임, 책상 서랍을 열고 뭘 하시는 거예요?
L21920	［ランファ］：もうプリプリですぅ、涼子って、誰なんですか！？
>>	［란파］：진짜 삐졌어요, 료코가 대체 누구예요!?
L21924	［宏治］：涼子は涼子先生だよ、オレの知り合いの女性で‥‥。
>>	［코지］：료코는 료코 선생님이야, 내가 아는 여성인데‥‥.
L21927	［ランファ］：えっ、女のヒトなんですかぁ、もうっ！
>>	［란파］：에엣, 여자였어요? 정말!
L21930	［ランファ］：呼び出しですぅ、トレイシーだわ、きっと。
>>	［란파］：호출이에요, 트레이시겠죠, 분명.
L21933	［トレイシー］：ランファ、まだそこにいるのですか？
>>	［트레이시］：란파, 아직도 거기 있나요?
L21936	［ランファ］：なによぉ、せっかくいい時だったのにぃ‥‥。
>>	［란파］：뭐야아, 모처럼 좋을 때였는데에‥‥.
L21939	［トレイシー］：いい時って、なんですか、もう。
>>	［트레이시］：좋을 때라니, 무슨 소리예요, 정말.
L21942	［ランファ］：それより、なーに？　用は。
>>	［란파］：그보다, 뭐어야?　용건은.
L21946	［トレイシー］：あ、そうでした。コウジ様、ファルネリア様が、お目覚めになりましたが‥‥。
>>	［트레이시］：아, 그랬죠. 코우지 님, 파르네리아 님이 깨어나셨는데‥‥.
L21949	［トレイシー］：少々取り乱しておいでで、大変です。
>>	［트레이시］：조금 흥분해 계셔서, 큰일이에요.
L21952	［ランファ］：暴れてるってこと？　麻酔薬でもうっちゃいなさいよ、お尻にプスって。
>>	［란파］：날뛴다는 거야?　마취제라도 놔버려, 엉덩이에 푹.
L21955	［トレイシー］：動物じゃないんですから、そんなことはできません。ランファ、あなた行ってちょうだい。
>>	［트레이시］：동물이 아니니까 그럴 순 없어요. 란파, 네가 가줘요.
