# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L3997	この先に何があるのか‥‥期待と不安を抱きながら、私は黙々と通路を進んでいった。
>>	이 앞에 무엇이 있을까‥‥기대와 불안을 안은 채, 나는 묵묵히 통로를 나아갔다.
L4000	低い重厚な音が、静かに鳴り響いている。ここは、確かエンジンルームに近い場所だ。
>>	낮고 묵직한 소리가, 조용히 울리고 있다. 여기는, 분명 엔진 룸에 가까운 곳이다.
L4003	その時‥‥‥‥。
>>	그때‥‥‥‥.
L4006	［女］：あっ‥‥。
>>	［여자］：앗‥‥.
L4009	右手のドアに入ってみよう。
>>	오른쪽 문으로 들어가 보자.
L4012	何か、重々しい音が聞こえてくる‥‥いったい、これは‥‥‥‥。
>>	뭔가, 묵직한 소리가 들려온다‥‥대체, 이건‥‥‥‥.
L4015	私は、ドアの開閉スイッチに、そっと手を触れた‥‥。
>>	나는, 문의 개폐 스위치에, 살며시 손을 댔다‥‥.
L4019	［コウジ］：ここは‥‥‥‥。
>>	［코우지］：여기는‥‥‥‥.
L4022	以前、私が訪れた場所だった‥‥。
>>	전에, 내가 찾아왔던 장소였다‥‥.
L4025	確か、エンコーダとか、言っていたが‥‥‥‥。
>>	분명, 인코더라던가, 그런 말을 했었는데‥‥‥‥.
L4028	改めて見ると、色々な機材が、床と壁一杯に敷き詰められている。質素な自室とは、えらい違いだった。
>>	다시 보니, 온갖 기자재가, 바닥과 벽에 빼곡히 들어차 있다. 검소한 내 방과는, 천지 차이였다.
L4032	［コウジ］：いったい、何に使うんだろう‥‥。
>>	［코우지］：대체, 어디에 쓰는 걸까‥‥.
L4035	そう思って、機械に近づいてみると‥‥‥‥。
>>	그렇게 생각하고, 기계에 다가가 보니‥‥‥‥.
L4038	［女の声］：ダメ‥‥‥‥。
>>	［여자 목소리］：안 돼요‥‥‥‥.
L4042	［コウジ］：‥‥えっ？
>>	［코우지］：‥‥엣?
L4045	［女の声］：勝手にいじっては、ダメです。
>>	［여자 목소리］：함부로 만지시면, 안 돼요.
L4048	やはり、自室に戻った方がいいかも知れない。
>>	역시, 내 방으로 돌아가는 편이 좋을지도 모른다.
L4051	うかつに歩き回ると、何を言われるかわからないしな‥‥。
>>	섣불리 돌아다니다간, 무슨 소리를 들을지 모르니까‥‥.
L4054	素性の知れない人間に、自由にさせるほど彼女らは寛容ではないだろう。
>>	내력도 모르는 인간을, 마음대로 놔둘 만큼 그녀들이 관대하지는 않겠지.
L4057	少なくとも、私はそうだった。
>>	적어도, 나는 그랬다.
L4060	そう考えると、私は自室へときびすを返した。
>>	그렇게 생각하고, 나는 내 방으로 발길을 돌렸다.
L4064	［コウジ］：あっ‥‥き、君は‥‥。
>>	［코우지］：앗‥‥다, 너는‥‥.
L4067	目の前には、あの少女が立っていた。いつの間にかその場にいる、そんな存在感のする少女だった。
>>	눈앞에는, 그 소녀가 서 있었다. 어느새 그 자리에 있는, 그런 존재감을 지닌 소녀였다.
L4070	彼女は少し驚いた表情をしているが、取り乱した様子は無い。
>>	그녀는 조금 놀란 표정이지만, 당황한 기색은 없다.
L4074	［ランファ］：コウジさん‥‥ですね？
>>	［란파］：코우지 씨‥‥맞죠?
L4078	［コウジ］：ああ‥‥どうやら、そうらしい。
>>	［코우지］：아아‥‥아무래도, 그런 모양이야.
L4081	私のこの返答に、彼女は少し当惑したようだ。
>>	내 이런 대답에, 그녀는 조금 당혹스러운 듯했다.
L4084	だが実際、これ以外言いようが無いのも事実だった。私が、自分の名前を知ったのは、ほんの数時間前なのだから‥‥。
>>	하지만 실제로, 달리 말할 도리가 없는 것도 사실이었다. 내가, 내 이름을 안 것은, 겨우 몇 시간 전이니까‥‥.
L4088	［コウジ］：以前も、この辺りで会ったよね。
>>	［코우지］：전에도, 이 근처에서 만났었지.
L4092	［コウジ］：確か、ランファ、だったかな、君の名前は。
>>	［코우지］：분명, 란파, 였던가, 네 이름은.
L4095	［ランファ］：‥‥覚えていたんですか？
>>	［란파］：‥‥기억하고 계셨나요?
L4099	［コウジ］：そりゃあ覚えているさ、ついさっきの事じゃないか。
>>	［코우지］：그야 기억하지, 방금 전 일이잖아.
L4102	［ランファ］：ついさっき、ですか。
>>	［란파］：방금 전인가요.
L4105	そういえば、記憶がはっきりとしない‥‥‥。
>>	그러고 보니, 기억이 또렷하지 않다‥‥‥.
L4108	ついさっきとは、いったいいつ頃のことを指すんだろうか‥‥。
>>	방금 전이란, 대체 언제쯤을 가리키는 걸까‥‥.
L4111	そう、私は確かトレイシーという女性と話をした‥‥その前は‥‥。
>>	그래, 나는 분명 트레이시라는 여성과 이야기를 했다‥‥그 전에는‥‥.
L4114	その前は、エンジン部で、ファルから自分の名前を聞いた‥‥。
>>	그 전에는, 엔진부에서, 파르에게 내 이름을 들었다‥‥.
L4117	じゃあ、その前は‥‥‥‥？
>>	그럼, 그 전에는‥‥‥‥?
L4120	どうも、記憶がはっきりとしなかった。
>>	아무래도, 기억이 또렷하지 않았다.
L4123	いや、記憶の喪失状態なのだから、それはむしろ当然かもしれない‥‥。
>>	아니, 기억을 잃은 상태이니, 그건 오히려 당연할지도 모른다‥‥.
L4126	だが‥‥‥‥。
>>	하지만‥‥‥‥.
L4129	［ランファ］：あの‥‥。
>>	［란파］：저기‥‥.
L4133	［コウジ］：えっ？
>>	［코우지］：엣?
L4136	［ランファ］：どうなさったんですか？
>>	［란파］：무슨 일이신가요?
L4140	［コウジ］：いや‥‥ランファとは、確か以前会ったよね。
>>	［코우지］：아니‥‥란파와는, 분명 전에 만났었지.
L4143	［ランファ］：以前って‥‥いつの話でしょうか。
>>	［란파］：전이라뇨‥‥언제 이야기인가요.
L4146	［ランファ］：夢でも、見たんじゃありませんか？
>>	［란파］：꿈이라도, 꾸신 게 아닐까요?
L4149	‥‥夢？
>>	‥‥꿈?
L4153	［コウジ］：なぜ、そんなことを言うんだい。
>>	［코우지］：어째서, 그런 말을 하는 거지.
L4156	［ランファ］：だって‥‥‥‥。
>>	［란파］：그야‥‥‥‥.
L4160	［コウジ］：前に以前、会ったはずだろう？
>>	［코우지］：전에, 예전에 만났을 텐데?
L4164	［ランファ］：それは、コウジさんの記憶に残っている、ということでしょうか？
>>	［란파］：그건, 코우지 씨의 기억에 남아 있다는 뜻인가요?
L4167	おかしな聞き方をする‥‥それ以外に、どう受け取れるというのだ。
