# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L18609	［宏治］：あ、あのさ‥‥。
>>	［코지］：저, 저기‥‥.
L18612	［トレイシー・ランファ］：はい、なんでしょう？
>>	［트레이시・란파］：네, 무슨 일이신가요?
L18616	［宏治］：と、とりあえず、状況が見えないから説明が欲しい。
>>	［코지］：이, 일단, 상황을 모르겠으니 설명이 필요해.
L18619	［トレイシー］：では私が。
>>	［트레이시］：그럼 제가.
L18622	［ランファ］：ううん、ランファが！
>>	［란파］：아니, 란파가!
L18626	［宏治］：んー‥‥‥‥。
>>	［코지］：으-음‥‥‥‥.
L18629	　◆ トレイシー、説明してくれ。
>>	　◆ 트레이시, 설명해 줘.
L18632	　◆ ランファ、君が説明するんだ。
>>	　◆ 란파, 네가 설명해라.
L18636	［宏治］：トレイシー、説明してくれ。
>>	［코지］：트레이시, 설명해 줘.
L18639	［トレイシー］：はい、わかりました。
>>	［트레이시］：네, 알겠어요.
L18642	［ランファ］：えぇ～っ。
>>	［란파］：에에～.
L18645	［トレイシー］：ランファ、エンジンのチェックや機器類のテストなど、あなたにはまだやる事が沢山あるでしょう？
>>	［트레이시］：란파, 엔진 점검이랑 기기류 테스트 등, 당신은 아직 할 일이 잔뜩 있잖아요?
L18648	［ランファ］：はーい。じゃあ何かあったら、呼んで下さい。
>>	［란파］：네-에. 그럼 무슨 일 있으면, 불러 주세요.
L18651	［トレイシー］：さっ、ほら。
>>	［트레이시］：자, 어서.
L18655	［ランファ］：コウジ様、何かあったら、呼んで下さいね。
>>	［란파］：코우지 님, 무슨 일 있으면, 불러 주셔야 해요.
L18659	［宏治］：あ、ああ‥‥わかった。
>>	［코지］：아, 아아‥‥알았어.
L18662	［ランファ］：フンフン‥‥。
>>	［란파］：흥흥‥‥.
L18665	［トレイシー］：困った子ね‥‥まったく。
>>	［트레이시］：못 말리는 애라니까‥‥정말.
L18669	［トレイシー］：コウジ様、ご気分はいかがですか？
>>	［트레이시］：코우지 님, 기분은 어떠신가요?
L18673	［宏治］：あ、ああ‥‥その、悪くないけど、その様って、やめてくれない？
>>	［코지］：아, 아아‥‥그, 나쁘진 않은데, 그 님이란 거, 그만해 주지 않을래?
L18676	［トレイシー］：そんな‥‥恐れ多いこと、できませんわ。
>>	［트레이시］：그런‥‥황송한 일은, 할 수 없어요.
L18680	［宏治］：まぁいい。とにかく、そんなとこにいつまでも突っ立ってないで、とりあえずここに座ってよ。
>>	［코지］：뭐 됐어. 아무튼, 그런 데 언제까지고 서 있지 말고, 일단 여기 앉아 봐.
L18683	［トレイシー］：‥‥‥‥‥‥。
>>	［트레이시］：‥‥‥‥‥‥.
L18686	［トレイシー］：あの‥‥。
>>	［트레이시］：저‥‥.
L18689	［トレイシー］：その、足下に、何か付いているのですか？
>>	［트레이시］：그, 발치에, 뭔가 붙어 있는 건가요?
L18693	［宏治］：えっ？　い、いやその、何でもない。
>>	［코지］：엇?　아, 아니 그게, 아무것도 아냐.
L18696	［トレイシー］：ウフフ‥‥。
>>	［트레이시］：우후후‥‥.
L18700	［宏治］：じゃあ、とりあえず話を聞きたいんだけど。
>>	［코지］：그럼, 일단 얘기를 좀 듣고 싶은데.
L18703	［トレイシー］：はい、何をお話しましょうか。
>>	［트레이시］：네, 무엇을 이야기해 드릴까요.
L18707	［宏治］：そうだな‥‥。
>>	［코지］：글쎄‥‥.
L18711	［宏治］：ランファ、君が説明するんだ。
>>	［코지］：란파, 네가 설명해라.
L18714	［ランファ］：はい、わかりました！
>>	［란파］：네, 알겠어요!
L18718	［トレイシー］：コウジ様、そういうことは私が‥‥。
>>	［트레이시］：코우지 님, 그런 건 제가‥‥.
L18721	［ランファ］：トレイシー、あなた、まだエンコーダの計測結果をまとめていないでしょっ！
>>	［란파］：트레이시, 당신, 아직 인코더 계측 결과 정리 안 했잖아요!
L18724	［トレイシー］：あっ、そういえば‥‥。
>>	［트레이시］：앗, 그러고 보니‥‥.
L18728	［ランファ］：フフン、コウジ様に、おっこられるわよぉ。
>>	［란파］：흐응, 코우지 님한테 혼나요오.
L18731	［トレイシー］：あぁぁ、ど、どうしましょう‥‥。
>>	［트레이시］：아아아, 어, 어쩌죠‥‥.
L18735	［宏治］：あ、あのさ‥‥い、忙しかったら、別にいいんだ。
>>	［코지］：저, 저기‥‥바, 바쁘면, 딱히 상관없어.
L18738	［ランファ］：ランファが面倒見てあげますねっ。
>>	［란파］：란파가 돌봐 드릴게요.
L18742	［トレイシー］：しょうがないわ‥‥じゃあコウジ様、お仕事を終えたら、すぐに参ります。
>>	［트레이시］：어쩔 수 없네‥‥그럼 코우지 님, 일이 끝나면, 바로 올게요.
L18745	［ランファ］：ほらっ、行った行った！
>>	［란파］：자, 어서 가요 가!
L18748	［トレイシー］：んもう‥‥。
>>	［트레이시］：아 정말‥‥.
L18751	［ランファ］：困るわよねっ、自分の仕事そっちのけで‥‥プンプン。
>>	［란파］：곤란하다니까, 자기 일은 제쳐 두고‥‥씩씩.
L18755	［ランファ］：あっ、コウジ様ぁ、気分はどうですか？
>>	［란파］：앗, 코우지 니임, 기분은 어떠세요?
L18758	［ランファ］：そんなぁ、できませんっ。
>>	［란파］：그런 거, 못 해요.
L18762	［宏治］：ふぅ‥‥まぁいい。とにかく、身体を起こしてくれない？
>>	［코지］：후우‥‥뭐 됐어. 아무튼, 몸 좀 일으켜 주지 않을래?
L18765	［ランファ］：はーい、わかりましたっ。
>>	［란파］：네-에, 알겠어요.
L18769	［ランファ］：ウフッ、コウジ様っ。
>>	［란파］：우훗, 코우지 님.
L18773	［宏治］：んー、じゃあ、とりあえず話を聞きたいんだけど。
>>	［코지］：으-음, 그럼, 일단 얘기를 좀 듣고 싶은데.
L18776	［ランファ］：はい、何を話したらいいんでしょうか。
>>	［란파］：네, 무엇을 말씀드리면 될까요.
L18779	　◆ 君はいったい、誰なんだ？
>>	　◆ 너는 대체, 누구지?
L18782	　◆ ここはいったい、どこなんだ。
>>	　◆ 여긴 대체, 어디지.
L18785	　◆ ランファって子だけど、いったいどういう女性？
>>	　◆ 란파라는 애 말인데, 대체 어떤 여자야?
L18788	　◆ なぜオレの事を知っているんだ？
>>	　◆ 왜 나를 알고 있는 거지?
L18791	　◆ 《クワドラ》とはいったい何なんだい？
>>	　◆ 《콰드라》란 대체 뭐지?
L18794	　◆ ジェネレータって言っていたけど‥‥。
>>	　◆ 제너레이터라고 했는데‥‥.
L18797	　◆ ファルネリアって、いったい誰のことさ。
>>	　◆ 파르네리아란, 대체 누구 얘기야.
L18801	［宏治］：君はいったい、誰なんだ？
>>	［코지］：너는 대체, 누구지?
L18805	［宏治］：記憶は混乱はしていない。状況に混乱しているんだ。
>>	［코지］：기억이 혼란스러운 게 아냐. 상황 때문에 혼란스러운 거라고.
L18809	［宏治］：ジェネレータ‥‥？
>>	［코지］：제너레이터‥‥?
L18813	［宏治］：あの、トレイシー‥‥だったよね？
>>	［코지］：저, 트레이시‥‥였지?
L18817	［宏治］：君って、どういう人なの？
>>	［코지］：너는, 어떤 사람이야?
L18821	［宏治］：んと、じゃあね、ここで何をしているの？
>>	［코지］：음, 그럼 말이야, 여기서 뭘 하고 있어?
L18825	［宏治］：あのね‥‥じゃあ別の聞き方だ。君の、ここでの役割はなに？
>>	［코지］：저기‥‥그럼 다르게 묻지. 네가 여기서 맡은 역할은 뭐야?
L18829	［トレイシー］：それは‥‥混乱をされているコウジ様に、状況の説明をして差し上げることですわ。
>>	［트레이시］：그건‥‥혼란스러워하시는 코우지 님께, 상황을 설명해 드리는 일이에요.
L18833	［宏治］：さっきと同じじゃないの。
>>	［코지］：아까랑 똑같잖아.
L18836	［トレイシー］：でも、それが質問の回答として相応しいように思われますが‥‥？
>>	［트레이시］：하지만, 그게 질문에 대한 답으로 적절하다고 생각되는데요‥‥?
L18840	［宏治］：うーん。
>>	［코지］：으-음.
L18843	［トレイシー］：何をお悩みになっているのですか？　私に出来ることがあれば、遠慮無く言って下さい。
>>	［트레이시］：무엇을 고민하고 계신가요?　제가 할 수 있는 일이라면, 사양 말고 말씀하세요.
L18847	［宏治］：‥‥じゃあ質問を変えよう。
>>	［코지］：‥‥그럼 질문을 바꾸지.
L18851	［宏治］：ここはいったいどこなんだ。
>>	［코지］：여긴 대체 어디지.
L18855	［トレイシー］：ここ、とおっしゃられますと、今コウジ様がおられる場所ですか？
>>	［트레이시］：여기라고 하시면, 지금 코우지 님이 계신 장소 말인가요?
L18858	［トレイシー］：ベッドの上に寝ておられますわ。
>>	［트레이시］：침대 위에 누워 계시지요.
L18861	［トレイシー］：何かお気に触られる事でも？
>>	［트레이시］：뭔가 언짢으신 일이라도?
L18865	［宏治］：いや‥‥オレの聞き方が悪かった。
>>	［코지］：아니‥‥내가 잘못 물어봤어.
L18868	［トレイシー］：お心遣い、感謝しますわ。
>>	［트레이시］：마음 써 주셔서, 감사드려요.
L18872	［宏治］：んー‥‥‥。
>>	［코지］：으-음‥‥‥.
L18876	［宏治］：ランファって子だけど、いったいどういう女性？
>>	［코지］：란파라는 애 말인데, 대체 어떤 여자야?
