# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L7202	［コウジ］：まさか君が、このシップを‥‥‥‥。
>>	［코우지］：설마 네가, 이 함선을‥‥‥‥.
L7206	［コウジ］：ランファ‥‥。
>>	［코우지］：란파‥‥.
L7209	そのとき私は、後頭部のあたりに鈍い衝撃を感じた。不思議と痛みは無かった。
>>	그때 나는, 뒤통수 언저리에 둔중한 충격을 느꼈다. 이상하게도 아픔은 없었다.
L7212	ゆっくりと目を閉じて、傾いた重力に身を任せていった‥‥。
>>	천천히 눈을 감고, 기울어진 중력에 몸을 맡겨 갔다‥‥.
L7216	　　　　　　宏治さん、目覚める時間ですよ‥‥。
>>	　　　　　　코지 씨, 깨어날 시간이에요‥‥.
L7220	　　　　　　　　　宏治さん‥‥。
>>	　　　　　　　　　코지 씨‥‥.
L7224	　　　　宏治‥‥？　それが私の名前なのか‥‥？
>>	　　　　코지‥‥?　그것이 내 이름인가‥‥?
L7228	［宏治］：‥‥はっ！！
>>	［코지］：‥‥헛!!
L7232	［宏治］：そうなんですよ、うなされて‥‥‥‥‥‥。
>>	［코지］：그래요, 가위에 눌려서‥‥‥‥‥‥.
L7235	‥‥‥‥妙だった。
>>	‥‥‥‥묘했다.
L7238	以前も、こんなやり取りをしなかったか‥‥？
>>	전에도, 이런 대화를 하지 않았던가‥‥?
L7241	既視感覚‥‥？
>>	기시감각‥‥?
L7244	いや、これは‥‥‥‥。
>>	아니, 이건‥‥‥‥.
L7248	［涼子］：どうしたのよ、宏治クン。
>>	［료코］：왜 그래, 코지 군.
L7252	［宏治］：い、いえ‥‥何でも、ありません‥‥。
>>	［코지］：아, 아뇨‥‥아무것도, 아니에요‥‥.
L7256	［宏治］：な、何だ‥‥！？
>>	［코지］：뭐, 뭐지‥‥!?
L7260	［宏治］：りょ、涼子先生には、聞こえないんですか‥‥この警報が！？
>>	［코지］：료, 료코 선생님께는, 안 들리세요‥‥이 경보가!?
L7264	［宏治］：そうだ、シップが、恒星に墜ちるんだ‥‥！？
>>	［코지］：그렇지, 함선이, 항성에 떨어진다‥‥!?
L7268	［涼子］：何を言っているの、宏治クン‥‥？
>>	［료코］：무슨 소리를 하는 거야, 코지 군‥‥?
L7272	［宏治］：りょ、涼子先生‥‥僕は‥‥‥‥。
>>	［코지］：료, 료코 선생님‥‥저는‥‥‥‥.
L7276	［舞］：宏治サン、どうしたんですか？
>>	［마이］：코지 상, 무슨 일이세요?
L7280	［宏治］：ま、舞‥‥‥‥いったい、これは‥‥‥‥。
>>	［코지］：마, 마이‥‥‥‥대체, 이건‥‥‥‥.
L7283	［舞］：放心状態になったと思ったら、急に警報がって、叫びだしたりして‥‥。
>>	［마이］：넋이 나간 줄 알았더니, 갑자기 경보가 어쩌고, 소리를 지르시고‥‥.
L7286	［舞］：お疲れになっているんじゃないですか？
>>	［마이］：피곤하신 거 아니에요?
L7290	［宏治］：い、いや‥‥その、ゴメン。
>>	［코지］：아, 아니‥‥그, 미안.
L7293	［舞］：フフ、いいんですよ。でも‥‥。
>>	［마이］：후후, 괜찮아요. 그래도‥‥.
L7297	［宏治］：‥‥‥‥。
>>	［코지］：‥‥‥‥.
L7300	［舞］：でも、面白いですね。
>>	［마이］：그래도, 재미있네요.
L7304	［宏治］：えっ、な、何が‥‥？
>>	［코지］：엣, 뭐, 뭐가‥‥?
L7307	［舞］：夢の話です。
>>	［마이］：꿈 이야기요.
L7311	［宏治］：夢？
>>	［코지］：꿈?
L7314	［舞］：遥か未来、全く別の星々の中で遺跡調査をしているなんて‥‥。
>>	［마이］：머나먼 미래, 전혀 다른 별들 사이에서 유적 조사를 하시다니‥‥.
L7317	［舞］：とってもロマンがあると思います。
>>	［마이］：무척 낭만적인 것 같아요.
L7321	［宏治］：そ、そうかな‥‥。
>>	［코지］：그, 그런가‥‥.
L7324	［舞］：それで、そのマイクロ・ディスクは、どうなさったんですか？
>>	［마이］：그래서, 그 마이크로 디스크는, 어떻게 하셨어요?
L7328	［宏治］：‥‥マイクロ・ディスク？
>>	［코지］：‥‥마이크로 디스크?
L7332	［舞］：宏治サンが、その何とか室で手に入れた、マイクロ・ディスクです。
