# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L11246	［沙夜香］：よかったわ、間にあって‥‥大丈夫だった？
>>	［사야카］：다행이야, 늦지 않아서‥‥괜찮았어?
L11250	［宏治］：沙夜香さん‥‥あなたは、いったい‥‥。
>>	［코지］：사야카 씨‥‥당신은, 대체‥‥.
L11253	［涼子］：フフ、間にあった？　遅かったと形容すべきね、法務局の方。
>>	［료코］：후후, 늦지 않았다고?　늦었다고 해야겠지, 법무국 분.
L11256	涼子は装置の影から姿を現すと、沙夜香と対峙した。いつもの知的で温厚な表情は、微塵も無い‥‥。
>>	료코는 장치 그늘에서 모습을 드러내 사야카와 대치했다. 여느 때의 지적이고 온후한 표정은 티끌만큼도 없다‥‥.
L11260	［宏治］：法務局‥‥？
>>	［코지］：법무국‥‥?
L11263	［沙夜香］：私はね、内偵として派遣されていたの。涼子に疑問を持った法務局から、つまり恵さんのお父様からね。
>>	［사야카］：나는 말이야, 내사 요원으로 파견돼 있었어. 료코에게 의문을 품은 법무국에서, 그러니까 메구미 씨의 아버님한테서.
L11266	［宏治］：恵の‥‥法務局？‥‥<$0C>はっ！
>>	［코지］：메구미의‥‥법무국?‥‥<$0C>앗!
L11270	［宏治］：（そういえば、沙夜香さんの連絡先に‥‥‥‥。）
>>	［코지］：（그러고 보니, 사야카 씨의 연락처에‥‥‥‥.）
L11274	［沙夜香］：心当たり、あるみたいじゃない、宏治クン。
>>	［사야카］：짚이는 데가, 있는 모양이네, 코지 군.
L11278	［宏治］：し、しかし‥‥。
>>	［코지］：하, 하지만‥‥.
L11281	［沙夜香］：涼子、今のこの現状がわかっていないようね。軍への協力は、最優先事項なのよ。
>>	［사야카］：료코, 지금 이 상황을 모르는 모양이네. 군에 대한 협력은, 최우선 사항이야.
L11284	［涼子］：フフ、現状がわかっていないのは、軍上層部と、あなたのような官僚の犬に成り下がった者の方よ。
>>	［료코］：후후, 현 상황을 모르는 건, 군 상층부와, 너 같은 관료의 개로 전락한 자들 쪽이야.
L11287	［沙夜香］：なんですって！？
>>	［사야카］：뭐라고!?
L11290	［涼子］：重核中性子爆弾の使用が、いかなる結果をもたらすか、あなた達は考えたことがないの？
>>	［료코］：중핵 중성자 폭탄의 사용이, 어떤 결과를 가져올지, 너희는 생각해 본 적 없어?
L11293	［沙夜香］：あるわ、この一触即発の現状を、打開してくれる正義の雷としてね。
>>	［사야카］：있어, 이 일촉즉발의 현 상황을, 타개해 줄 정의의 벼락으로서 말이야.
L11296	［涼子］：愚かな女性ね‥‥‥‥。
>>	［료코］：어리석은 여자네‥‥‥‥.
L11299	［沙夜香］：涼子、あなたをＡ級犯罪者として逮捕、身柄を拘束します。
>>	［사야카］：료코, 당신을 Ａ급 범죄자로 체포, 신병을 구속합니다.
L11302	沙夜香は、懐から拳銃を取り出すと涼子に構えた。表情は厳しい。
>>	사야카는, 품에서 권총을 꺼내 료코에게 겨눴다. 표정은 매섭다.
L11305	［涼子］：フッ、好きにするがいいわ‥‥。
>>	［료코］：훗, 마음대로 하시지‥‥.
L11308	ガチャッ‥‥。
>>	철컥‥‥.
L11311	［沙夜香］：な、何をしたの！　涼子！？
>>	［사야카］：무, 무슨 짓을 한 거야!　료코!?
L11314	［涼子］：舞、後は頼んだわ‥‥。
>>	［료코］：마이, 나머지는 부탁할게‥‥.
L11318	［宏治］：舞さん‥‥。
>>	［코지］：마이 씨‥‥.
L11322	［舞］：宏治サン、説明をしても信じてもらえるか、わからなかった‥‥。
>>	［마이］：코지 상, 설명을 해도 믿어 줄지, 알 수 없었어요‥‥.
L11325	［舞］：だから‥‥ごめんなさい。
>>	［마이］：그러니까‥‥미안해요.
L11329	［舞］：でも、宏治サンはきっと理解してくれる、きっと‥‥‥‥。
>>	［마이］：하지만, 코지 상은 분명 이해해 줄 거예요, 분명‥‥‥‥.
L11333	［宏治］：もう覚悟を決めたよ、どうなるんだい、僕らは。
>>	［코지］：이미 각오는 했어, 어떻게 되는 거지, 우리는.
L11336	［舞］：ずっと、一緒にいられる世界、かも‥‥。
>>	［마이］：쭉, 함께 있을 수 있는 세계, 일지도‥‥.
L11340	［宏治］：ずっと‥‥？
>>	［코지］：쭉‥‥?
L11344	［舞］：宏治サン、私、好きだった‥‥。
>>	［마이］：코지 상, 저, 좋아했어요‥‥.
L11348	［宏治］：えっ！？
>>	［코지］：엇!?
L11352	［舞］：だから、宏治サンだけでも、助けたかったの‥‥。
>>	［마이］：그래서, 코지 상만이라도, 구하고 싶었어요‥‥.
L11356	［宏治］：ま、舞‥‥‥‥。
>>	［코지］：마, 마이‥‥‥‥.
L11359	［舞］：目を、閉じて下さい‥‥。
>>	［마이］：눈을, 감아 주세요‥‥.
L11363	［宏治］：目を‥‥？
>>	［코지］：눈을‥‥?
L11366	［舞］：私を信じて‥‥‥‥。
>>	［마이］：저를 믿어 주세요‥‥‥‥.
L11370	［宏治］：‥‥‥‥わかった。
>>	［코지］：‥‥‥‥알았어.
L11373	僕は舞の言うとおり、ゆっくりと目を閉じた。
>>	나는 마이가 말한 대로, 천천히 눈을 감았다.
L11376	重々しい稼働音が、少しずつ、少しずつ小さくなっていく‥‥。
>>	묵직한 가동음이, 조금씩, 조금씩 작아져 간다‥‥.
L11379	僕は心地よい虚脱感に、身を委ねていった‥‥‥‥。
>>	나는 기분 좋은 허탈감에, 몸을 맡겼다‥‥‥‥.
L11382	そうか、ここは‥‥‥‥。
>>	그런가, 여기는‥‥‥‥.
L11385	ゆっくりと周りを見回した。あれ果ててはいるが、中央のＣＰＵ本体は、未だ悠然とそびえ立っている。
>>	천천히 주위를 둘러보았다. 황폐해지긴 했지만, 중앙의 ＣＰＵ 본체는, 아직도 당당히 우뚝 솟아 있다.
L11388	思い出したよ、記憶を‥‥。
>>	생각났어, 기억을‥‥.
L11391	遥か昔の、メモリーを‥‥‥‥。
>>	아득한 옛날의, 메모리를‥‥‥‥.
L11395	［コウジ］：いるんだろう？　出てきても、構わないよ。
>>	［코우지］：있는 거지?　나와도, 상관없어.
