# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L12842	歌舞伎のような格好をやめると、私は襟元をただして周りを見る。
>>	가부키 같은 자세를 그만두고, 나는 옷깃을 여미며 주위를 둘러본다.
L12846	［コウジ］：ほぉ、これはなかなかのモノだな。
>>	［코우지］：호오, 이거 제법 괜찮은 물건이군.
L12849	発展途上文明にしては、過ぎたシロモノだ。メカメカしいマシンを目の前にすると、自然と口の端がつり上がってくる。
>>	개발도상 문명치고는 과분한 물건이다. 기계 티가 물씬 나는 머신을 눈앞에 두니 자연스레 입꼬리가 올라간다.
L12853	［コウジ］：ランファを連れてきたら、喜びそうだがな‥‥。
>>	［코우지］：란파를 데려오면 좋아할 것 같군‥‥.
L12856	私は、この装置を色々と解析してみることにする。
>>	나는 이 장치를 이것저것 해석해 보기로 한다.
L12859	　◆ まずコンソールパネルを利用して‥‥‥。
>>	　◆ 우선 콘솔 패널을 이용해서‥‥‥.
L12862	　◆ ソケットをあけて‥‥‥。
>>	　◆ 소켓을 열어서‥‥‥.
L12865	　◆ ウルトラスーパーマグナム・キックをお見舞いしてやろう。
>>	　◆ 울트라 슈퍼 매그넘・킥을 먹여 주도록 하지.
L12868	まずコンソールパネルを利用して、このマシンの概要を調べてみようか。
>>	우선 콘솔 패널을 이용해, 이 머신의 개요를 조사해 볼까.
L12871	カタカタカタ‥‥‥‥。
>>	타닥타닥타닥‥‥‥‥.
L12875	［コウジ］：フン、見よ、この卓越したキーボードさばきを！
>>	［코우지］：흥, 보아라, 이 탁월한 키보드 솜씨를!
L12879	［コウジ］：しかし何と使いづらいキーボードだ‥‥人間工学に劣っている‥‥。
>>	［코우지］：하지만 어찌 이리 쓰기 불편한 키보드인가‥‥인간공학에 뒤떨어진다‥‥.
L12883	［コウジ］：こんなのを毎日叩いていたら、指が曲がってしまうぞ。
>>	［코우지］：이런 걸 매일 두드리다간 손가락이 휘어 버리겠군.
L12887	［コウジ］：おぉっ、指が曲がっているっ！
>>	［코우지］：오옷, 손가락이 휘어 있다!
L12891	［コウジ］：と思ったら、関節を曲げていただけだったか‥‥。
>>	［코우지］：그런가 싶었더니, 그냥 관절을 굽히고 있었을 뿐인가‥‥.
L12894	ピピピピ‥‥。
>>	삐삐삐삐‥‥.
L12898	［コウジ］：フン、意外に陳腐なアルゴリズムを使っているな‥‥。
>>	［코우지］：흥, 의외로 진부한 알고리즘을 쓰고 있군‥‥.
L12902	［コウジ］：やはりそうか‥‥フン、この時代には出来すぎたシロモノだ。
>>	［코우지］：역시 그런가‥‥흥, 이 시대에는 과분한 물건이다.
L12906	［コウジ］：だいたいの構造は理解した。
>>	［코우지］：대략적인 구조는 이해했다.
L12909	ソケットを開けて、直接中を見てみよう。
>>	소켓을 열어서, 직접 안을 들여다보자.
L12912	カパッ。
>>	카팟.
L12916	［コウジ］：ふむ、中の電子部品は旧世代のものだな。
>>	［코우지］：흠, 안의 전자 부품은 구세대 물건이군.
L12920	［コウジ］：未だに半導体を、論理回路に使っているのか‥‥さすが開発途上文明だな。
>>	［코우지］：아직도 반도체를 논리 회로에 쓰고 있나‥‥과연 개발도상 문명이군.
L12924	［コウジ］：‥‥しかし、これでは正常な動作はしない。シナプスの２～３万本も焼き切るだけだ。
>>	［코우지］：‥‥하지만 이래서는 정상 작동하지 않는다. 시냅스를 ２～３만 가닥이나 태워 끊을 뿐이다.
L12928	［コウジ］：拷問にはいいかもしれんな。
>>	［코우지］：고문용으로는 괜찮을지도 모르겠군.
L12932	［コウジ］：よし、いっちょう涼子のやつをこいつに掛けて‥‥。
>>	［코우지］：좋아, 한번 료코란 녀석을 여기에 걸어서‥‥.
L12936	［コウジ］：フム、何故かわくわくしてしまうな。あの女は、どうやらイジメ甲斐がありそうだ。
>>	［코우지］：흠, 어쩐지 두근거리는군. 저 여자는 아무래도 괴롭힐 맛이 있을 것 같다.
