# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L14503	［涼子］：さぁ、生まれたままの姿になりましょうね。
>>	［료코］：자, 태어난 그대로의 모습이 되자.
L14506	首を横に振ってイヤイヤをする舞を、むりやり自分の方へ向かせると、涼子は再びねっとりと唇を合わせていった。
>>	고개를 가로저으며 싫다고 하는 마이를 억지로 자기 쪽으로 돌려세우더니, 료코는 다시 끈적하게 입술을 맞추었다.
L14509	［舞］：んっ、んんんんぐっ‥‥‥‥。
>>	［마이］：읍, 으음음음음‥‥‥‥.
L14515	［舞］：ああん、お嫁に行けないぃ～！
>>	［마이］：아아, 결혼 못 해애!
L14518	［涼子］：舞、あなたってすっごく綺麗‥‥本当よ。
>>	［료코］：마이, 너 정말 예쁘다‥‥ 정말이야.
L14521	［舞］：お姉さん‥‥‥‥んっ。
>>	［마이］：언니‥‥‥‥읍.
L14524	［涼子］：昔みたいに、仲良くしましょうよ、ね？
>>	［료코］：예전처럼 사이좋게 지내자, 응?
L14527	［舞］：うん‥‥。
>>	［마이］：응‥‥.
L14530	［涼子］：ンフフ‥‥相変わらず小さな胸ね。可愛いわ‥‥チュッ。
>>	［료코］：웅후후‥‥여전히 작은 가슴이네. 귀여워‥‥쪽.
L14533	［舞］：あン‥‥早くお姉さんみたく、大きくなりたい‥‥。
>>	［마이］：아응‥‥빨리 언니처럼 커지고 싶어‥‥.
L14536	［涼子］：あらあら、ここはどうしちゃったの‥‥。
>>	［료코］：어라어라, 여기는 어떻게 된 거니‥‥.
L14539	くちゅっ。
>>	질척.
L14542	［舞］：だって、お姉さんが‥‥。
>>	［마이］：그치만, 언니가‥‥.
L14545	［涼子］：なーに、言ってごらんなさい。
>>	［료코］：뭐, 말해 보렴.
L14548	［舞］：お姉さんが、感じさせるから‥‥。
>>	［마이］：언니가 느끼게 하니까‥‥.
L14551	［涼子］：だから、こんなに濡れてるってゆーの？
>>	［료코］：그래서 이렇게 젖어 있는 거야?
L14554	［舞］：ウン‥‥。
>>	［마이］：응‥‥.
L14557	［涼子］：フフ、もう可愛いわ、食べちゃいたいくらい。
>>	［료코］：후후, 정말 귀여워서 먹어버리고 싶네.
L14560	つぷっ。
>>	푹.
L14563	［舞］：あっ‥‥痛っ。
>>	［마이］：아-! 아얏.
L14566	［涼子］：舞、あなた処女ね？
>>	［료코］：마이, 너 처녀지?
L14569	［舞］：うん。
>>	［마이］：응.
L14572	［涼子］：今日は、その処女とバイバイしちゃいましょうね。
>>	［료코］：오늘은 그 처녀성과 작별하자.
L14575	［舞］：はい、お姉さん。
>>	［마이］：네, 언니.
L14578	［涼子］：いい子よ‥‥。
>>	［료코］：착한 아이네‥‥.
L14581	［舞］：あっ、そんなに開いたら‥‥。
>>	［마이］：아, 그렇게 벌리면‥‥.
L14585	［涼子］：宏治様が見てるわ。綺麗だって‥‥。
>>	［료코］：코지 님이 보고 계셔. 예쁘다고‥‥.
L14588	［舞］：そ、そんな‥‥。
>>	［마이］：그, 그럴 수가‥‥.
L14591	［涼子］：まだここ、ピンク色ね‥‥あんまりオナニーはしていないんじゃない？
>>	［료코］：아직 여기, 핑크색이네‥‥별로 자위는 안 하는 거지?
L14594	［舞］：し、してないわ‥‥そんなこと‥‥。
>>	［마이］：하, 하지 않아‥‥그런 건‥‥.
L14597	［涼子］：ダメねぇ、私が若い頃は、１日３回くらいはしてたわよぉ。
>>	［료코］：안 돼, 내가 젊었을 때는 하루에 세 번 정도는 했었거든.
L14600	［舞］：ほ、本当？
>>	［마이］：저, 정말요?
L14603	［涼子］：舞も感度はよさそうね‥‥もうクリちゃんが、パンパンに腫れ上がっているわ。
>>	［료코］：마이도 감도는 좋은 모양이네‥‥벌써 클리토리스가 퉁퉁 부어올랐어.
L14606	［舞］：あっいや‥‥そんなに激しくこすったら‥‥あっ！
>>	［마이］：아 안 돼‥‥그렇게 세게 문지르면‥‥아!
L14609	［涼子］：何だか、私もジンジンしてきちゃったわ‥‥ふぅ‥‥。
>>	［료코］：왠지 나도 찌릿찌릿해지기 시작했어‥‥후ぅ‥‥.
L14612	［舞］：お姉さん‥‥あぁぁ‥‥。
>>	［마이］：언니‥‥아아아‥‥.
L14615	［涼子］：もっともっと、舞の声を聞かせて‥‥ほらっ。
>>	［료코］：좀 더, 좀 더, 마이의 목소리를 들려줘‥‥자.
L14618	［舞］：何だか、何かきそうなの‥‥何なの‥‥あぁぁぁぁ‥‥。
>>	［마이］：왠지, 뭔가가 나올 것 같아‥‥뭐야‥‥아아아아아‥‥.
L14621	［涼子］：ねぇ、舞‥‥私にも‥‥ね？
>>	［료코］：저기, 마이‥‥나한테도‥‥응?
L14624	［舞］：うん、私も涼子姉さんのに、したい‥‥してあげたい‥‥。
>>	［마이］：응, 나도 료코 언니한테 하고 싶어‥‥해주고 싶어‥‥.
L14627	［涼子］：いい子よ、舞‥‥。
>>	［료코］：착한 아이네, 마이‥‥.
L14630	［涼子］：もっともっと‥‥舌を這わせるの！
>>	［료코］：좀 더, 좀 더‥‥혀를 훑어줘!
L14633	［舞］：んんっ、んう、んんんんっ‥‥。
>>	［마이］：음-음, 음-음음음‥‥.
L14636	［涼子］：いいわぁ‥‥あふぅ、んくっ‥‥。
>>	［료코］：좋아‥‥아후, 음..‥.
L14639	［涼子］：もっともっと、舌を奥まで押し込むのよ‥‥。
>>	［료코］：좀 더, 좀 더, 혀를 깊숙이 밀어 넣어‥‥.
L14642	ぶちゅるっ。
>>	철퍼억.
L14646	［涼子］：んあぁぁぁぅぅっ！　ンフフ、宏治様の精液が、たっぷり詰まってるのよ。もうすぐ出てくるわ‥‥。
>>	［료코］：아아아아아악! 후후, 코지 님의 정액이 가득 차 있어. 곧 나올 거야‥‥.
L14649	［舞］：んんっ‥‥んんんんっ！！
>>	［마이］：음-음..음음음음!!
L14652	［涼子］：クリちゃんも‥‥クリちゃんもなめあげてぇ！
>>	［료코］：클리토리스도‥‥클리토리스도 핥아줘!
L14655	ザラッ。
>>	까끌.
L14658	［涼子］：あふぅぅ！！　おツユを‥‥おツユを全部飲むのよ‥‥。
>>	［료코］：아후우우!! 그...그 즙을‥‥그 즙을 전부 마셔.
L14661	［舞］：んぐ、ゴク‥‥。
>>	［마이］：읍, 꿀꺽‥‥.
L14664	［涼子］：あはぁぁぁ、お尻も、お尻もちゃんとなめて‥‥舌を差し込んで頂戴！
>>	［료코］：아하아아아, 엉덩이도, 엉덩이도 제대로 핥아줘‥‥혀를 집어넣어!
L14667	にゅるっ、にゅるるっ‥‥。
>>	미끌, 미끄르르윽‥‥.
L14670	［涼子］：あン！　舞も、舞も自分でして‥‥お願いよ、オナニーしてっ！
>>	［료코］：아! 마이, 너도 직접 해‥‥부탁이야, 자위해줘!
L14673	［舞］：あん、あん‥‥。
>>	［마이］：아, 아응‥‥.
L14676	［涼子］：あぁぁ、何かでそう‥‥あっ、もう‥‥で、出ちゃいそう‥‥。
>>	［료코］：아아아아, 뭔가가 나올 것 같아‥‥아, 벌써‥‥이제 나올 것 같아‥‥.
L14679	［舞］：な、何が‥‥んあっ。
>>	［마이］：뭐, 뭐가‥‥응앗.
L14683	［涼子］：あぁぁ！　宏治様の精液が、出ちゃうっ！
>>	［료코］：아아아아! 코지 님의 정액이, 나온다!
L14686	ぶぷぷぷっ‥‥ぶびゅうぅ、ぶぷぷぷ‥‥。
>>	푸푸푸슉‥‥뿌슈우욱, 푸푸푸슉‥‥.
L14689	［涼子］：あぁぁぁ、舞、ちゃんと飲むのよ‥‥あふっ、んくっ‥‥。
>>	［료코］：아아아아, 마이, 제대로 마셔‥‥아후, 음..‥.
L14692	［舞］：んぐ、ゴクゴクッ、ゴクッ‥‥。
>>	［마이］：읍, 꿀꺽꿀꺽, 꿀꺽‥‥.
L14695	［涼子］：あふぅぅ、ドロリとした感触が、いいのよぉ‥‥。
>>	［료코］：아후우우, 걸쭉한 감촉이 좋네‥‥.
L14698	［舞］：んぐんぐ‥‥‥‥。
>>	［마이］：읍, 읍‥‥‥‥.
L14701	［涼子］：ちゃんと綺麗になめて頂戴ね、舞。
>>	［료코］：제대로 깨끗하게 핥아줘, 마이.
L14704	［舞］：んっ‥‥んんん‥‥。
>>	［마이］：읍‥‥으음음‥‥.
L14707	［涼子］：まだ奥に残ってる感じがするわ。ちゃんと精液をすくい出して。
>>	［료코］：아직 깊숙이 남아있는 느낌이 들어. 제대로 정액을 긁어내줘.
L14710	れろれろれろ‥‥。
>>	낼름낼름낼름‥‥.
L14713	［涼子］：そ、いいわよぉ‥‥ふぅ‥‥オシッコも飲ませてあげたいけど、それは今度にしてあげる。
>>	［료코］：그래, 좋아‥‥후ぅ‥‥소변도 마시게 해주고 싶지만, 그건 다음으로 미룰게.
L14716	［舞］：ん‥‥。
>>	［마이］：읍‥‥.
L14720	［涼子］：さぁ、宏治様、もう準備オーケーです。
>>	［료코］：자, 코지 님, 이제 준비 끝났어요.
L14723	［舞］：お、お姉さん‥‥な、何を‥‥。
>>	［마이］：언, 언니‥‥무, 뭘 하려고‥‥.
L14727	［涼子］：決まってるじゃない、宏治様と、す・る・の。
>>	［료코］：뻔하잖아, 코지 님하고 하는 거.
L14730	［舞］：そ、そんな、私‥‥。
>>	［마이］：그, 그럴 수가, 내가‥‥.
L14734	［涼子］：なに言ってるのよ。散々、宏治様の前でオナニーしたくせに。
>>	［료코］：무슨 소리야. 코지 님 앞에서 그렇게나 자위해놓고.
L14737	［涼子］：フフ、赤くなっちゃって‥‥可愛いわ‥‥。ほら、いらっしゃい。
>>	［료코］：후후, 얼굴이 빨개졌네‥‥귀여워‥‥. 자, 어서 오세요.
L14740	［舞］：あっ、いや‥‥いやよ‥‥そんな‥‥。
>>	［마이］：아, 안 돼‥‥싫어‥‥그건‥‥.
L14743	［涼子］：嘘つきなさい、あなた、好きなんでしょ？
>>	［료코］：거짓말 마, 너 좋아하고 있지?
L14746	［涼子］：フフン、ほーら。
>>	［료코］：후훗, 봐.
L14749	［舞］：いやっ、ダメよ‥‥。
>>	［마이］：아, 안 돼‥‥.
L14752	ずぷぷぷぷぷぷぷぷぷぷっ‥‥。
>>	쭈뿌뿌뿌뿌뿌뿌뿌뿍‥‥.
L14755	［舞］：あぁぁぁぁぁぁぁぁぁぁぁっっ！！！
>>	［마이］：아아아아아아아아아아아악!!!
L14758	［涼子］：痛い？
>>	［료코］：아파?
L14761	［舞］：凄いの‥‥痛いんじゃない‥‥これって‥‥あぁぁぁっ！！
>>	［마이］：너무 강해‥‥아픈 게 아니야‥‥이건‥‥아아아악!!
L14764	［涼子］：血が出てるわ‥‥ペロッ。
>>	［료코］：피가 나오고 있어‥‥낼름.
L14767	［舞］：そんな‥‥汚い、お姉さん。
>>	［마이］：그런‥‥더러워, 언니.
L14770	［涼子］：ううん、舞のだもの、ちっとも汚くなんかないわ。
>>	［료코］：아니야, 마이 거니까 전혀 더럽지 않아.
L14773	［舞］：お姉さん‥‥あぁぁぁっ！
>>	［마이］：언니‥‥아아아아악!
L14777	［コウジ］：どうだ、舞‥‥私の奴隷になるか？
>>	［코우지］：어떤가, 마이‥‥내 노예가 되겠나?
L14780	［舞］：あっ、あっ‥‥ど、奴隷って‥‥あン！
>>	［마이］：아, 아‥‥노, 노예라니‥‥아응!
L14784	［コウジ］：涼子も私の奴隷になった。お前もなりたいなら、してやらないこともないぞ。
>>	［코우지］：료코도 이미 내 노예가 됐다. 너도 되고 싶다면, 해줄 수도 있다.
L14787	［舞］：そ、そんな‥‥奴隷だなんて‥‥あうぅっ！
>>	［마이］：그, 그럴 수가‥‥노예라니‥‥아우우윽!
L14791	［涼子］：マーイちゃん、なっちゃいなさいよぉ、宏治様はいいわよぉ。頼りになるし。
>>	［료코］：마이쨩, 어서 해버려. 코지 님은 의지가 되니까 좋은 주인이야.
L14794	［舞］：お、お姉さん‥‥。
>>	［마이］：어, 언니‥‥.
L14797	［涼子］：ねっ、ほら、お尻の穴もなめてあげるから‥‥レロレロ。
>>	［료코］：저기, 어서, 엉덩이 구멍도 핥아줄 테니까‥‥낼름낼름.
L14800	［舞］：お、お姉さん、もう‥‥あぁぁっ！
>>	［마이］：어, 언니, 제발‥‥아아악!
L14803	［涼子］：なっちゃいなさいよ、ね？　ね？　ねぇ、私と一緒になろう。
>>	［료코］：해버려, 어서, 안 될 거야? 안 될 거야? 저기, 나랑 같이 하자.
L14807	［コウジ］：別に強制はしないがな‥‥。
>>	［코우지］：딱히 강요하진 않지만‥‥.
L14810	［舞］：だって‥‥奴隷って‥‥あぅっ！　虐待されたり‥‥んくっ、するんでしょう？　あぁぁっ！
>>	［마이］：그래도‥‥노예라니‥‥아윽!　학대당하거나‥‥윽 하는 거잖아?　아아아앗!
L14814	［涼子］：しないわよぉ。宏治様の言う事に絶対服従するだけ。
>>	［료코］：안 할게.　코지 님 말씀에 절대복종하기만 하면 돼.
L14817	［舞］：同じじゃないのよぉ！
>>	［마이］：그게 그거잖아!
L14820	［涼子］：もう、そんなに聞き分けのない子は、お尻に指を入れちゃうぞ！
>>	［료코］：정말, 그렇게 말을 안 듣는 애는, 엉덩이에 손가락 넣어 버릴 거야!
L14823	［舞］：きゃぁぁっ！　痛い、やめ‥‥あぁぁ、痛い！　涼子姉さん、やめ‥‥んあぅぅっ！！
>>	［마이］：꺄아아앗!　아파, 그만‥‥아아아, 아파!　료코 언니, 그만‥‥응아으으읏!!
