# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L16148	［コウジ］：どうしたのだ。
>>	［코우지］：무슨 일이냐.
L16151	［恵］：疲れちゃったわ、早く来て！
>>	［메구미］：지쳤단 말이야, 빨리 와!
L16154	何ともぶしつけな女だったが、コンピュータ・ルームには、私も用事があった。
>>	참으로 무례한 여자였지만, 컴퓨터・룸에는, 나도 볼일이 있었다.
L16157	普段なら無視して然るべきだったが、このさいだ、ついでに見てきてやろう。
>>	평소라면 무시하는 게 마땅했지만, 이왕이니, 가는 김에 봐 주기로 하자.
L16160	そう考えると、私はコンピュータルームへと向かっていった‥‥。
>>	그렇게 생각하고, 나는 컴퓨터 룸으로 향했다‥‥.
L16163	ここでじっとしている方が、いいだろう。
>>	여기서 가만히 있는 편이, 좋겠지.
L16166	無為やたらに動き回るのは、労力と時間の無駄だ。私は、無駄な事が嫌いである。
>>	무턱대고 돌아다니는 것은, 노력과 시간의 낭비다. 나는, 쓸데없는 일을 싫어한다.
L16169	私が天井を見ながら、考え事をはじめようとしたとき‥‥。
>>	내가 천장을 보며, 생각에 잠기려던 때‥‥.
L16172	何ともぶしつけな女だったが、コンピュータ・ルームには行きたい用事があった。
>>	참으로 무례한 여자였지만, 컴퓨터・룸에는 가고 싶은 볼일이 있었다.
L16175	ウルトラスーパーマグナム・キックの練習をしよう。
>>	울트라 슈퍼 매그넘・킥 연습을 하자.
L16178	うむ、この脆弱な肉体において、このワザをマスターすることは決して無為とはいえまい。
>>	음, 이 취약한 육체로는, 이 기술을 마스터하는 것은 결코 헛되다고 할 수 없으리라.
L16182	［コウジ］：ゆくぞ、ウルトラスーパー・マグナム‥‥。
>>	［코우지］：간다, 울트라 슈퍼・매그넘‥‥.
L16186	［コウジ］：キィィィックゥゥッ！！
>>	［코우지］：키이이이익!!
L16189	ゴーーーーーン！！！
>>	떠어어어어엉!!!
L16193	［コウジ］：痛いから、やめよう。
>>	［코우지］：아프니까, 그만두자.
L16196	例のコンピュータルームの前へやってくる。重々しいドアが、目の前に私を阻まんとするかのようにそびえ立っていた。
>>	예의 그 컴퓨터룸 앞으로 온다. 육중한 문이, 눈앞에서 나를 막아서려는 듯 우뚝 솟아 있었다.
L16199	［コウジ］：‥‥‥‥‥<$0C>‥‥‥‥‥。
>>	［코우지］：‥‥‥‥‥<$0C>‥‥‥‥‥.
L16203	［コウジ］：おかしい、このキーで開くはずだが‥‥壊れているのか。
>>	［코우지］：이상하군, 이 열쇠로 열릴 텐데‥‥고장 난 건가.
L16206	ドアの前で、あれこれ思案する様は、どうも、かなり間抜けな醜態をさらしている気がする。
>>	문 앞에서 이래저래 궁리하는 꼴이라니, 아무래도 꽤나 얼빠진 추태를 드러내고 있는 듯한 기분이 든다.
L16209	どてっ。
>>	꽈당.
L16213	［コウジ］：フン、私は同じ轍を踏まぬ。
>>	［코우지］：흥, 나는 같은 전철을 밟지 않는다.
L16216	フン、誰もいないなら、最初からそう言え。宇宙に名を轟かせる、この大宇宙海賊であるところの私が‥‥。
>>	흥, 아무도 없다면, 처음부터 그렇게 말해라. 우주에 이름을 떨치는, 이 대우주 해적인 내가‥‥.
L16220	［恵］：宏治なの？
>>	［메구미］：코지야?
L16223	唐突に下方から声を掛けられる。人が自己陶酔にふけっているときに話を掛けてくるとは、とんだ礼儀知らずだった。
>>	갑자기 아래쪽에서 말을 걸어온다. 남이 자기도취에 빠져 있을 때 말을 걸어오다니, 어처구니없이 예의를 모르는 자였다.
L16226	［恵］：ちょっと、そんなとこに突っ立ってないでよ！
>>	［메구미］：잠깐, 거기 그렇게 우두커니 서 있지 말라고!
L16230	［コウジ］：何をやっている？
>>	［코우지］：뭘 하고 있나?
L16233	［恵］：見ればわかるでしょっ！？
>>	［메구미］：보면 알 거 아냐!?
L16237	［コウジ］：すまない、とんだ邪魔をしたようだ。
>>	［코우지］：미안하군, 엄청난 방해를 한 모양이다.
L16240	［恵］：ば、バカ！　なに言ってるのよ。早く、こいつをほどいて頂戴！
>>	［메구미］：바, 바보!　무슨 소리 하는 거야. 빨리, 이것 좀 풀어 줘!
L16244	［コウジ］：なぜ？
>>	［코우지］：어째서?
L16247	［恵］：なぜって‥‥怒るわよ！
