# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L12046	私の状況分析は的確だ。どうやら、かなり原始文明らしいな、ここは‥‥。
>>	내 상황 분석은 정확하다. 아무래도 상당한 원시 문명인 모양이군, 여기는‥‥.
L12049	私は赤くなった額をさすりながら、部屋を後にした‥‥。
>>	나는 빨개진 이마를 문지르며, 방을 나섰다‥‥.
L12052	室内は冷房を入れていたか、あるいは廊下に暖房をきかせているのか‥‥非常に不快だった。
>>	실내에 냉방을 틀었던 건지, 아니면 복도에 난방을 튼 건지‥‥몹시 불쾌했다.
L12056	［コウジ］：ゴミゴミしていて、不衛生な場所だ。
>>	［코우지］：너저분하고, 비위생적인 곳이다.
L12059	あちこちに、良く見ると、何かのアルミ缶やパックが無造作に置いてあったりする。不衛生でかつ管理もずさんだ。
>>	자세히 보니 여기저기에 알루미늄 캔이나 팩이 아무렇게나 놓여 있다. 비위생적인 데다 관리도 엉망이다.
L12063	［コウジ］：どうやら、かなり開発途上の文明らしい。
>>	［코우지］：아무래도, 꽤나 개발 도상의 문명인 모양이다.
L12066	たまにすれ違う何人かの者たちは、魚の腐ったような、やる気のない光を目に浮かべながら、傍らを寡黙に通り過ぎていく。
>>	이따금 스쳐 가는 몇몇 자들은, 썩은 생선 같은 의욕 없는 빛을 눈에 띤 채, 말없이 곁을 지나쳐 간다.
L12070	［宏治］：ふむ、原住民はヒューマノイドが大半だな。
>>	［코지］：흠, 원주민은 휴머노이드가 대부분이군.
L12073	しかし妙だった。ここにいる者たちは、例外無く顔に不気味な笑みを浮かべ、リスのようにオドオドしているではないか。
>>	그런데 묘했다. 여기 있는 자들은 예외 없이 얼굴에 섬뜩한 웃음을 띠고, 다람쥐처럼 쭈뼛거리고 있지 않은가.
L12076	いったい、何がそんなに不安なのか‥‥。
>>	대체, 무엇이 그리도 불안한 것인가‥‥.
L12080	［コウジ］：いや、待てよ‥‥‥。
>>	［코우지］：아니, 잠깐‥‥‥.
L12083	この惑星では独裁政治が長きにわたり続いており、民衆たちの間には貧困と差別と怠惰が蔓延している。
>>	이 행성에서는 독재 정치가 오래도록 이어져, 민중 사이에는 빈곤과 차별과 나태가 만연해 있다.
L12086	だとすれば、雄々しい私の姿を見て、憲兵か何かだと勘違いしても、不思議はない。
>>	그렇다면, 늠름한 내 모습을 보고 헌병쯤으로 착각한다 해도 이상할 게 없다.
L12090	［コウジ］：フム、下々の考えそうなことだ‥‥。
>>	［코우지］：흠, 아랫것들이 생각할 법한 일이다‥‥.
L12093	いや、逆とも考えられるな‥‥。
>>	아니, 반대로도 생각할 수 있겠군‥‥.
L12096	腐敗した民主主義が長く続き、強いカリマスマ性を保有した強力な指導者を、こやつらは強く欲しているのだ。
>>	부패한 민주주의가 오래 이어져, 강한 카리스마를 지닌 강력한 지도자를 이자들은 간절히 원하는 것이다.
L12099	そこに、私のような最強の宇宙海賊が現れたものだから、妙に落ちつきがなかったのだ。うむ、そうに違いない。
>>	거기에 나 같은 최강의 우주 해적이 나타났으니, 묘하게 안절부절못했던 것이다. 음, 틀림없다.
L12103	［コウジ］：フフン。
>>	［코우지］：후훙.
L12106	的確な分析をした後は、気分がよくなる。私は、軽快なステップを踏みながら、廊下を進んでいった‥‥。
>>	정확한 분석을 마치고 나면 기분이 좋아진다. 나는 경쾌한 발걸음으로 복도를 나아갔다‥‥.
L12109	ドカッ！
>>	퍽!
L12112	［女］：ちょっと、よそ見してないでよ！
>>	［여자］：야, 한눈팔지 좀 마!
L12115	［女］：なによ、その魚の腐ったような目は。オドオドしちゃって、まるでリスか何かね‥‥フンッ。
>>	［여자］：뭐야, 그 썩은 생선 같은 눈은. 쭈뼛거리는 게, 꼭 다람쥐 같잖아‥‥흥.
L12118	その女は言いたいことだけ言うと、さっさときびすを返して立ち去ってしまった。
>>	그 여자는 하고 싶은 말만 하고는, 냉큼 발길을 돌려 가 버렸다.
L12122	［コウジ］：フン、まぁいい。
>>	［코우지］：흥, 뭐 됐다.
L12126	［コウジ］：さて、これから現状の把握をせねばならんな‥‥。
>>	［코우지］：자, 이제부터 현상을 파악해야겠군‥‥.
L12129	　◆ とりあえず上に昇ってみよう。
>>	　◆ 일단 위로 올라가 보자.
