# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L1637	［涼子］：‥‥宏治クン、どうもあなた、言っていることに矛盾があるようだわ。
>>	［료코］：‥‥코지 군, 아무래도 네 말에는 모순이 있는 것 같아.
L1641	［宏治］：そ、そりゃあ夢の中の事ですから‥‥。
>>	［코지］：그, 그거야 꿈속 일이니까요‥‥.
L1644	［涼子］：夢の進行に矛盾があっても構わないけど、分析するためのファクターに、矛盾があってはならないの。
>>	［료코］：꿈의 진행에 모순이 있어도 상관없지만, 분석을 위한 팩터에, 모순이 있어선 안 돼.
L1648	［宏治］：どういうことです？
>>	［코지］：무슨 말씀이시죠?
L1652	［涼子］：説明は難しいわね‥‥つまり、宏治クンが夢の中で女性として存在していても構わないのだけど‥‥。
>>	［료코］：설명하긴 어렵네‥‥그러니까, 코지 군이 꿈속에서 여성으로 존재해도 상관없지만‥‥.
L1655	［涼子］：その事を退けるようなファクターがあってはならない、ということね。
>>	［료코］：그걸 부정하는 듯한 팩터가 있어선 안 된다, 그런 거야.
L1659	［宏治］：何のことだか、ちっともわからないんですけど‥‥。
>>	［코지］：무슨 말인지, 전혀 모르겠는데요‥‥.
L1662	［涼子］：もう一度、最初からね。
>>	［료코］：다시 한번, 처음부터야.
L1666	［宏治］：も、もう一度、ですか‥‥。
>>	［코지］：다, 다시 한번, 말인가요‥‥.
L1669	［涼子］：そっ、もう一度。
>>	［료코］：그래, 다시 한번.
L1673	［宏治］：ふぅ‥‥。
>>	［코지］：후우‥‥.
L1676	僕は溜息を１つ吐くと、もう一度、夢の内容を思いだそうと記憶の糸を辿りだした。
>>	나는 한숨을 한 번 내쉬고는, 다시 한번, 꿈의 내용을 떠올리려 기억의 실을 더듬기 시작했다.
L1679	［涼子］：‥‥ずいぶんと、具体的ね。
>>	［료코］：‥‥꽤나, 구체적이네.
L1683	［宏治］：えぇ、自分でもそう思います。でも‥‥。
>>	［코지］：네, 저도 그렇게 생각해요. 하지만‥‥.
L1686	［涼子］：なに？
>>	［료코］：뭐?
L1690	［宏治］：何といったら‥‥誰かに印象が似ているんです。だけど、それが誰かはわかりません。
>>	［코지］：뭐랄까‥‥누군가와 인상이 닮았어요. 하지만, 그게 누군지는 모르겠어요.
L1693	［涼子］：よくあることよ。夢の中の人物に、現実の世界の個人が投影されるということは。
>>	［료코］：흔한 일이야. 꿈속 인물에, 현실 세계의 개인이 투영되는 건.
L1697	［宏治］：そうみたいですね‥‥。
>>	［코지］：그런 모양이네요‥‥.
L1700	［涼子］：２人の違う人物を、足して２で割ったようなキャラクタだって、夢の中に出てくるケースもあるのよ。
>>	［료코］：서로 다른 두 인물을, 더해서 둘로 나눈 듯한 캐릭터가, 꿈에 나오는 경우도 있어.
L1703	どうも違うような気がするが、それを上手く言えなかった。
>>	아무래도 다른 것 같지만, 그것을 잘 말할 수 없었다.
L1706	夢の中では、それが何か、僕は知っていたような気がしたのだが‥‥。
>>	꿈속에서는, 그게 무엇인지, 나는 알고 있었던 것 같았는데‥‥.
L1709	［涼子］：その女の子とは、どうなったの？
>>	［료코］：그 여자애와는, 어떻게 됐어?
L1713	［宏治］：どうなったのって‥‥自己紹介をして‥‥。
>>	［코지］：어떻게 됐냐니요‥‥자기소개를 하고‥‥.
L1716	［涼子］：彼女の名前は？
>>	［료코］：그녀의 이름은?
L1720	［宏治］：‥‥名前、ですか。
>>	［코지］：‥‥이름, 말인가요.
L1723	［涼子］：そう、名前。自己紹介をしたのなら、お互いに名前を名乗り合ったでしょう？
>>	［료코］：그래, 이름. 자기소개를 했다면, 서로 이름을 밝혔을 거 아니야?
L1727	［宏治］：そういえば‥‥。
>>	［코지］：그러고 보니‥‥.
L1731	［宏治］：僕は、自分自身の名前を言えなかった気がします。
>>	［코지］：저는, 제 이름을 말하지 못했던 것 같아요.
L1734	［涼子］：故意に言わなかったの？　それとも言いたくても言えなかった？
>>	［료코］：일부러 말하지 않은 거야?　아니면 말하고 싶어도 말할 수 없었어?
L1737	この辺は、記憶が極めてあやふやだ。ただ、故意に名前を隠す、ということは無いように思えた。
>>	이 부분은, 기억이 극히 애매하다. 다만, 일부러 이름을 숨기는, 그런 일은 없었던 것 같았다.
L1740	そう思うと僕は、その事を涼子に伝えた。
>>	그렇게 생각한 나는, 그 사실을 료코에게 전했다.
L1744	［宏治］：後者‥‥だと思います。
>>	［코지］：후자‥‥라고 생각해요.
L1747	［涼子］：なるほど、言いたくても言えなかったと。
>>	［료코］：그렇구나, 말하고 싶어도 말할 수 없었다는 거네.
L1751	［宏治］：はい。
>>	［코지］：네.
L1755	［宏治］：夢の中での宏治クンは、名無しのゴンベ？
>>	［료코］：꿈속의 코지 군은, 이름 없는 아무개?
L1759	［宏治］：いえ、名無しではなくて、名前を思い出せなかったんだと思います。
>>	［코지］：아뇨, 이름이 없는 게 아니라, 이름을 떠올리지 못했던 거라고 생각해요.
L1762	［涼子］：ふむ‥‥で、その女の子の名前は？
>>	［료코］：흠‥‥그래서, 그 여자애의 이름은?
L1766	［宏治］：女の子？
>>	［코지］：여자애요?
L1769	［涼子］：ほら、あなたの夢に出てきたという、女性の事よ。
>>	［료코］：왜, 네 꿈에 나왔다던, 그 여자 말이야.
L1773	［宏治］：あぁ、確か‥‥。
>>	［코지］：아아, 분명‥‥.
L1777	［宏治］：すみません、思い出せません。
>>	［코지］：죄송해요, 떠오르지 않아요.
L1780	［涼子］：そう‥‥。
>>	［료코］：그래‥‥.
L1784	［宏治］：すみません。
>>	［코지］：죄송해요.
L1787	［涼子］：フフ、別にすまなそうな顔をしなくても、いいのよ。明確に覚えている方がまれなのだから。
>>	［료코］：후후, 딱히 미안한 얼굴 하지 않아도, 괜찮아. 또렷이 기억하는 쪽이 드무니까.
L1791	［宏治］：はい‥‥。
>>	［코지］：네‥‥.
L1794	［涼子］：それから？
>>	［료코］：그리고?
L1798	［宏治］：それから‥‥‥‥。
>>	［코지］：그리고‥‥‥‥.
L1801	それから、僕はどうしたんだろうか‥‥。
>>	그 뒤에, 나는 어떻게 했던 걸까‥‥.
L1804	どこか、寒々としたところに行ったような記憶がある。そしてそこで、何かを見て、驚愕して‥‥‥‥。
>>	어딘가, 스산한 곳에 갔던 기억이 있다. 그리고 그곳에서, 무언가를 보고, 경악해서‥‥‥‥.
L1807	妙に記憶があやふやだった。大事な部分だけ忘れ去っているのを認識する、そんな焦燥感に襲われていた。
>>	묘하게 기억이 애매했다. 중요한 부분만 잊어버렸음을 자각하는, 그런 초조함에 사로잡혀 있었다.
L1811	［宏治］：思い出せません‥‥。
>>	［코지］：떠오르지 않아요‥‥.
L1814	［涼子］：そう、残念だわ。
>>	［료코］：그래, 아쉽네.
L1817	ブラインドからもれてくる陽射しは、もうかなり中の方まで進入してくる。それは、意外に時間が経過していることを僕に教えていた。
>>	블라인드 사이로 새어드는 햇살은, 이미 꽤 안쪽까지 들어와 있다. 그것은, 의외로 시간이 흘렀음을 내게 알려주고 있었다.
L1820	涼子はペンを机の上に置くと、少し厳しい顔をして自分のとったメモを見つめている。
>>	료코는 펜을 책상 위에 놓고, 조금 굳은 얼굴로 자신이 적은 메모를 바라보고 있다.
L1824	［涼子］：願望充足‥‥というのを知っているかしら？　宏治クン。
>>	［료코］：소망 충족‥‥이라는 걸 알고 있으려나?　코지 군.
L1827	涼子はふいに顔をあげると、僕を直視した。
>>	료코는 문득 얼굴을 들고, 나를 똑바로 바라보았다.
L1830	僕には何のことを言っているのか、よく理解できなかったようだ。
>>	나는 무슨 말을 하는 건지, 잘 이해하지 못한 모양이었다.
L1834	［宏治］：願望充足‥‥‥‥願望の充足、の事ですか？
